"State","ViolentCrime","Murderandnonnegligentmanslaughter","Rape2","Rape3","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA",476.197594124701,7.25410286308364,42.1303384127669,30.0229971596138,96.2749480362262,330.538204812624,3002.46509978479,729.831871388208,2058.29614700155,214.337081395022
"ALASKA",729.995806485209,8.02891340619331,121.89715126328,87.8465779920634,103.019424274913,497.050317540822,2817.52220877587,475.503159358199,2064.89475285459,277.124296563083
"ARIZONA",410.531656854869,4.53132231480014,45.5607158739529,33.6429469644321,93.2428869387388,267.196731727377,3033.39695612159,556.076041065822,2231.31498028725,246.005934768514
"ARKANSAS",520.965868659816,6.08037067499721,64.2288352743642,42.8199997706262,70.503540810237,380.153121900218,3252.86049080389,760.472358047176,2298.49454841545,193.893584341265
"CALIFORNIA",426.678081268275,4.75878267416345,32.7538205016649,24.0009421556772,135.155798888863,254.009679203584,2620.36070375504,504.693132583241,1678.48888560274,437.17868556906
"COLORADO",321.324479431426,3.23378140943695,59.797252464645,43.6161647431695,60.968961125274,197.32448443207,2643.40373321494,430.148318917776,1919.79754021727,293.457874079897
"CONNECTICUT",218.469759273895,3.25824879987836,21.5267207034698,16.2076991583693,80.5372267457112,113.147563024836,1811.97620865714,279.958762266471,1355.51504559042,176.502400800248
"DELAWARE",498.977729947332,6.66008410734787,36.0490266762797,25.6888958426275,130.558791628169,325.709827535536,2690.99112623079,504.580657847165,2061.56032027604,124.850148107585
"DISTRICT OF COLUMBIA",1269.0634725123,24.0989664221068,73.4869716822269,54.4458130277227,556.656372540269,614.8211618677,4676.24079925263,441.963143457279,3748.7281101055,485.549545689855
"FLORIDA",462.068890550372,5.14455130700207,37.2746168512737,26.7941453390395,104.316372759079,315.333349633017,2813.93035623395,539.196886461097,2074.08486765323,200.648602119623
"GEORGIA",380.012423850149,6.06566859554982,31.7509520681673,22.6002401155122,120.504555473048,221.691247713384,3031.71928430828,651.083674901223,2120.37064288228,260.264966524773
