"State","ViolentCrime","Murderandnonnegligentmanslaughter","Rape2","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA",443.537162626744,6.03418517074419,41.3315592087025,53.0470140990326,343.124404148265,2299.59223934774,440.617823275287,1646.2983380284,212.676078044056
"ALASKA",868.821717483093,9.4688358278223,149.644912673324,113.201579442924,596.506389539023,2919.73481431407,487.864379748069,2073.88889050394,357.981544062054
"ARIZONA",463.567920972642,5.08794586822508,51.4255614993889,91.8751830856832,315.179230519345,2512.39779734963,403.139909712882,1853.9927572846,255.265130352143
"ARKANSAS",588.846985688876,8.18352314138262,77.994720046921,51.5235062357672,451.145236264806,2854.13980774086,602.366119520536,2004.61285676972,247.160831450607
"CALIFORNIA",441.574593102337,4.28134264592922,37.4854848039007,132.490421789002,267.317343863505,2333.14303191111,386.377261652034,1587.68744447409,359.078325784983
"COLORADO",379.141681486885,3.73221511514241,66.6683211140457,63.9402178858476,244.800927371849,2579.61158683747,346.345562418522,1852.07083524027,381.195189178683
"CONNECTICUT",183.603732322251,2.91701621776872,21.625187537497,54.1050411930372,104.956487373948,1426.58921988608,180.658667871619,1078.65089121857,167.279660795891
"DELAWARE",422.586992330791,4.92932579146487,31.8352290698773,81.128486984526,304.693950484922,2252.18841526284,304.796644772245,1782.67013362581,164.721636864784
"DISTRICT OF COLUMBIA",1048.95649869855,23.5211101964013,48.8842350467376,384.414288932751,592.136864522656,4367.13335761014,261.141000554021,3775.42157339224,330.57078366388
"FLORIDA",378.819405233798,5.23051581591213,39.4332001369792,75.57274186935,258.582947411556,2147.42410299745,295.287338390948,1670.19275943732,181.944005169175
"GEORGIA",340.047544964932,6.45099879858744,27.4462476178503,76.2992757667834,229.851022781711,2388.37862542219,373.144138419349,1787.62410643383,227.610380569016
"HAWAII",283.282178295655,3.51296801086416,59.41952011383,76.7172026358561,143.632487535105,2845.24614359638,376.609209577284,2094.14348926653,374.493444752559
"IDAHO",223.801178737943,1.96197190196941,45.263354494873,8.70492189172166,167.870930449379,1218.75554063654,219.597262541923,911.357628792577,87.8006493020379
"ILLINOIS",412.891800673796,6.75255951948384,48.675426665912,100.13991898358,257.32389550482,1856.05574949786,272.768110904139,1434.39618087018,148.891457723539
"INDIANA",408.76632227007,6.20017004347308,39.4250616605807,90.4690405980649,272.672049967951,2109.29244445144,348.182397091562,1535.89576290052,225.214284459359
"IOWA",267.417333110842,1.93047318089968,36.9397126787467,27.4458496138527,201.101297637342,1735.66221680319,371.834073059534,1200.58946794424,163.238675799415
"KANSAS",394.221763350951,3.38183141325925,46.7813704313872,40.0586754273556,303.999886078949,2186.50904710318,325.956169132473,1630.84842756102,229.704450409681
"KENTUCKY",217.596452267803,4.95625956256452,35.3003536667925,48.4449797836367,128.894859254809,1900.37125078828,346.102704105565,1325.76725971415,228.501286968573
"LOUISIANA",557.253964801853,12.0480809024487,50.6163938321093,89.1904430415264,405.399047025769,3210.97549272918,586.351831382772,2389.7946745616,234.828986784813
"MAINE",115.160406245443,1.48786054580676,38.3868020818145,13.9858891305836,61.2998544872386,1245.56245592213,174.823614132295,1016.72950397705,54.0093378127855
"MARYLAND",454.14246205555,8.96507919704649,31.6424289740774,152.224398248005,261.310555636421,1950.16937714203,278.909899299996,1485.02732529674,186.232152545289
"MASSACHUSETTS",329.646665567583,2.24571756751982,32.0431393078181,53.0397711944983,242.318037497747,1186.10859167948,179.778408209994,916.727884558196,89.6022989112886
"MICHIGAN",439.945101453209,5.61971883119374,72.9402571600726,53.909057550103,307.47606791184,1592.16948754611,287.472236696523,1125.93404240071,178.763208448882
"MINNESOTA",237.395356221776,2.08034942488809,43.6438420209718,55.9084329042064,135.76273187171,2088.0093389465,283.604429751881,1604.92776465278,199.477144541838
"MISSISSIPPI",298.189305779122,11.5944627304931,41.6308800221617,63.019644142038,181.944318884429,2461.5334301888,594.29913026275,1663.04110641308,204.193193512973
"MISSOURI",494.175861022553,9.30765618760268,47.8326449159525,81.1670922646367,355.868467654361,2644.45869908344,430.504096746777,1869.44121643676,344.513385899903
"MONTANA",405.341596175739,2.56546149000788,58.6983766500759,19.2821216348518,324.795636400803,2198.98348856548,270.586024833718,1705.75016451157,222.647299220193
"NEBRASKA",301.410669632722,2.40151920996565,63.9760260673962,41.2701478622103,193.76297649315,2048.61147572208,246.722259097812,1542.77679174157,259.112424882699
"NEVADA",493.103350949408,4.62403620711756,69.943236397513,106.701798743314,311.834279601463,2322.64213379948,503.208807181998,1453.74375841947,365.689568198015
"NEW HAMPSHIRE",151.147445645697,2.54224685482805,42.5770827729123,23.0048333593756,83.0232826585806,1183.17764236086,124.041042319973,993.563898753358,65.5727012875331
"NEW JERSEY",206.874655912562,2.94972298498456,17.2367400382113,64.5111171906928,122.177075698673,1335.67284644891,184.627890193747,1034.67725864905,116.367697606108
"NEW MEXICO",847.981596390468,9.14749907230091,64.8538752507275,118.483901938347,655.496320129092,3267.33347653313,708.177403511428,2106.87540132071,452.280671700998
"NEW YORK",361.666966399577,2.8972658841824,34.2812163857609,93.6040357000534,230.884448429581,1382.7838831612,142.899044564708,1174.08156614948,65.8032724470124
"NORTH CAROLINA",383.717440120452,6.32680296282876,31.5728991772769,77.8496902503486,267.968047729998,2424.37799798562,516.80719276972,1728.83306907701,178.737736138887
"NORTH DAKOTA",284.720632671324,3.15066359561427,57.3607034761114,23.4923176888529,200.716947910746,1977.4168167606,342.312125605348,1399.87467068466,235.230020470591
"OHIO",307.248687212218,4.97929371479775,50.1112802061155,80.5245626318968,171.633550659408,2078.33070896353,386.833593256305,1524.00634878085,167.490766926377
"OKLAHOMA",434.151971569247,6.76137901599236,57.658599799827,60.0731995420671,309.65879321136,2863.76875414168,675.685503934801,1848.49724824663,339.58600196025
"OREGON",285.425755880718,2.79398702424574,42.1968359751805,54.2831753542126,186.151757527079,2739.67699516229,349.970541731306,2028.17933540118,361.527118029809
"PENNSYLVANIA",308.106570467774,5.26849910527298,34.2203772730853,76.6586135673087,191.959080522107,1409.40648404671,183.248407699187,1128.88106146071,97.2770148868135
"PUERTO RICO",202.868527792581,18.9748923973305,6.73201627958095,66.4121233906567,110.749495725013,702.665941070121,134.358520258985,453.487403614748,114.820017196388
"RHODE ISLAND",221.076667915847,2.35991319295311,46.3486951095991,39.457748586176,132.910311027119,1534.79314416898,219.094340833767,1187.50831869401,128.190484641213
"SOUTH CAROLINA",508.136908564573,8.97116893044801,47.6572840913826,63.9659146266845,387.542540916058,2929.60402004053,529.581570083219,2109.24652043594,290.775929521368
"SOUTH DAKOTA",398.207472857467,1.86520660015924,73.1786260489905,18.9315924712757,304.232047737042,1774.27400027781,297.846995293919,1276.43259013466,199.994414849231
"TENNESSEE",595.196432247882,7.29224354219119,41.1909258718551,90.0548148282647,456.658448005571,2652.63412529832,437.373538878933,1934.40670862977,280.853877789613
"TEXAS",420.298510996938,4.88587781905542,51.3190362230531,100.371537401827,263.722059553002,2397.21614021471,393.847254414484,1735.45338990459,267.915495895634
"UTAH",234.556657796754,2.28658808592549,56.5165936866267,35.1237083511138,140.629767673088,2164.06644559255,275.21562615249,1678.90807528711,209.942744152953
"VERMONT",202.247154997925,1.76285158872993,44.5520674242655,11.378405709075,144.553830275854,1424.38408369378,204.330525057333,1172.2963065054,47.7572521310472
"VIRGINIA",208.240874264672,4.99761960274804,33.0393310934166,41.3388274728348,128.865096095673,1644.48072860225,163.021948801053,1361.04895205021,120.409827750989
"WASHINGTON",293.664847022743,2.59697008116184,43.57805424682,67.6971875859185,179.792635108842,2678.13839241125,452.099061054404,1905.43456148627,320.604769870579
"WEST VIRGINIA",325.896325625228,4.83930085946365,45.2255396790889,21.9848512324665,253.846633854209,1612.34394745762,353.457543467692,1112.28518612182,146.6012178681
"WISCONSIN",296.212104202872,3.05761264403861,39.2037338850716,51.9929713339883,201.957786339773,1473.90973393492,217.85067658765,1128.10719680404,127.951860543225
"WYOMING",220.162585736827,2.62126567355504,58.6574406545962,12.9976989216383,145.886180487038,1686.68303496553,246.124144807509,1309.84912321326,130.709766944754
