"State","ViolentCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA",459.025948937048,7.75126958035865,34.9803532234304,161.269806102819,255.02452003044,4139.62736540823,1092.39587327319,2754.72004550802,292.51144662702
"ALASKA",651.973938976024,4.01783728071226,64.2805232352136,93.9978018788128,489.677776581285,2932.29526219061,472.078824087052,2221.5639860949,238.652452008656
"ARIZONA",447.615966306604,6.27035296546682,25.7521982807961,149.450697904385,266.142717155956,4292.97310974834,868.791644060141,2850.94158509764,573.239880590563
"ARKANSAS",505.890311043874,5.73754032711919,49.0114267947608,96.7013966529495,354.439947269045,3850.38992295007,1182.47724262715,2438.70839759225,229.204282730661
"CALIFORNIA",503.780729188006,5.82751438881862,24.2214568644501,188.768480797469,284.963277137268,2940.27483341389,647.052700590418,1769.43414835285,523.787984470626
"COLORADO",345.53910074153,3.22783140723814,42.6732364327728,68.8002721536257,230.837760747893,2850.98150374385,575.131798532275,2001.40452406511,274.445181146457
"CONNECTICUT",297.807755625702,3.51302905360711,19.2502567652942,111.588654572707,163.455815234093,2458.74904177134,428.732350599157,1774.02254964795,255.994141524232
"DELAWARE",703.3623031708,6.52852162200547,41.9199809412983,210.516188442913,444.397612164583,3585.30372515153,774.259757276438,2520.00934609411,291.034621780981
"DISTRICT OF COLUMBIA",1437.73665882098,31.4277845270541,31.4277845270541,748.521964811019,626.359124955858,5104.64945347759,640.045418217639,3372.2350730696,1092.36896219035
"FLORIDA",689.341585789589,6.38288776654215,32.6032125785672,198.023721541528,452.331763902952,4143.0654513768,1028.88041866378,2767.47880337393,346.706229339098
"GEORGIA",479.244125851586,6.58305973481486,22.666627887098,179.458724739023,270.535713490651,4016.51403351536,1039.57646327995,2567.39547037845,409.542099856959
"HAWAII",272.628897110537,1.94069545209665,28.3341536006111,84.3038104390785,158.050237618751,3571.19014313017,728.071305808579,2444.65524709711,398.463590224484
"IDAHO",228.531459445419,1.51312601792006,36.1477304132418,15.8035077497908,175.067095264466,2100.99172826174,439.802718866123,1551.77493717591,109.414072219706
"ILLINOIS ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"INDIANA",365.398351014918,5.64780237500688,28.8256891685272,132.039716051664,198.885143419721,3519.33551167749,811.507976919972,2413.05111281544,294.776421942075
"IOWA",284.799211948512,2.51711509202826,29.650461275968,41.8637255537678,210.767910026748,2426.41886270634,549.384727343542,1732.19053517779,144.843600185012
"KANSAS",410.858395937839,4.04935238204046,42.4511047497378,60.2325458907722,304.125392915289,3380.10893655182,700.808811527302,2414.88091509962,264.419209924893
"KENTUCKY",308.582812237099,4.79862281649794,33.6062220497611,98.5421373830251,171.635829987815,2654.36222305678,690.499823096356,1778.39091711582,185.471482844609
"LOUISIANA",659.377963380277,12.1323740087898,27.9983547263318,137.656961349956,481.5902732952,3820.11996237963,985.019059949566,2520.19912080361,314.901781626459
"MAINE",117.512472881737,2.35480714889066,28.4855703494838,25.2951864703416,61.376908913021,2452.41770328822,495.421039518222,1867.66591515402,89.3307486159811
"MARYLAND",628.248701495687,8.75106969845376,20.0049808319622,234.36181182289,365.130839142381,3517.55725516042,689.594942627241,2378.28513470168,449.677177831499
"MASSACHUSETTS",451.538269299219,2.59855905184334,26.7858877788226,109.711597454434,312.442225014119,2405.15880165121,556.127785813625,1652.25429680329,196.776719034292
"MICHIGAN",507.250046138528,5.50523664799443,45.1426708108068,131.536214915824,325.065923763902,2949.54549685581,746.828272356805,1836.37803478888,366.339189710123
"MINNESOTA",NA,2.10112683979035,NA,80.656392097047,146.991233737273,2851.1886416483,507.354631177934,2150.03262445099,193.80138601938
"MISSISSIPPI",293.409526516358,8.30649277227373,30.8188579484123,108.159402961084,146.124772834588,3016.48154674447,906.94354864182,1886.16582479395,223.372173308703
"MISSOURI",504.826819283685,7.70880653734389,27.333976375286,125.139224843374,344.644811527682,3666.38123965326,775.119333860983,2539.71612530143,351.545780490847
"MONTANA",257.995898430197,2.42210169549123,30.3087703682623,17.742175768526,207.522850597917,2602.4235031453,344.322252710499,2095.5700825847,162.531167850095
"NEBRASKA",303.892086481561,3.81734650495998,32.7246225401813,72.898767386196,194.451350050224,2879.08144176903,492.132669828292,2152.0159859598,234.932785980935
"NEVADA",724.453467796492,6.2688281175786,42.3818931630161,248.945548497462,426.857198018435,3447.47087398617,929.017251584225,1906.83906072187,611.614561680077
"NEW HAMPSHIRE",162.423655214476,1.0827467031372,30.2757181770525,33.353946317344,97.7112440169422,2129.87617007683,331.860294983333,1689.75134270151,108.264532391988
"NEW JERSEY",326.735886260783,4.33480446117125,12.9352409718993,146.368822976144,163.097017851568,2294.76016910307,465.587973841492,1596.59148994331,232.580705318268
"NEW MEXICO",650.213429027957,7.16744558837826,57.4614677605475,109.577078452397,476.007437226634,3911.2252389774,1094.92134441551,2412.68691501553,403.616979546365
"NEW YORK",398.288262339235,4.29623726824344,14.3790515532333,163.147266483673,216.465707034086,1993.43187458489,337.279863932239,1527.24197454493,128.910036107721
"NORTH CAROLINA",467.945365351747,6.57456558172348,24.7273391824256,155.887059275089,280.756401312509,4039.23091572848,1210.66054542295,2538.00820315369,290.562167151846
"NORTH DAKOTA",166.572654882667,0.482291518936658,36.0380516204958,11.2801380755866,118.772173667648,1893.67361806483,328.219934924091,1428.01152867639,137.442154464351
"OHIO",374.59816625655,5.17085109162079,40.001265929121,177.586687468981,151.839361766827,3516.28243164747,936.656473345272,2314.57225770888,265.053700593318
"OKLAHOMA",526.721532708939,5.82638418578405,40.23576414511,101.121386082978,379.537998295067,3442.75377422986,963.235419343388,2180.75460429021,298.763750596271
"OREGON",257.952580518621,2.17837548078446,30.5190659215181,69.9781758452954,155.276963271023,3289.95810721513,551.544756127781,2438.59560121231,299.817749875031
"PENNSYLVANIA",412.021485134371,5.6824082358922,28.0558817675429,152.680846361113,225.602348769823,2414.60815392498,472.496632309284,1760.69652970063,181.41499191506
"PUERTO RICO",239.8561267889,20.4095206999833,2.40260776517772,138.263754233964,78.7802440897746,1498.56968966148,484.011656947064,837.447904508734,177.110128205679
"RHODE ISLAND",249.431854950761,2.75983357251891,26.3611689513013,83.6515072497973,136.659345177143,2840.63007952127,547.20838075806,1988.88833903699,304.533359726225
"SOUTH CAROLINA",730.244588763983,6.81560816936912,36.6031320271963,147.414424515866,539.411424051552,4236.95768155208,1026.75048357838,2815.86940638119,394.33779159251
"SOUTH DAKOTA",206.932596963111,3.19761900508983,54.6639081260516,15.8141809621501,133.25688886982,1686.58855795237,307.760485806191,1276.69030133465,102.137770811534
"TENNESSEE",722.410444082017,6.56488097613344,33.1783935607528,173.776261132944,508.890908412187,4042.6311785506,1045.97218807483,2687.33724565913,309.32174481664
"TEXAS",508.397772677333,5.65129311515936,32.9723495498244,155.338217630717,314.435912381633,3988.75231933384,946.715450488094,2690.89423929233,351.142629553418
"UTAH",221.885641055036,1.43144998250619,32.6121936937866,51.9628480246163,135.879149354127,3358.19219012728,536.669319516314,2558.52320507497,262.999665535998
"VERMONT",135.913170618578,2.78560407696808,20.3828694547016,14.3583436561645,98.3863534307441,2538.7693345724,557.37703841013,1887.1613544737,94.2309416885688
"VIRGINIA",255.9127893821,4.73770226111303,22.6321160299205,95.7219423225331,132.821028768533,2518.143210209,411.799688964168,1935.67789161136,170.665629633468
"WASHINGTON",331.215313968534,2.9386930182619,40.1222155138309,96.9101644004254,191.244241036016,3757.78352719395,801.262540144852,2524.00006185535,432.520925193744
"WEST VIRGINIA",277.765152284486,3.38305218972667,20.3358514870985,50.3844571975057,203.661791410155,2584.12699105499,616.594863341695,1789.72999014644,177.802137566855
