"State","ViolentCrime","Murderandnonnegligentmanslaughter","Rape2","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA",539.072852600179,8.24339137976377,43.0311943499626,86.6472120638924,401.15105480656,2922.24442645766,611.962203311383,2030.43399436289,279.848228783386
"ALASKA",886.540552656672,6.39366707262491,161.904235659614,121.813588537635,596.429061386798,3311.06052815153,541.628455188618,2226.68498439761,542.74708856531
"ARIZONA",478.313635784766,5.18362253280848,50.9822661685041,91.0710378445589,331.076709238895,2680.7696649296,440.066752019617,1973.16611357228,267.536799337705
"ARKANSAS",551.991300550946,7.42862364916788,75.7896062405248,52.6790208034202,416.094049857833,2923.31528667207,639.357340622576,2043.09425230157,240.863693747917
"CALIFORNIA",447.823027621392,4.40044418304169,39.2346852048278,137.472222581209,266.715675652314,2382.48618199648,416.546350788911,1573.19280190061,392.747029306964
"COLORADO",415.85075960058,3.88741957979215,74.8300666907614,69.0615516612382,268.071721668788,2786.90775542266,392.855084277258,1995.99590437486,398.056766770546
"CONNECTICUT",207.436185592548,2.32319570964532,23.5118601940008,61.4107396019498,120.190390086952,1680.95805232229,222.466981930856,1251.83861347202,206.652456919415
"DELAWARE",423.6065804289,4.96292796206669,34.9472843995529,89.5394919822865,294.156876084994,2324.40798990044,326.519302170971,1845.27865289592,152.610034833551
"DISTRICT OF COLUMBIA",995.935682712772,22.7772597532938,64.0610430561388,343.794264401278,565.303115502061,4373.80330412624,254.535877743058,3750.13346050637,369.133965876818
"FLORIDA",385.19489636516,5.20536051739876,39.6644534030405,79.3268129731165,260.998269471604,2282.91257621703,337.708117743401,1751.84325992021,193.361198553419
"GEORGIA",332.993386613058,6.26136098164945,25.9932407682925,80.3895374592296,220.349247403886,2597.28304715929,437.081857514945,1921.22207241587,238.979117228468
"HAWAII",248.64641873831,2.53433495882762,43.9988708129795,66.5966908625257,135.516522103977,2870.27513725888,396.41222647662,2076.18351682622,397.679393956033
"IDAHO",227.00201192035,2.01727824141973,45.183836123118,10.8508066536484,168.950090902163,1465.17526372963,282.856825892007,1070.73898706878,111.579450768846
"ILLINOIS",431.477271608017,7.47175435666522,48.9074823602543,119.82487278388,255.273162107217,2034.0523452585,321.910443861716,1549.15177335605,162.990128040734
"INDIANA",416.197025045106,7.24312958067749,40.9861399552516,97.2782848883011,270.689470620876,2361.25453917668,418.143055727662,1693.45287277139,249.658610677625
"IOWA",245.004726731609,1.75410967513863,31.7383225076885,24.617733707091,186.894560841691,1668.8733559948,356.896469381986,1168.79842758657,143.178459026244
"KANSAS",441.720580798391,4.50327968429183,55.4073831208319,51.1900808591249,330.619837134142,2677.28113564556,440.187855746821,1962.97087121003,274.122408688707
"KENTUCKY",212.734067737152,5.48001718143525,38.3552366727599,55.2195965600566,113.6792173229,1968.79492512766,385.93267751421,1352.81530373771,230.046943875735
"LOUISIANA",544.727849964708,11.6826910358515,46.0904026382953,99.9468796105366,387.007876680025,3287.58672049132,673.137263069846,2363.01363207024,251.435825351231
"MAINE",112.148499257324,1.79318053442757,33.3232715981124,17.0352150770619,59.9968320477225,1357.81124383968,202.704116245917,1097.05290779167,58.0542198020926
"MARYLAND",468.66327371226,8.10893376126439,32.7501630888617,160.788572294785,267.015604567349,2033.25721968161,312.640768607769,1519.76312646064,200.853324613196
"MASSACHUSETTS",342.397634009276,2.02092391061363,35.5678893334339,60.4783769853084,244.33044377992,1281.69632014014,205.296521342437,979.788491069398,96.6113077283091
"MICHIGAN",453.793851625644,5.56880078310896,77.7320709542946,57.0110009847976,313.481978903442,1667.9020698922,319.564903045211,1172.05297712291,176.284189724081
"MINNESOTA",223.171504833742,1.91123834895838,44.3955153540685,53.1915992523792,123.673151878336,2017.82536196291,291.788363681764,1543.27452290105,182.762475380096
"MISSISSIPPI",280.400573010941,8.31168097420138,22.786225517457,63.4319785701136,185.870687949169,2564.60119586731,695.645704382633,1682.14274137457,186.812750110105
"MISSOURI",503.188458033887,9.93213233070788,47.6904610114549,84.983730255111,360.582134436613,2653.17581831125,446.209009055951,1882.9484258999,324.018383355403
"MONTANA",374.204332971758,3.20855047703015,51.9731900514478,25.0531614657145,293.969430977565,2497.98348157712,307.090587985076,1927.70776299289,263.185130599148
"NEBRASKA",288.516671364831,2.32093768895805,65.5130978877329,38.2200956941124,182.462540094027,2091.13393558898,276.090387477265,1560.17071658645,254.872831525267
"NEVADA",541.129821064648,6.65701728715341,76.7534319890113,127.274261202903,330.44511058558,2438.21497024775,584.729988742391,1461.18233899905,392.302642506308
"NEW HAMPSHIRE",174.120568134521,1.58748091687166,40.0794451980191,25.0765681077942,107.377073911836,1255.36704825199,138.479057236657,1051.75755352422,65.1304374911106
