"State","ViolentCrime","Murderandnonnegligentmanslaughter","Rape2","Rape3","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA",533.129237590304,8.40821359622349,39.530177914193,28.5167029907938,96.5731539632511,388.617692116637,2952.26628120993,701.956781470475,2008.94484793421,241.364651805249
"ALASKA",804.256815602802,7.01628374004225,141.988547886059,101.925152565699,114.557507839043,540.694476137658,3353.12296228507,546.369777837443,2394.65182817036,412.101356277262
"ARIZONA",473.115416246696,5.5081847425953,47.8112273255077,35.6467848539799,102.940291621573,316.855712557021,2996.41291529709,547.22599990574,2181.60299751408,267.583917877268
"ARKANSAS",551.02966267755,7.22419614586369,71.6992049951892,51.6942599471172,70.9784294403771,401.12783209612,3269.76973116823,795.742991287399,2234.44712588228,239.579613998554
"CALIFORNIA",445.711993024189,4.92198992393272,34.9383372325757,25.8799400797225,139.707818068824,266.143847798857,2555.10140221018,480.135022815603,1624.26265794832,450.703721446254
"COLORADO",342.746976731374,3.68400905249132,64.1976688135778,47.2399436471337,63.7289928391441,211.136306026161,2740.21399191869,431.472781670645,1954.8113822954,353.929827952649
"CONNECTICUT",227.124535713047,2.1809323877407,21.3339924595661,15.6859367887504,75.5776954367065,128.031915429034,1808.04887078032,280.864946600709,1328.46743085046,198.716493329143
"DELAWARE",508.788790681308,5.88195133735617,32.3507323554589,23.2127008134949,142.742354776197,327.813752212296,2765.98761639174,527.590027991786,2078.74462352886,159.652964871096
"DISTRICT OF COLUMBIA",1205.86637696904,20.4060660334425,78.1009146028157,58.8692984130247,510.885681988344,596.473714344437,4802.91263561226,346.609510107609,4019.84820235771,436.454923146938
"FLORIDA",430.457856944628,5.38872056062732,36.8718504380158,26.8211170117165,97.9035541341135,290.293731811872,2687.22348400525,486.853257650411,1991.06141152397,209.308814830874
"GEORGIA",397.885335541714,6.62088146100392,34.1077602523155,24.5670202138389,118.491786572633,238.664907255761,3005.42553563915,614.601674169567,2130.73894124665,260.084920222936
"HAWAII",264.672673193999,1.47001484714996,32.1303245162776,24.0102425034493,63.2806391344553,167.791694696116,2543.33568769045,331.523348385819,1857.39875972747,354.413579577154
"IDAHO",230.303538553494,2.91716072886548,42.7209549610839,31.4158030542765,12.6721850553049,171.99323780824,1744.15803761714,375.366067460262,1245.41396110271,123.37800905417
"ILLINOIS",442.525967023486,8.39803511443381,38.7332099272751,28.6384752943159,141.540920028821,253.853801952956,2059.4882961533,377.551605871907,1524.45347417449,157.483216106904
"INDIANA",446.564776916363,7.28634508822749,39.7642149645734,29.5367246857641,126.14982680327,273.364390060292,2759.14111914073,552.775398711033,1967.78718032728,238.578540102423
"IOWA",291.632168574411,2.30196189042404,39.8718569456584,29.4314766282577,36.9534023704892,212.50494736784,2095.07987461922,480.88418435553,1454.37959857168,159.816091692008
"KANSAS",383.721374198847,3.82819943012008,45.5227775840447,33.6327813201049,58.2195339858458,276.150863198836,2710.43608852586,496.66034682981,1973.31865479907,240.457086896985
"KENTUCKY",232.320495905543,5.85984952807927,36.9846656753003,26.4594744075579,75.9301271542272,113.545853547936,2189.73561711202,469.554250261552,1497.37185748666,222.809509363814
"LOUISIANA",567.464215319663,11.8820223236501,38.9292059894824,28.4020165992631,119.645328814577,397.007658191953,3297.06928864101,741.620500287027,2334.04757641501,221.401211938972
"MAINE",123.772136098279,1.50208903031892,30.9430340245697,22.5313354547837,19.9777841032416,71.3492289401485,1645.6887416174,300.643119418331,1286.83967227422,58.205949924858
"MARYLAND",496.591031365415,8.72606149320721,29.5188757449109,21.3246518936283,182.889267840828,275.456826286469,2343.32883417617,425.465793184196,1710.11125953477,207.751781457204
"MASSACHUSETTS",378.800149294434,1.99447113873969,31.3359348696747,23.3971332749566,79.5044675780338,265.965275707986,1564.89618483622,282.519398632057,1163.67822175368,118.698564450485
"MICHIGAN",459.397736793076,6.03396316510484,71.7944614795286,51.5306491670811,71.7675480486935,309.80176409975,1910.49904499693,398.802400489919,1308.31440084879,203.382243658217
"MINNESOTA",242.647037510471,1.82972605558889,42.5366017675516,31.3589683388551,67.5368191607463,130.743890526584,2133.27941982104,337.068148418682,1638.09395444018,158.117316962176
"MISSISSIPPI",287.792197551155,8.47526528258601,40.9120564874994,29.0675189276941,85.3964750059663,153.008400775103,2830.22612454658,797.254138858155,1880.66748262787,152.304503060547
"MISSOURI",519.795258061943,8.82488188951006,41.9635310472351,30.9509655134346,107.92658982727,361.080255297928,2801.36610882036,520.847435323063,1980.00589266382,300.51278083347
"MONTANA",368.481986861707,3.47304696614704,55.524453924698,39.7343215834437,25.5593516827564,283.925134288105,2683.71086828847,377.520502815992,2042.96547388442,263.224891588062
"NEBRASKA",292.138078568427,2.61309714832447,52.2561888137665,38.5527473465805,49.9044572570547,187.364335349281,2269.03176529906,338.81043420658,1681.4868177682,248.73451332428
"NEVADA",678.08186097009,7.61889731427067,58.9444153822816,43.9447112948112,215.642004341411,395.876543932127,2586.58162526045,641.143814169653,1497.14733518863,448.290475902176
"NEW HAMPSHIRE",197.885247159209,1.25579038973753,43.61008656191,31.5468512693882,32.1087851156503,120.910585091911,1513.59118130805,222.055825458816,1226.2239514113,65.311404437934
"NEW JERSEY",245.000569625765,4.15899479331864,16.2446758997096,12.1751218546344,100.441960277351,124.154938655386,1544.55228141548,282.677484823303,1135.2266970795,126.648099512671
"NEW MEXICO",703.921683975325,6.71382483203005,73.4438939971915,53.8021416139746,132.171220362037,491.592744784067,3943.38039569765,831.686997144465,2545.98846455515,565.704933998036
"NEW YORK",377.554468253388,3.20042860071239,31.7165295851338,23.1484101236037,113.477580288493,229.159929779049,1546.65947735433,201.768822987745,1271.88254911688,73.0081052497013
"NORTH CAROLINA",376.007787658741,6.74366673827089,28.4561122677391,20.780214397489,93.1626664039987,247.645342248732,2751.59856613713,712.667551734376,1886.90338245266,152.027631950096
"NORTH DAKOTA",251.095632538403,1.98033912966522,45.1443290194338,33.7921473276706,23.8896584861016,180.081305903202,2295.80027867946,427.846584412598,1608.79525241482,259.15844185204
"OHIO",314.27265283001,5.92444133846667,49.3990126899075,36.524157815459,113.745540145434,145.203658656202,2621.49919547392,593.140110456796,1851.287436123,177.071648894122
"OKLAHOMA",450.13719169809,6.24521293311465,52.0167642262836,38.4962231906023,80.679780292343,311.195434246349,2984.50069965258,742.152375533194,1932.35270690404,309.99561721535
"OREGON",264.887471982395,2.74876233534805,41.7608080334312,30.585008390183,55.8757738594808,164.502127754135,2968.11423449036,413.041862318098,2231.89352900165,323.178843170604
"PENNSYLVANIA",317.832932965715,5.21042605997367,34.9343713693337,25.4801086691893,96.9387548034851,180.749380732923,1745.32034154611,278.594486743716,1364.23429966702,102.491555135372
"PUERTO RICO",224.049022852531,19.9043944153956,4.95411289573175,3.75222751866074,93.8350022440079,105.355513297396,1031.89188190919,241.87210356617,679.006609490146,111.013168852877
"RHODE ISLAND",238.918769511542,2.74510472101217,41.8391822995648,31.0480809824824,51.1157430809162,143.218739410049,1898.66587910559,358.567471834279,1389.02298883216,151.075418439152
"SOUTH CAROLINA",501.685619793973,7.39946418252232,48.0947497494735,34.4593785309676,81.2910134463802,364.900392415597,3241.43722460599,664.758440188803,2296.04794137606,280.630843041125
"SOUTH DAKOTA",419.833039133888,3.21705102621742,59.3970643147693,44.0262425666689,31.6423011855272,325.576622607374,1985.42570296478,347.598900534381,1463.66534181602,174.161460614377
"TENNESSEE",632.923953202989,7.3069587204944,40.8047036366703,29.9344749228484,117.467630623915,467.344660221909,2854.14919486637,606.086666544383,2020.74995857887,227.312569743117
"TEXAS",435.00987208658,5.31627463792309,48.003052411997,35.3798983457707,119.782316873491,261.908228163169,2762.25832901362,534.377350073337,1979.72908807309,248.151890867194
"UTAH",243.238155643687,2.39002876708604,49.9298475520729,36.6095376608704,50.5965078663653,140.321771458163,2955.01648521858,420.937163428613,2226.20882490746,307.870496882509
"VERMONT",158.342859521545,2.24145604984998,28.4985126338069,19.8528964415284,16.9710243774356,110.631866460453,1697.42264575068,336.69871948818,1315.57459725838,45.1493290041211
"VIRGINIA",217.573307056567,5.7540902386624,32.5393440642861,23.3612572244172,57.099973515089,122.179899238529,1859.406952022,237.974035057849,1505.06960650511,116.363310459039
"WASHINGTON",302.478155460114,2.68015417652101,42.2636565841969,31.0126967660488,77.6189517081344,179.915392991262,3497.22360843803,675.396800671561,2378.4164233496,443.410384416863
"WEST VIRGINIA",366.753237525928,4.62130693655989,37.2734668691895,26.484860458181,40.9639792614928,283.894484458686,2052.24863778855,516.630435078354,1398.22076902374,137.397433686454
"WISCONSIN",307.963877247897,3.99962988215195,34.3758982042917,25.3223490854521,82.1595417130596,187.428807448394,1940.68113025209,337.443085093244,1429.73721899744,173.50082616141
"WYOMING",244.531690012131,3.53744301599184,35.0886091740824,25.4709575393185,10.1503972672463,195.75524055481,1957.04661424044,302.433372785324,1518.09831984914,136.514921605978
