"","Year","State","ViolentCrime","Murderandnonnegligentmanslaughter","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"66",2000,"ILLINOIS",656.8,7.2,207.4,409.3,3629.4,659.6,2517.8,452.1
"67",2000,"INDIANA",349.1,5.8,103.3,211.1,3402.8,676.1,2379.9,346.8
"68",2000,"IOWA",266.4,1.6,36.6,205.1,2967.3,558.4,2225.2,183.6
"69",2000,"KANSAS",389.4,6.3,76.2,269,4019.4,799.1,2978.6,241.6
"70",2000,"KENTUCKY",294.5,4.8,80.6,182.2,2665.2,626.2,1809.6,229.5
"71",2000,"LOUISIANA",681.1,12.5,168.5,466.6,4741.7,1035.8,3229.9,475.9
"72",2000,"MAINE",109.6,1.2,19.4,63.9,2510.2,531.4,1875.1,103.7
"73",2000,"MARYLAND",786.6,8.1,256,493.3,4029.5,744.4,2745.7,539.5
"74",2000,"MASSACHUSETTS",476.1,2,91.6,355.9,2550,482,1660.5,407.6
"75",2000,"MICHIGAN",555,6.7,138,359.7,3554.9,702.2,2291.9,560.7
"76",2000,"MINNESOTA",280.8,3.1,75.5,156.7,3207.6,530.9,2403.7,273
"77",2000,"MISSISSIPPI",360.9,9,95,221.1,3643.5,946.3,2452.2,245
"78",2000,"MISSOURI",490,6.2,135.8,323.9,4037.7,745,2851.3,441.4
"79",2000,"MONTANA",240.6,1.8,27.6,177.9,3292.7,437.4,2638.6,216.8
"80",2000,"NEBRASKA",327.6,3.7,67,231.4,3767.9,592,2870.3,305.6
"81",2000,"NEVADA",524.2,6.5,227.3,247.3,3744.4,877.1,2208.2,659.2
"82",2000,"NEW HAMPSHIRE",175.4,1.8,36.7,94.7,2257.8,404,1680,173.8
"83",2000,"NEW JERSEY",383.8,3.4,161.1,203.2,2776.6,522,1848.8,405.9
"84",2000,"NEW MEXICO",757.9,7.4,137.4,562.4,4761,1173.1,3184.4,403.6
"85",2000,"NEW YORK",553.9,5,213.6,316.7,2545.7,463.4,1796.4,285.8
"86",2000,"NORTH CAROLINA",497.6,7,156.5,307,4421.8,1216.1,2891.8,313.9
"87",2000,"NORTH DAKOTA",81.4,0.6,8.7,45.8,2206.6,325.9,1727.2,153.5
"88",2000,"OHIO",334.1,3.7,137.5,155.3,3707.7,780.7,2583.2,343.7
"89",2000,"OKLAHOMA",497.8,5.3,75.8,375.5,4060.8,917.5,2785.4,357.8
"90",2000,"OREGON",350.7,2,84.4,226.7,4494.7,748.8,3338.7,407.2
"91",2000,"PENNSYLVANIA",420,4.9,147.8,240.9,2575.3,440.4,1839.2,295.8
"92",2000,"PUERTO RICO",325.7,18.2,229.9,71.6,1653.4,552.9,759.9,340.7
"93",2000,"RHODE ISLAND",297.7,4.3,88,166.2,3178.7,631.5,2102.2,445
"94",2000,"SOUTH CAROLINA",804.9,5.8,146.6,614.8,4416.5,969.3,3068.1,379
"95",2000,"SOUTH DAKOTA",166.8,0.9,17.4,108.1,2153,383.7,1663.7,105.7
"96",2000,"TENNESSEE",707.2,7.2,166.4,495.2,4183,990.4,2708.8,483.9
"97",2000,"TEXAS",545.1,5.9,145.1,356.3,4410.4,906.3,3057.4,446.8
"98",2000,"UTAH",255.7,1.9,55.6,159.5,4220.3,642.5,3288.5,289.3
"99",2000,"VERMONT",113.5,1.5,19.2,69.8,2873.4,575,2165.5,132.9
"100",2000,"VIRGINIA",281.7,5.7,88.9,164.3,2746.4,429.9,2064.8,251.6
"101",2000,"WASHINGTON",369.7,3.3,98.6,221.3,4736,907.3,3234.6,594.1
"102",2000,"WEST VIRGINIA",316.5,2.5,41.4,254.2,2286.3,546.9,1556.1,183.3
"103",2000,"WISCONSIN",236.8,3.2,84.6,127.3,2972.3,469.5,2229.9,272.9
"104",2000,"WYOMING",266.5,2.4,14.2,217.5,3031.5,420.8,2494.6,116
"105",2001,"ALABAMA",438.6,8.5,125.1,274.4,3880.8,910.4,2687.8,282.7
"106",2001,"ALASKA",588.3,6.1,81,422.3,3647.9,605.9,2629.6,412.4
"107",2001,"ARIZONA",540.3,7.5,167.1,337.1,5537.1,1032.9,3520.6,983.6
"108",2001,"ARKANSAS",452.8,5.5,81,333.2,3681.4,824.5,2585,271.9
"109",2001,"CALIFORNIA",617,6.4,187.1,394.6,3286,672.4,2022.2,591.4
