"State","Area","Actual","Percentage","ViolentCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA","M","Y",0.984,16313,244,1104,5586,9379,139955,39097,91697,9161
"ALABAMA","M","N",1,16512,247,1116,5642,9507,141768,39611,92882,9275
"ALABAMA","O","Y",0.991,3319,46,255,534,2484,26142,5709,19277,1156
"ALABAMA","O","N",1,3348,46,257,539,2506,26375,5760,19449,1166
"ALABAMA","R","Y",0.99,1306,30,130,77,1069,9389,3431,5325,633
"ALABAMA","R","N",1,1319,30,131,78,1080,9486,3466,5380,640
"ALASKA","M","Y",1,2892,14,351,590,1937,12805,1932,9854,1019
"ALASKA","O","Y",0.928,622,2,88,36,496,4107,612,3208,287
"ALASKA","O","N",1,670,2,95,39,534,4424,659,3456,309
"ALASKA","R","Y",1,859,6,66,26,761,3348,1006,1981,361
"ARIZONA","M","Y",0.993,23912,311,1574,7910,14117,219512,49028,146173,24311
"ARIZONA","M","N",1,24004,312,1581,7933,14178,220736,49303,147028,24405
"ARIZONA","O","Y",0.973,2136,33,486,120,1497,10287,2682,6446,1159
"ARIZONA","O","N",1,2196,34,500,123,1539,10578,2758,6628,1192
"ARIZONA","R","Y",1,729,8,29,43,649,3268,1351,1528,389
"ARKANSAS","M","Y",0.937,10485,94,889,2099,7403,73301,21827,47122,4352
"ARKANSAS","M","N",1,10875,98,929,2121,7727,75801,22888,48366,4547
"ARKANSAS","O","Y",0.981,2669,41,245,383,2000,22683,7814,14023,846
"ARKANSAS","O","N",1,2721,42,250,390,2039,23123,7966,14295,862
"ARKANSAS","R","Y",0.927,1263,36,175,66,986,9371,3623,5105,643
"ARKANSAS","R","N",1,1363,39,189,71,1064,10114,3910,5510,694
"CALIFORNIA","M","Y",1,171240,1941,8412,63726,97161,992141,224746,605031,162364
"CALIFORNIA","O","Y",1,1320,6,108,213,993,9033,2400,5989,644
"CALIFORNIA","R","Y",1,1899,25,193,154,1527,8440,2991,4436,1013
"COLORADO","M","Y",0.997,15261,157,2030,3285,9789,119558,24124,83645,11789
"COLORADO","M","N",1,15291,157,2034,3291,9809,119895,24177,83899,11819
"COLORADO","O","Y",0.922,1037,12,140,71,814,9883,1551,7975,357
"COLORADO","O","N",1,1125,13,152,77,883,10722,1683,8652,387
"COLORADO","R","Y",0.887,497,4,50,17,426,2974,700,2050,224
"COLORADO","R","N",1,560,5,56,19,480,3351,789,2310,252
"CONNECTICUT","M","Y",1,9907,98,548,3878,5383,74554,13089,54562,6903
"CONNECTICUT","O","Y",1,255,1,40,63,151,2853,582,2142,129
"CONNECTICUT","R","Y",1,346,8,63,49,226,4774,1402,2928,444
"DELAWARE","M","Y",1,4546,37,228,1457,2824,23385,5071,16660,1654
"DELAWARE","O","Y",0.982,399,1,40,110,248,2392,517,1810,65
"DELAWARE","O","N",1,407,1,41,112,253,2437,527,1844,66
"DELAWARE","R","Y",1,682,3,69,102,508,3826,1334,2305,187
"DISTRICT OF COLUMBIA","M","Y",1,8071,144,150,4389,3388,28456,3696,19228,5532
"FLORIDA","M","Y",0.999,107889,967,5139,30193,71590,681390,171407,461293,48690
"FLORIDA","M","N",1,107967,967,5143,30217,71640,681988,171541,461716,48731
"FLORIDA","O","Y",0.991,1594,13,96,332,1153,9016,2462,6159,395
"FLORIDA","O","N",1,1608,13,97,335,1163,9098,2484,6215,399
"FLORIDA","R","Y",0.991,3932,37,259,356,3280,20738,7789,11830,1119
"FLORIDA","R","N",1,3966,37,261,359,3309,20924,7859,11936,1129
"GEORGIA","M","Y",0.995,34705,488,1882,13314,19021,301213,82261,188558,30394
"GEORGIA","M","N",1,34856,489,1891,13365,19111,302613,82601,189500,30512
"GEORGIA","O","Y",0.863,3778,34,187,881,2676,29474,7062,21465,947
"GEORGIA","O","N",1,4372,39,217,1019,3097,34106,8171,24839,1096
"GEORGIA","R","Y",0.945,2505,36,182,207,2080,22373,7171,13750,1452
"GEORGIA","R","N",1,2652,38,193,219,2202,23681,7590,14554,1537
"HAWAII","M","Y",1,2537,14,243,869,1411,33375,5999,23647,3729
"HAWAII","R","Y",1,1022,8,149,165,700,14044,3179,9775,1090
"IDAHO","M","Y",0.993,2553,16,390,211,1936,22323,4604,16723,996
"IDAHO","M","N",1,2566,16,392,212,1946,22418,4631,16786,1001
"IDAHO","O","Y",0.993,519,2,86,18,413,5221,1044,3952,225
"IDAHO","O","N",1,523,2,87,18,416,5255,1051,3978,226
"IDAHO","R","Y",1,441,4,73,15,349,3068,876,1977,215
"INDIANA","M","Y",0.9,18722,261,1324,6888,10249,159046,39778,107640,11628
"INDIANA","M","N",1,19389,270,1391,7028,10700,168565,41843,114506,12216
"INDIANA","O","Y",0.825,893,7,118,203,565,15794,2907,12125,762
