<<<<<<< HEAD
"State","Area","Actual","Percentage","CrimeIndexTotal","ViolentCrime","PropertyCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA","M","Y","0.92800000000000005",145775,14422,131353,271,1025,4838,8288,30504,"90735",10114
"ALABAMA","M","N","1",154595,15181,139414,282,1073,5049,8777,32284,"96469",10661
"ALABAMA","O","Y","0.81399999999999995",21521,2329,19192,46,125,343,1815,3748,"14570",874
"ALABAMA","O","N","1",26454,2864,23590,57,154,422,2231,4607,"17909",1074
"ALABAMA","R","Y","0.71699999999999997",8456,1103,7353,29,102,81,891,2691,"4028",634
"ALABAMA","R","N","1",11786,1537,10249,40,142,113,1242,3751,"5614",884
"ALASKA","M","Y","1",13214,1748,11466,10,210,384,1144,1606,"8648",1212
"ALASKA","O","Y","0.76200000000000001",6809,983,5826,12,126,79,766,772,"4405",649
"ALASKA","O","N","1",8941,1291,7650,16,165,104,1006,1014,"5784",852
"ALASKA","R","Y","1",4740,696,4044,13,126,26,531,1227,"2263",554
"ARIZONA","M","Y","0.996",301819,26589,275230,371,1416,8716,16086,50802,"173753",50675
"ARIZONA","M","N","1",302889,26663,276226,372,1421,8734,16136,51021,"174391",50814
"ARIZONA","O","Y","0.99099999999999999",12771,1002,11769,8,51,87,856,2206,"8764",799
"ARIZONA","O","N","1",12887,1011,11876,8,51,88,864,2226,"8844",806
"ARIZONA","R","Y","1",6773,1001,5772,20,46,46,889,1574,"3615",583
"ARKANSAS","M","Y","1",71929,7198,64731,83,580,1649,4886,13319,"46387",5025
"ARKANSAS","O","Y","1",26367,3338,23029,31,169,451,2687,5157,"16543",1329
"ARKANSAS","R","Y","0.98699999999999999",12826,1632,11194,34,141,80,1377,3670,"6571",953
"ARKANSAS","R","N","1",13000,1654,11346,34,143,81,1396,3720,"6660",966
"CALIFORNIA","M","Y","1",1311344,208710,1102634,2166,9609,64035,132900,222944,"678825",200865
