State,Area,Actual,Percentage,ViolentCrime,PropertyCrime,Murderandnonnegligentmanslaughter,Forciblerape,Robbery,Aggravatedassault,Burglary,Larcenytheft,Motorvehicletheft
ALABAMA,M,Y,0.98500000000000000,15129,143099,207,1345,5371,8206,35215,96320,11564
ALABAMA,M,N,1,15326,145230,207,1359,5439,8321,35656,97854,11720
ALABAMA,O,Y,0.91100000000000000,2645,25433,28,217,482,1918,5181,18915,1337
ALABAMA,O,N,1,2883,27643,31,236,520,2096,5630,20563,1450
ALABAMA,R,Y,0.89100000000000000,993,8436,14,131,74,774,3012,4663,761
ALABAMA,R,N,1,1115,9467,16,147,83,869,3380,5233,854
ALASKA,M,Y,1,2558,12682,17,320,386,1835,1835,9591,1256
ALASKA,O,Y,0.92800000000000000,598,4764,5,90,32,471,622,3765,377
ALASKA,O,N,1,644,5133,5,97,34,508,670,4057,406
ALASKA,R,Y,1,957,4357,15,141,27,774,1268,2511,578
ARIZONA,M,Y,0.98400000000000000,26119,280977,389,1752,7487,16491,50845,177512,52620
ARIZONA,M,N,1,26444,285158,392,1778,7556,16718,51775,180078,53305
ARIZONA,O,Y,0.97000000000000000,1323,14308,7,74,117,1125,2821,10307,1180
ARIZONA,O,N,1,1364,14749,7,76,121,1160,2908,10625,1216
ARIZONA,R,Y,1,1144,6840,15,42,44,1043,2202,3853,785
ARKANSAS,M,Y,0.93200000000000000,9736,76821,116,781,1926,6913,19313,52908,4600
ARKANSAS,M,N,1,10060,79370,122,815,1948,7175,20243,54313,4814
ARKANSAS,O,Y,0.92100000000000000,2313,20089,25,202,337,1749,6107,13120,862
ARKANSAS,O,N,1,2510,21803,27,219,366,1898,6628,14239,936
ARKANSAS,R,Y,0.85700000000000000,1000,7961,23,113,50,814,2766,4560,635
ARKANSAS,R,N,1,1167,9291,27,132,58,950,3228,5322,741
CALIFORNIA,M,Y,1,194890,1203771,2363,9345,61488,121694,238885,714752,250134
CALIFORNIA,O,Y,1,1352,12460,5,130,176,1041,3023,8269,1168
CALIFORNIA,R,Y,1,1828,10963,24,140,104,1560,3995,5666,1302
COLORADO,M,Y,0.96800000000000000,15344,158417,186,1718,3585,9855,29642,106283,22492
COLORADO,M,N,1,15706,163916,189,1769,3667,10081,30450,110221,23245
COLORADO,O,Y,0.90900000000000000,880,10816,7,135,62,676,1510,8843,463
COLORADO,O,N,1,969,11903,8,149,68,744,1662,9731,510
COLORADO,R,Y,0.94100000000000000,480,4255,6,36,14,424,843,3122,290
COLORADO,R,N,1,510,4523,6,38,15,451,896,3319,308
CONNECTICUT,M,Y,1,9404,84082,74,618,4088,4624,13880,59895,10307
CONNECTICUT,O,Y,1,235,3178,5,22,57,151,553,2399,226
CONNECTICUT,R,Y,1,393,4786,12,84,77,220,1137,3157,492
DELAWARE,M,Y,1,3835,21440,17,269,1089,2460,3998,15504,1938
DELAWARE,O,Y,1,308,1951,0,20,71,217,425,1458,68
DELAWARE,R,Y,1,577,2881,0,56,58,463,960,1780,141
DISTRICT OF COLUMBIA,M,Y,1,7590,26896,198,222,3202,3968,3946,14542,8408
FLORIDA,M,Y,0.999,117774,695916,909,6185,29371,81309,157420,462412,76084
FLORIDA,M,N,1,117795,696061,909,6186,29377,81323,157450,462512,76099
FLORIDA,O,Y,0.98100000000000000,1954,11002,9,94,339,1512,2556,7689,757
FLORIDA,O,N,1,1992,11214,9,96,346,1541,2605,7837,772
FLORIDA,R,Y,1,3967,19866,28,330,274,3335,6277,12135,1454
GEORGIA,M,Y,0.89700000000000000,31308,287686,491,1881,11739,17197,62595,188257,36834
GEORGIA,M,N,1,33739,314329,532,2055,12621,18531,68812,205051,40466
GEORGIA,O,Y,0.84800000000000000,3646,32082,28,175,695,2748,6178,24419,1485
GEORGIA,O,N,1,4298,37818,33,206,819,3240,7282,28785,1751
GEORGIA,R,Y,0.82800000000000000,1806,20305,40,104,179,1483,5715,12916,1674
GEORGIA,R,N,1,2180,24509,48,126,216,1790,6898,15590,2021
HAWAII,M,Y,1,2507,44121,26,222,818,1441,7240,29512,7369
HAWAII,R,Y,1,706,16404,7,111,126,462,3587,11566,1251
IDAHO,M,Y,0.999,2457,27678,21,440,192,1804,5007,20686,1985
IDAHO,M,N,1,2461,27724,21,441,192,1807,5016,20720,1988
IDAHO,O,Y,1,453,7028,1,65,34,353,1351,5263,414
IDAHO,R,Y,1,498,4181,8,64,14,412,1259,2600,322
INDIANA,M,Y,0.90800000000000000,17244,167467,286,1461,5751,9746,33274,116061,18132
INDIANA,M,N,1,18160,177596,292,1532,5941,10395,35132,123342,19122
INDIANA,O,Y,0.86200000000000000,881,19451,4,126,200,551,3367,15121,963
INDIANA,O,N,1,1023,22577,5,146,232,640,3908,17551,1118
INDIANA,R,Y,0.52700000000000000,585,6190,10,66,105,404,1647,4095,448
INDIANA,R,N,1,1111,11756,19,125,200,767,3128,7777,851
IOWA,M,Y,0.99100000000000000,5663,60331,36,578,976,4073,12052,44243,4036
IOWA,M,N,1,5690,60744,36,582,978,4094,12127,44564,4053
IOWA,O,Y,0.93000000000000000,1679,18223,7,143,133,1396,3846,13546,831
IOWA,O,N,1,1807,19603,8,154,143,1502,4137,14572,894
IOWA,R,Y,0.98300000000000000,497,5394,2,53,3,439,1877,3068,449
IOWA,R,N,1,506,5489,2,54,3,447,1910,3122,457
KANSAS,M,Y,0.97200000000000000,7158,74337,90,705,1544,4819,12590,54911,6836
KANSAS,M,N,1,7284,75861,91,721,1560,4912,12846,56069,6946
KANSAS,O,Y,0.93000000000000000,1967,23687,16,261,199,1491,4594,18125,968
KANSAS,O,N,1,2116,25482,17,281,214,1604,4942,19499,1041
KANSAS,R,Y,0.97700000000000000,826,7184,15,100,38,673,2161,4585,438
KANSAS,R,N,1,845,7351,15,102,39,689,2211,4692,448
KENTUCKY,M,Y,0.90000000000000000,6609,63593,107,591,2594,3317,14649,43405,5539
KENTUCKY,M,N,1,7059,69678,109,638,2734,3578,15802,47920,5956
KENTUCKY,O,Y,0.85400000000000000,1110,15268,17,135,233,725,2878,11425,965
