State,Area,Actual,Percentage,ViolentCrime,PropertyCrime,Murderandnonnegligentmanslaughter,Forciblerape,Robbery,Aggravatedassault,Burglary,Larcenytheft,Motorvehicletheft
KENTUCKY,O,N,1,1300,17884,20,158,273,849,3371,13383,1130
KENTUCKY,R,Y,0.874,1566,15420,93,386,228,859,5880,8067,1473
KENTUCKY,R,N,1,1793,17647,107,442,261,983,6729,9232,1686
LOUISIANA,M,Y,0.97200000000000000,22668,158947,513,1319,5874,14962,34597,106633,17717
LOUISIANA,M,N,1,23177,163767,517,1355,5966,15339,35422,110317,18028
LOUISIANA,O,Y,0.58600000000000000,1708,12592,16,63,248,1381,3378,8691,523
LOUISIANA,O,N,1,2917,21504,27,108,424,2358,5769,14842,893
LOUISIANA,R,Y,0.93100000000000000,2559,12919,28,142,162,2227,3879,8302,738
LOUISIANA,R,N,1,2750,13882,30,153,174,2393,4168,8921,793
MAINE,M,Y,1,857,19404,8,193,228,428,3636,14954,814
MAINE,O,Y,1,353,8413,6,93,46,208,1417,6712,284
MAINE,R,Y,1,154,3923,4,29,15,106,1288,2430,205
MARYLAND,M,Y,1,37688,194594,513,1249,12622,23304,34995,124190,35409
MARYLAND,O,Y,1,587,4061,2,32,86,467,670,3216,175
MARYLAND,R,Y,1,657,3671,6,35,53,563,1017,2380,274
MASSACHUSETTS,M,Y,0.97300000000000000,28822,153751,167,1756,7359,19540,33540,98580,21631
MASSACHUSETTS,M,N,1,29340,157234,168,1793,7462,19917,34330,100890,22014
MASSACHUSETTS,O,Y,0.872,84,515,1,5,4,74,121,360,34
MASSACHUSETTS,O,N,1,97,591,1,6,5,85,139,413,39
MASSACHUSETTS,R,Y,1,0,0,0,0,0,0,0,0,0
MICHIGAN,M,Y,0.99400000000000000,45270,268856,611,4196,11071,29392,54661,165781,48414
MICHIGAN,M,N,1,45420,270416,611,4215,11105,29489,54923,166900,48593
MICHIGAN,O,Y,0.90300000000000000,1437,16818,6,368,120,943,2412,13725,681
MICHIGAN,O,N,1,1557,18320,7,399,129,1022,2628,14946,746
MICHIGAN,R,Y,0.97600000000000000,2536,19971,24,851,84,1577,6676,12109,1186
MICHIGAN,R,N,1,2600,20472,25,872,86,1617,6843,12413,1216
MINNESOTA,M,Y,0.99400000000000000,11722,121381,95,1522,3936,6169,21073,88912,11396
MINNESOTA,M,N,1,11754,122046,95,1528,3943,6188,21162,89444,11440
MINNESOTA,O,Y,0.98200000000000000,1067,19045,10,296,88,673,2724,15377,944
MINNESOTA,O,N,1,1088,19401,10,302,90,686,2775,15664,962
MINNESOTA,R,Y,1,909,13572,8,293,37,571,4111,8345,1116
MISSISSIPPI,M,Y,0.86300000000000000,3754,47333,103,534,1456,1661,12430,30155,4748
MISSISSIPPI,M,N,1,4150,52313,111,594,1541,1904,13659,33446,5208
MISSISSIPPI,O,Y,0.80500000000000000,1999,26393,44,238,592,1125,6240,18918,1235
MISSISSIPPI,O,N,1,2485,32794,55,296,736,1398,7753,23506,1535
MISSISSIPPI,R,Y,0.47300000000000000,915,7516,29,128,107,651,2959,4019,538
MISSISSIPPI,R,N,1,1933,15873,61,271,226,1375,6249,8488,1136
MISSOURI,M,Y,0.999,23444,184532,288,1161,6258,15737,31220,129476,23836
MISSOURI,M,N,1,23454,184641,288,1162,6260,15744,31236,129559,23846
MISSOURI,O,Y,0.998,2537,26818,28,194,302,2013,4652,21097,1069
MISSOURI,O,N,1,2541,26864,28,194,303,2016,4660,21133,1071
MISSOURI,R,Y,1,2231,13124,38,123,67,2003,4576,7572,976
MONTANA,M,Y,0.878,843,12566,12,75,167,589,1561,10275,730
MONTANA,M,N,1,915,13337,13,86,168,648,1641,10915,781
MONTANA,O,Y,0.89000000000000000,680,6579,5,76,35,564,712,5540,327
MONTANA,O,N,1,764,7390,6,85,39,634,800,6223,367
MONTANA,R,Y,0.83600000000000000,872,5423,9,85,22,756,898,4132,393
MONTANA,R,N,1,1044,6488,11,102,26,905,1074,4944,470
NEBRASKA,M,Y,0.98100000000000000,4252,42342,31,388,1054,2779,6689,31321,4332
NEBRASKA,M,N,1,4279,42637,31,391,1056,2801,6756,31524,4357
NEBRASKA,O,Y,0.95400000000000000,758,14094,6,159,69,524,1979,11507,608
NEBRASKA,O,N,1,794,14766,6,167,72,549,2073,12056,637
NEBRASKA,R,Y,0.92200000000000000,295,3787,3,57,9,226,919,2598,270
NEBRASKA,R,N,1,320,4109,3,62,10,245,997,2819,293
NEVADA,M,Y,1,13733,92217,168,895,4856,7814,21374,48708,22135
NEVADA,O,Y,1,124,1625,2,18,19,85,374,1139,112
NEVADA,R,Y,1,522,4373,2,41,30,449,1394,2591,388
NEW HAMPSHIRE,M,Y,0.86900000000000000,1391,15642,13,253,402,723,2710,11630,1302
NEW HAMPSHIRE,M,N,1,1516,17440,13,287,420,796,2980,13033,1427
NEW HAMPSHIRE,O,Y,0.85700000000000000,517,7554,4,132,68,313,1584,5539,431
NEW HAMPSHIRE,O,N,1,603,8814,5,154,79,365,1848,6463,503
NEW HAMPSHIRE,R,Y,1,51,257,0,18,1,32,138,107,12
NEW JERSEY,M,Y,1,30943,211313,392,1331,13076,16144,41030,139977,30306
NEW MEXICO,M,Y,0.91600000000000000,8536,50463,78,654,1652,6152,11229,33321,5913
NEW MEXICO,M,N,1,9105,52618,85,707,1695,6618,11856,34526,6236
NEW MEXICO,O,Y,0.84800000000000000,2638,17988,30,181,251,2176,4574,12522,892
NEW MEXICO,O,N,1,3112,21221,35,214,296,2567,5396,14773,1052
NEW MEXICO,R,Y,0.85000000000000000,734,5149,42,100,60,532,2272,2355,522
NEW MEXICO,R,N,1,864,6056,49,118,71,626,2672,2770,614
NEW YORK,M,Y,0.99100000000000000,81384,387368,862,3154,33107,44261,63151,284303,39914
NEW YORK,M,N,1,81668,390499,864,3174,33206,44424,63585,286817,40097
NEW YORK,O,Y,0.93300000000000000,1383,16165,10,174,210,989,2843,12941,381
NEW YORK,O,N,1,1484,17335,11,187,225,1061,3049,13877,409
NEW YORK,R,Y,0.95500000000000000,1683,14233,13,236,72,1362,3880,9879,474
NEW YORK,R,N,1,1762,14900,14,247,75,1426,4062,10342,496
NORTH CAROLINA,M,Y,0.96000000000000000,27943,251723,342,1675,9516,16410,67479,163537,20707
NORTH CAROLINA,M,N,1,28511,258694,351,1722,9639,16799,69635,167914,21145
NORTH CAROLINA,O,Y,0.96400000000000000,5029,51035,74,292,1434,3229,13041,35626,2368
NORTH CAROLINA,O,N,1,5209,52872,77,302,1485,3345,13505,36918,2449
NORTH CAROLINA,R,Y,0.91300000000000000,4128,39935,95,287,600,3146,16474,20364,3097
NORTH CAROLINA,R,N,1,4524,43762,104,315,658,3447,18053,22315,3394
NORTH DAKOTA,M,Y,0.99200000000000000,239,7030,2,80,14,143,1067,5483,480
NORTH DAKOTA,M,N,1,241,7096,2,81,14,144,1076,5536,484
NORTH DAKOTA,O,Y,0.876,178,3163,2,52,21,103,424,2495,244
NORTH DAKOTA,O,N,1,203,3611,2,59,24,118,484,2848,279
NORTH DAKOTA,R,Y,0.85900000000000000,51,1247,4,16,1,30,301,823,123
NORTH DAKOTA,R,N,1,60,1451,5,19,1,35,350,958,143
OHIO,M,Y,0.90600000000000000,34567,337826,459,3802,16336,13970,78947,222628,36251
OHIO,M,N,1,35945,361132,476,4035,16821,14613,83399,239979,37754
OHIO,O,Y,0.69400000000000000,1474,26317,14,274,372,814,4664,20595,1058
OHIO,O,N,1,2124,37923,20,395,536,1173,6721,29677,1525
OHIO,R,Y,0.81300000000000000,890,17774,17,176,151,546,5558,10936,1280
OHIO,R,N,1,1094,21855,21,216,186,671,6834,13447,1574
OKLAHOMA,M,Y,1,13046,111507,130,1059,2755,9102,24675,76328,10504
OKLAHOMA,O,Y,1,3141,29661,27,347,303,2464,7383,20690,1588
OKLAHOMA,R,Y,1,1448,8304,29,151,32,1236,3186,4253,865
OREGON,M,Y,0.99100000000000000,9028,135311,65,1063,2446,5454,23516,95731,16064
OREGON,M,N,1,9073,136099,65,1070,2455,5483,23680,96264,16155
OREGON,O,Y,0.98100000000000000,923,20282,10,117,226,570,3559,15345,1378
OREGON,O,N,1,940,20668,10,119,230,581,3627,15637,1404
OREGON,R,Y,1,711,9708,15,94,66,536,2765,5967,976
PENNSYLVANIA,M,Y,0.92800000000000000,45086,248838,585,2827,17413,24261,43932,177087,27819
PENNSYLVANIA,M,N,1,46817,264776,596,2940,17873,25408,46203,189679,28894
PENNSYLVANIA,O,Y,0.72800000000000000,1995,14326,17,194,322,1462,2414,11213,699
PENNSYLVANIA,O,N,1,2742,19689,23,267,443,2009,3318,15410,961
PENNSYLVANIA,R,Y,1,1439,15146,31,328,158,922,4922,9110,1114
PUERTO RICO,M,Y,1,9771,58450,761,191,5919,2900,17475,30998,9977
PUERTO RICO,O,Y,1,274,1623,32,8,111,123,789,683,151
RHODE ISLAND,M,Y,1,2660,31132,26,317,731,1586,5464,21592,4076
RHODE ISLAND,R,Y,1,13,34,0,3,0,10,1,31,2
SOUTH CAROLINA,M,Y,0.999,24884,146185,206,1308,4480,18890,32209,101262,12714
SOUTH CAROLINA,M,N,1,24890,146238,206,1308,4481,18895,32218,101303,12717
SOUTH CAROLINA,O,Y,0.996,3152,17223,18,119,467,2548,3495,12926,802
SOUTH CAROLINA,O,N,1,3163,17283,18,119,469,2557,3507,12971,805
SOUTH CAROLINA,R,Y,1,4869,25592,64,291,496,4018,7700,15777,2115
SOUTH DAKOTA,M,Y,0.97400000000000000,826,8823,6,237,96,487,2002,6266,555
SOUTH DAKOTA,M,N,1,833,8960,6,239,97,491,2035,6360,565
SOUTH DAKOTA,O,Y,0.87,290,4205,1,61,10,218,699,3329,177
SOUTH DAKOTA,O,N,1,333,4835,1,70,11,251,804,3827,204
SOUTH DAKOTA,R,Y,0.79700000000000000,125,884,9,23,5,88,247,576,61
SOUTH DAKOTA,R,N,1,156,1110,11,29,6,110,310,723,77
TENNESSEE,M,Y,1,34037,203710,274,1834,8325,23604,46466,136468,20776
TENNESSEE,O,Y,1,3807,29841,29,220,411,3147,6458,21524,1859
TENNESSEE,R,Y,1,3180,20572,48,166,104,2862,7281,11177,2114
TEXAS,M,Y,0.999,112550,927281,1253,7584,34929,68784,196514,641156,89611
TEXAS,M,N,1,112576,927651,1253,7586,34935,68802,196585,641428,89638
TEXAS,O,Y,0.98900000000000000,5240,56427,54,511,691,3984,12988,41011,2428
TEXAS,O,N,1,5282,56968,55,516,695,4016,13113,41408,2447
TEXAS,R,Y,1,3696,26083,56,286,187,3167,10420,13671,1992
UTAH,M,Y,0.99300000000000000,5195,90077,40,844,1208,3103,13468,69345,7264
UTAH,M,N,1,5227,90688,40,851,1215,3121,13560,69819,7309
UTAH,O,Y,0.91100000000000000,205,4095,2,37,14,152,921,2994,180
UTAH,O,N,1,225,4495,2,41,15,167,1011,3286,198
UTAH,R,Y,0.94400000000000000,177,2289,4,39,6,128,614,1539,136
UTAH,R,N,1,187,2424,4,41,6,136,650,1630,144
VERMONT,M,Y,1,322,6198,7,64,44,207,1431,4550,217
VERMONT,O,Y,0.93900000000000000,217,4773,5,48,21,143,765,3849,159
VERMONT,O,N,1,230,5083,5,51,22,152,815,4099,169
VERMONT,R,Y,0.97000000000000000,140,2970,4,36,10,90,1106,1681,183
VERMONT,R,N,1,144,3062,4,37,10,93,1140,1733,189
VIRGINIA,M,Y,0.99400000000000000,18460,177465,334,1500,6564,10062,24578,136890,15997
VIRGINIA,M,N,1,18599,178829,335,1512,6601,10151,24768,137956,16105
VIRGINIA,O,Y,0.97200000000000000,735,8777,13,78,144,500,1274,7115,388
VIRGINIA,O,N,1,755,9026,13,80,148,514,1310,7317,399
VIRGINIA,R,Y,0.997,1201,11777,43,173,157,828,2707,8166,904
VIRGINIA,R,N,1,1205,11813,43,174,157,831,2715,8191,907
WASHINGTON,M,Y,0.999,19567,269545,174,2441,5647,11305,52954,175529,41062
WASHINGTON,M,N,1,19573,269652,174,2442,5649,11308,52972,175603,41077
WASHINGTON,O,Y,0.96100000000000000,947,18315,7,223,155,562,3221,13987,1107
WASHINGTON,O,N,1,985,19054,7,232,161,585,3351,14551,1152
WASHINGTON,R,Y,0.88200000000000000,680,10697,8,161,49,462,3800,6012,885
WASHINGTON,R,N,1,772,12131,9,183,56,524,4309,6818,1004
WEST VIRGINIA,M,Y,0.96300000000000000,3111,28276,41,207,581,2282,6687,19213,2376
WEST VIRGINIA,M,N,1,3191,29147,42,212,591,2346,6887,19818,2442
WEST VIRGINIA,O,Y,0.83300000000000000,588,6292,6,35,95,452,1183,4756,353
WEST VIRGINIA,O,N,1,705,7551,7,42,114,542,1420,5707,424
WEST VIRGINIA,R,Y,0.873,899,7686,17,58,55,769,2293,4630,763
WEST VIRGINIA,R,N,1,1028,8799,19,66,63,880,2625,5301,873
WISCONSIN,M,Y,0.98200000000000000,9845,115700,128,847,3965,4905,17808,87984,9908
WISCONSIN,M,N,1,9888,116562,128,853,3968,4939,18002,88605,9955
WISCONSIN,O,Y,0.996,934,19087,3,170,59,702,2400,16061,626
WISCONSIN,O,N,1,937,19153,3,171,59,704,2408,16117,628
WISCONSIN,R,Y,1,723,10995,23,112,40,548,3444,6760,791
WYOMING,M,Y,1,293,6427,1,39,33,220,1071,5056,300
WYOMING,O,Y,0.97400000000000000,594,7927,8,46,32,508,1212,6370,345
WYOMING,O,N,1,610,8140,8,47,33,522,1245,6541,354
WYOMING,R,Y,0.95800000000000000,249,2224,2,25,1,221,404,1681,139
WYOMING,R,N,1,260,2322,2,26,1,231,422,1755,145
