"State","Area","Actual","Percentage","ViolentCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA","M","Y",0.88,14007,300,1144,5824,6739,129240,32168,85756,11316
"ALABAMA","M","N",1,15414,318,1256,6313,7527,142577,35249,94969,12359
"ALABAMA","O","Y",0.558,1641,23,141,379,1098,16020,3263,11846,911
"ALABAMA","O","N",1,2920,41,249,670,1960,28509,5803,21091,1615
"ALABAMA","R","Y",0.606,741,14,87,46,594,6022,2133,3364,525
"ALABAMA","R","N",1,1223,23,144,76,980,9935,3519,5550,866
"ALASKA","M","Y",0.974,2949,18,320,526,2085,14143,2108,10385,1650
"ALASKA","M","N",1,3023,18,324,538,2143,14804,2172,10943,1689
"ALASKA","O","Y",0.896,543,8,90,35,410,4224,561,3365,298
"ALASKA","O","N",1,606,9,100,39,458,4716,626,3757,333
"ALASKA","R","Y",1,981,9,85,28,859,4635,1338,2790,507
"ARIZONA","M","Y",0.984,28822,455,1830,9016,17521,268052,52408,162733,52911
"ARIZONA","M","N",1,29177,458,1854,9099,17766,272056,53391,165184,53481
"ARIZONA","O","Y",0.914,839,4,38,70,727,7656,1594,5375,687
"ARIZONA","O","N",1,918,4,42,77,795,8376,1744,5880,752
"ARIZONA","R","Y",0.773,635,2,35,39,559,3817,1484,1857,476
"ARIZONA","R","N",1,821,3,45,50,723,4938,1920,2402,616
"ARKANSAS","M","Y",0.968,11484,156,933,2267,8128,77898,21416,50895,5587
"ARKANSAS","M","N",1,11683,158,953,2289,8283,79512,21965,51848,5699
"ARKANSAS","O","Y",0.97,2652,27,216,402,2007,21602,6619,14004,979
"ARKANSAS","O","N",1,2733,28,223,414,2068,22262,6821,14432,1009
"ARKANSAS","R","Y",0.925,1009,18,122,58,811,9020,3013,5308,699
"ARKANSAS","R","N",1,1090,19,132,63,876,9747,3256,5736,755
"CALIFORNIA","M","Y",1,191037,2453,8921,70670,108993,1136833,240629,655694,240510
"CALIFORNIA","O","Y",1,1335,12,133,182,1008,9689,2480,6291,918
"CALIFORNIA","R","Y",1,1748,20,158,116,1454,9495,3355,4875,1265
"COLORADO","M","Y",0.979,16588,147,1835,3696,10910,145204,29247,96447,19510
"COLORADO","M","N",1,16843,149,1870,3743,11081,148489,29801,98778,19910
"COLORADO","O","Y",0.94,1152,6,146,77,923,10768,1686,8528,554
"COLORADO","O","N",1,1225,6,155,82,982,11456,1794,9073,589
"COLORADO","R","Y",0.962,527,3,49,10,465,3951,795,2871,285
"COLORADO","R","N",1,548,3,51,10,484,4109,827,2986,296
"CONNECTICUT","M","Y",0.993,9176,104,538,4117,4417,80280,12956,57590,9734
"CONNECTICUT","M","N",1,9203,104,541,4129,4429,80713,13027,57914,9772
"CONNECTICUT","O","Y",1,300,1,27,45,227,3171,647,2295,229
"CONNECTICUT","R","Y",1,338,3,68,67,200,3880,1020,2471,389
"DELAWARE","M","Y",1,4795,40,305,1577,2873,23513,4643,16335,2535
"DELAWARE","O","Y",1,385,2,33,94,256,2238,486,1679,73
"DELAWARE","R","Y",1,637,0,62,64,511,3420,1060,2152,208
"DISTRICT OF COLUMBIA","M","Y",1,8772,169,185,3829,4589,27063,3835,15907,7321
"FLORIDA","M","Y",0.999,123064,1091,6135,33444,82394,692520,162335,455797,74388
"FLORIDA","M","N",1,123126,1091,6138,33462,82435,692936,162428,456079,74429
