"State","Area","Actual","Percentage","ViolentCrime","Murderandnonnegligentmanslaughter","Rape2","Rape3","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"LOUISIANA","O","Y",0.796,1702,30,85,62,253,1334,11295,2718,8275,302
"LOUISIANA","O","N",1,2142,38,109,82,318,1677,14197,3416,10401,380
"LOUISIANA","R","Y",1,1225,25,105,66,91,1004,8257,2352,5396,509
"MAINE","M","Y",1,984,13,247,187,215,509,16216,3083,12662,471
"MAINE","O","Y",1,476,4,158,121,71,243,7036,1013,5836,187
"MAINE","R","Y",1,240,4,80,52,18,138,3169,934,2094,141
"MARYLAND","M","Y",1,26186,360,1583,1118,9488,14755,146392,27175,106222,12995
"MARYLAND","O","Y",1,310,2,23,18,43,242,2015,347,1624,44
"MARYLAND","R","Y",1,165,3,13,8,13,136,1452,490,899,63
"MASSACHUSETTS","M","Y",0.982,25694,131,2093,1576,5940,17530,121137,23956,89098,8083
"MASSACHUSETTS","M","N",1,26077,132,2130,1604,6010,17805,123126,24348,90571,8207
"MASSACHUSETTS","O","Y",0.768,237,0,30,12,20,187,1645,473,1131,41
"MASSACHUSETTS","O","N",1,310,0,41,19,26,243,2141,616,1472,53
"MASSACHUSETTS","R","Y",1,12,0,9,6,0,3,0,0,0,0
"MICHIGAN","M","Y",0.991,37965,504,4630,2989,7858,24973,174589,38467,115908,20214
"MICHIGAN","M","N",1,38176,505,4674,3021,7896,25101,176132,38736,117069,20327
"MICHIGAN","O","Y",0.896,1324,8,496,309,71,749,11588,1441,9848,299
"MICHIGAN","O","N",1,1491,9,567,363,79,836,12929,1608,10987,334
"MICHIGAN","R","Y",0.96,2554,20,971,625,44,1519,12950,3687,8787,476
"MICHIGAN","R","N",1,2681,21,1032,665,46,1582,13486,3840,9150,496
"MINNESOTA","M","Y",0.999,10578,77,1494,1095,3530,5477,103320,16621,79633,7066
"MINNESOTA","M","N",1,10579,77,1494,1095,3530,5478,103337,16623,79647,7067
"MINNESOTA","O","Y",1,1110,7,269,199,127,707,13223,1796,10765,662
"MINNESOTA","R","Y",1,816,4,238,158,30,544,8817,2354,5825,638
"MISSISSIPPI","M","Y",0.727,3137,104,400,299,1214,1419,32956,8088,22660,2208
"MISSISSIPPI","M","N",1,3739,122,463,346,1344,1810,40942,9959,28361,2622
"MISSISSIPPI","O","Y",0.485,1404,40,150,111,444,770,15536,4055,10933,548
"MISSISSIPPI","O","N",1,2898,82,311,238,916,1589,32064,8369,22564,1131
"MISSISSIPPI","R","Y",0.424,716,23,115,73,72,506,6134,2556,3253,325
"MISSISSIPPI","R","N",1,1701,54,284,180,170,1193,14456,6024,7666,766
"MISSOURI","M","Y",0.999,22257,348,2002,1441,5295,14612,140143,27421,98371,14351
"MISSOURI","M","N",1,22258,348,2002,1441,5295,14613,140163,27424,98387,14352
"MISSOURI","O","Y",0.996,2649,22,217,160,255,2155,24487,4085,19441,961
"MISSOURI","O","N",1,2658,22,217,160,256,2163,24581,4101,19515,965
"MISSOURI","R","Y",1,1940,33,160,105,41,1706,11493,3733,6720,1040
"MONTANA","M","Y",1,1049,14,191,145,133,711,11788,1538,9329,921
"MONTANA","O","Y",0.98,1169,14,196,160,42,917,7073,976,5514,583
"MONTANA","O","N",1,1194,14,201,164,43,936,7219,996,5628,595
"MONTANA","R","Y",0.94,1003,8,138,114,25,832,5930,998,4436,496
"MONTANA","R","N",1,1070,9,149,121,27,885,6305,1061,4717,527
"NEBRASKA","M","Y",0.992,4086,42,588,427,987,2469,36129,5735,26472,3922
"NEBRASKA","M","N",1,4097,42,591,430,989,2475,36288,5759,26599,3930
"NEBRASKA","O","Y",0.91,817,4,191,139,45,577,7954,1360,6279,315
"NEBRASKA","O","N",1,900,4,213,157,49,634,8736,1494,6896,346
"NEBRASKA","R","Y",0.787,214,6,41,24,4,163,1933,549,1243,141
"NEBRASKA","R","N",1,278,8,58,33,5,207,2455,697,1579,179
"NEVADA","M","Y",1,17199,157,1233,909,5903,9906,69217,20344,39084,9789
"NEVADA","O","Y",1,348,4,45,34,17,282,1931,555,1235,141
"NEVADA","R","Y",0.979,486,9,76,50,33,368,3321,1007,2064,250
"NEVADA","R","N",1,498,9,79,52,34,376,3390,1028,2107,255
"NEW HAMPSHIRE","M","Y",0.964,1702,11,323,250,421,947,15633,2403,12679,551
"NEW HAMPSHIRE","M","N",1,1745,11,336,261,428,970,16125,2474,13085,566
"NEW HAMPSHIRE","O","Y",0.867,684,1,206,158,93,384,8304,1379,6686,239
"NEW HAMPSHIRE","O","N",1,795,1,244,188,107,443,9575,1590,7709,276
"NEW HAMPSHIRE","R","Y",1,62,0,14,9,2,46,341,98,228,15
"NEW JERSEY","M","Y",1,23346,349,1274,953,10498,11225,154993,31710,111578,11705
"NEW MEXICO","M","Y",0.999,8653,63,1031,751,1771,5788,51763,12135,34681,4947
"NEW MEXICO","M","N",1,8656,63,1031,751,1771,5791,51785,12140,34697,4948
"NEW MEXICO","O","Y",0.979,2847,28,338,252,259,2222,17471,4290,12284,897
"NEW MEXICO","O","N",1,2908,29,345,257,265,2269,17844,4382,12546,916
"NEW MEXICO","R","Y",0.927,828,8,91,58,46,683,3937,1838,1704,395
"NEW MEXICO","R","N",1,895,9,99,63,50,737,4248,1983,1839,426
"NEW YORK","M","Y",0.999,72890,588,4591,3349,23787,43924,314802,45880,253815,15107
"NEW YORK","M","N",1,72930,588,4592,3350,23802,43948,315220,45937,254164,15119
"NEW YORK","O","Y",0.977,1187,10,229,168,190,758,13033,2274,10503,256
"NEW YORK","O","N",1,1217,10,236,174,195,776,13344,2328,10754,262
"NEW YORK","R","Y",0.97,1204,18,577,376,47,562,10395,2440,7611,344
"NEW YORK","R","N",1,1251,19,605,394,48,579,10718,2516,7847,355
"NORTH CAROLINA","M","Y",0.991,25907,358,1946,1410,7112,16491,220587,57805,151974,10808
"NORTH CAROLINA","M","N",1,26053,359,1952,1416,7148,16594,222495,58252,153363,10880
"NORTH CAROLINA","O","Y",0.921,3655,71,192,145,835,2557,31335,7687,22533,1115
"NORTH CAROLINA","O","N",1,3958,77,198,151,907,2776,34021,8346,24464,1211
"NORTH CAROLINA","R","Y",0.97,2673,72,261,168,350,1990,28309,12393,14423,1493
"NORTH CAROLINA","R","N",1,2756,74,270,173,361,2051,29181,12775,14867,1539
"NORTH DAKOTA","M","Y",1,1055,8,190,156,116,741,8298,1369,6359,570
"NORTH DAKOTA","O","Y",1,683,12,130,95,47,494,5385,897,3852,636
"NORTH DAKOTA","R","Y",0.993,221,2,38,25,10,171,1909,438,1165,306
"NORTH DAKOTA","R","N",1,222,2,38,25,10,172,1922,441,1173,308
"OHIO","M","Y",0.912,28580,406,3963,3274,11782,12429,255451,64006,175491,15954
"OHIO","M","N",1,29798,417,4233,3479,12195,12953,274917,67601,190658,16658
"OHIO","O","Y",0.818,1525,19,371,314,364,771,26877,5139,21197,541
"OHIO","O","N",1,1861,23,451,369,445,942,32841,6279,25901,661
"OHIO","R","Y",0.904,1234,22,318,223,102,792,15161,4489,10043,629
"OHIO","R","N",1,1371,24,358,249,113,876,16770,4965,11109,696
"OKLAHOMA","M","Y",1,11796,141,1321,960,2680,7654,81680,20708,52585,8387
"OKLAHOMA","O","Y",1,3189,24,372,264,337,2456,26975,6244,19215,1516
"OKLAHOMA","R","Y",1,759,10,84,53,31,634,7327,2556,4091,680
"OREGON","M","Y",0.9,7436,55,1114,817,1840,4427,92252,12754,71579,7919
"OREGON","M","N",1,7928,58,1232,900,1903,4735,97757,13901,75432,8424
"OREGON","O","Y",0.941,805,9,148,100,148,500,10629,1780,8250,599
"OREGON","O","N",1,854,10,155,106,157,532,11299,1892,8770,637
"OREGON","R","Y",0.984,434,13,69,45,32,320,5165,1414,3271,480
"OREGON","R","N",1,442,13,71,46,33,325,5249,1437,3324,488
"PENNSYLVANIA","M","Y",0.995,37560,587,3358,2465,13252,20363,224980,40869,171772,12339
"PENNSYLVANIA","M","N",1,37654,588,3362,2468,13278,20426,225908,41009,172530,12369
"PENNSYLVANIA","O","Y",0.979,1470,6,136,102,150,1178,10840,1812,8754,274
"PENNSYLVANIA","O","N",1,1499,6,137,103,153,1203,11068,1850,8938,280
"PENNSYLVANIA","R","Y",1,1011,20,328,216,103,560,10040,2861,6788,391
"PUERTO RICO","M","Y",1,8134,657,55,41,5062,2360,44180,11558,28051,4571
"PUERTO RICO","O","Y",1,249,24,1,0,109,115,1442,477,897,68
"RHODE ISLAND","M","Y",1,2287,25,341,247,528,1393,22874,4823,16253,1798
"RHODE ISLAND","R","Y",1,26,0,20,6,1,5,61,0,26,35
"SOUTH CAROLINA","M","Y",0.984,19644,252,1716,1225,3423,14253,138237,29121,98137,10979
"SOUTH CAROLINA","M","N",1,19942,255,1740,1242,3467,14480,140229,29590,99497,11142
"SOUTH CAROLINA","O","Y",0.957,1677,19,104,81,307,1247,11294,2433,8363,498
"SOUTH CAROLINA","O","N",1,1751,20,107,84,321,1303,11797,2541,8736,520
"SOUTH CAROLINA","R","Y",1,2359,36,221,154,209,1893,15191,4590,9361,1240
"SOUTH DAKOTA","M","Y",0.995,1374,9,259,238,150,956,9265,1663,6981,621
"SOUTH DAKOTA","M","N",1,1376,9,259,238,150,958,9285,1667,6996,622
"SOUTH DAKOTA","O","Y",0.958,1168,6,163,139,43,956,5171,832,4032,307
"SOUTH DAKOTA","O","N",1,1220,6,171,146,45,998,5396,868,4208,320
"SOUTH DAKOTA","R","Y",0.78,144,4,27,22,4,109,953,221,681,51
"SOUTH DAKOTA","R","N",1,190,5,40,29,5,140,1221,283,873,65
"TENNESSEE","M","Y",0.994,33938,319,2154,1575,6823,24642,162661,36810,115487,10364
"TENNESSEE","M","N",1,34046,320,2164,1582,6837,24725,163447,36930,116117,10400
"TENNESSEE","O","Y",1,3203,21,183,144,312,2687,21421,4146,16367,908
"TENNESSEE","R","Y",1,2599,30,184,135,116,2269,15579,5566,8722,1291
"TEXAS","M","Y",0.997,100224,1079,10227,7407,30369,58549,745490,149988,530355,65147
"TEXAS","M","N",1,100400,1080,10252,7428,30409,58659,746997,150305,531426,65266
"TEXAS","O","Y",0.973,5676,50,603,438,609,4414,43056,10053,31360,1643
"TEXAS","O","N",1,5832,51,623,456,624,4534,44192,10320,32187,1685
"TEXAS","R","Y",0.982,3117,52,502,342,145,2418,22326,8450,12310,1566
"TEXAS","R","N",1,3182,53,518,352,148,2463,22745,8609,12541,1595
"UTAH","M","Y",0.998,5739,54,1290,839,1287,3108,78386,10465,61010,6911
"UTAH","M","N",1,5749,54,1292,841,1289,3114,78558,10488,61145,6925
"UTAH","O","Y",0.959,287,1,100,63,13,173,3526,559,2808,159
"UTAH","O","N",1,300,1,105,67,14,180,3678,583,2929,166
"UTAH","R","Y",0.975,290,12,55,36,9,214,2414,436,1776,202
"UTAH","R","N",1,297,12,57,37,9,219,2475,447,1821,207
"VERMONT","M","Y",1,214,2,22,20,24,166,4265,725,3427,113
"VERMONT","O","Y",0.999,260,1,47,41,38,174,3536,626,2852,58
"VERMONT","O","N",1,260,1,47,41,38,174,3541,627,2856,58
"VERMONT","R","Y",1,148,7,41,38,8,92,1745,682,990,73
"VIRGINIA","M","Y",0.999,14412,284,1880,1206,4039,8209,143762,19725,117178,6859
"VIRGINIA","M","N",1,14413,284,1880,1206,4039,8210,143779,19727,117192,6860
"VIRGINIA","O","Y",0.987,694,15,113,65,144,422,7385,1130,6060,195
"VIRGINIA","O","N",1,702,15,113,65,146,428,7484,1145,6141,198
"VIRGINIA","R","Y",1,1225,39,317,161,107,762,9457,2250,6600,607
"WASHINGTON","M","Y",0.999,18604,159,2438,1954,5439,10568,241803,49672,163026,29105
"WASHINGTON","M","N",1,18611,159,2439,1955,5441,10572,241934,49694,163120,29120
"WASHINGTON","O","Y",0.977,944,7,170,144,148,619,12503,2897,8665,941
"WASHINGTON","O","N",1,966,7,173,147,152,634,12803,2966,8873,964
"WASHINGTON","R","Y",1,559,8,83,69,47,421,6969,2630,3776,563
"WEST VIRGINIA","M","Y",0.928,3310,44,333,175,530,2403,26935,6481,19081,1373
"WEST VIRGINIA","M","N",1,3526,46,348,187,560,2572,29155,6857,20830,1468
"WEST VIRGINIA","O","Y",0.582,425,6,29,22,29,361,2211,385,1764,62
"WEST VIRGINIA","O","N",1,721,10,41,33,50,620,3801,662,3032,107
"WEST VIRGINIA","R","Y",0.896,1197,16,99,54,37,1045,4205,1303,2614,288
"WEST VIRGINIA","R","N",1,1341,18,116,65,41,1166,4692,1454,2917,321
"WISCONSIN","M","Y",0.967,14725,142,1232,851,4918,8433,95066,16637,69341,9088
"WISCONSIN","M","N",1,14890,143,1259,872,4961,8527,97688,16979,71524,9185
"WISCONSIN","O","Y",0.952,1019,11,214,163,73,721,14099,1715,12054,330
"WISCONSIN","O","N",1,1072,12,226,172,77,757,14813,1802,12664,347
"WISCONSIN","R","Y",1,752,10,189,124,28,525,7737,2435,4915,387
"WYOMING","M","Y",1,305,6,37,25,30,232,4292,733,3356,203
"WYOMING","O","Y",0.974,580,6,80,61,18,476,5806,707,4816,283
"WYOMING","O","N",1,594,6,81,62,18,489,5962,726,4945,291
"WYOMING","R","Y",0.918,222,4,50,35,5,163,1123,211,812,100
"WYOMING","R","N",1,243,4,56,39,5,178,1223,230,884,109
