"State","Area","Actual","Percentage","ViolentCrime","Murderandnonnegligentmanslaughter","Rape2","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA","M","Y",0.943,20207,322,1530,3608,14747,108373,22178,75625,10570
"ALABAMA","M","N",1,20570,324,1546,3649,15051,110384,22615,77059,10710
"ALABAMA","O","Y",0.931,3477,40,242,312,2883,19161,3685,13976,1500
"ALABAMA","O","N",1,3644,40,242,316,3046,19996,3817,14634,1545
"ALABAMA","R","Y",0.919,1090,17,203,68,802,6737,2238,3710,789
"ALABAMA","R","N",1,1185,19,208,111,847,7320,2409,4054,857
"ALASKA","M","Y",1,4127,30,645,772,2680,17021,2293,11560,3168
"ALASKA","O","Y",0.971,994,5,199,77,713,4119,642,3128,349
"ALASKA","O","N",1,1012,5,203,77,727,4164,646,3165,353
"ALASKA","R","Y",1,1387,12,344,47,984,3154,1040,1639,475
"ARIZONA","M","Y",0.993,28938,325,3297,6409,18907,183308,29518,135712,18078
"ARIZONA","M","N",1,29054,326,3314,6448,18966,184427,29730,136514,18183
"ARIZONA","O","Y",0.963,4684,38,313,55,4278,5937,1326,3847,764
"ARIZONA","O","N",1,4707,38,313,55,4301,6057,1345,3944,768
"ARIZONA","R","Y",1,297,5,11,20,261,1490,457,845,188
"ARKANSAS","M","Y",0.997,11659,150,1420,1266,8823,61777,12699,43799,5279
"ARKANSAS","M","N",1,11690,150,1423,1270,8847,61850,12731,43826,5293
"ARKANSAS","O","Y",0.911,2590,39,396,252,1903,16156,3944,11238,974
"ARKANSAS","O","N",1,2833,40,406,289,2098,17899,4394,12465,1040
"ARKANSAS","R","Y",0.849,1782,26,361,35,1360,7137,1870,4507,760
"ARKANSAS","R","N",1,1861,26,367,35,1433,8044,2068,5196,780
"CALIFORNIA","M","Y",0.999,173383,1684,15067,53895,102737,925205,160267,611972,152966
"CALIFORNIA","M","N",1,173393,1684,15067,53895,102747,925308,160286,612051,152971
"CALIFORNIA","O","Y",1,1536,14,174,245,1103,8198,1633,5615,950
"CALIFORNIA","R","Y",1,2053,41,264,186,1562,8112,2713,4109,1290
"COLORADO","M","Y",0.951,20718,191,3670,3670,13187,138757,19300,98778,20679
"COLORADO","M","N",1,20778,191,3684,3687,13216,139506,19331,99444,20731
"COLORADO","O","Y",0.949,1058,5,233,55,765,9108,1172,7386,550
"COLORADO","O","N",1,1090,5,234,70,781,9462,1224,7682,556
"COLORADO","R","Y",0.915,718,14,144,15,545,2952,774,1860,318
"COLORADO","R","N",1,756,14,152,40,550,3195,816,1993,386
"CONNECTICUT","M","Y",1,6995,72,728,2123,4072,56246,7239,42122,6885
"CONNECTICUT","O","Y",1,117,3,26,31,57,1648,203,1321,124
"CONNECTICUT","R","Y",1,299,8,86,40,165,2161,506,1281,374
"DELAWARE","M","Y",1,4097,48,338,866,2845,22481,3158,17847,1476
"DISTRICT OF COLUMBIA","M","Y",1,6996,160,450,2415,3971,30724,1788,26343,2593
"FLORIDA","M","Y",0.999,79202,1074,8200,16638,53290,472759,68481,364004,40274
