"State","Area","Actual","Percentage","ViolentCrime","Murderandnonnegligentmanslaughter","Rape2","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"FLORIDA","M","N",1,79241,1074,8201,16647,53319,473080,68545,364237,40298
"FLORIDA","O","Y",0.95,810,12,58,103,637,4289,855,3200,234
"FLORIDA","O","N",1,829,12,58,104,655,4439,908,3288,243
"FLORIDA","R","Y",1,1910,21,179,133,1577,8498,2480,5394,624
"GEORGIA","M","Y",0.966,28495,548,2260,7501,18186,223556,36007,165559,21990
"GEORGIA","M","N",1,29161,559,2290,7650,18662,229661,36903,170274,22484
"GEORGIA","O","Y",0.887,2563,45,169,473,1876,21036,3707,16424,905
"GEORGIA","O","N",1,2662,45,170,481,1966,23282,4005,18341,936
"GEORGIA","R","Y",0.935,2470,38,191,148,2093,16905,4231,11407,1267
"GEORGIA","R","N",1,2532,38,191,148,2155,17795,4461,11994,1340
"HAWAII","M","Y",1,2886,30,454,857,1545,33970,4328,24758,4884
"HAWAII","R","Y",1,646,6,171,89,380,6802,1303,4734,765
"IDAHO","M","Y",1,3152,19,644,178,2311,20923,3861,15487,1575
"IDAHO","O","Y",0.957,404,4,77,5,318,2502,522,1802,178
"IDAHO","O","N",1,414,4,79,11,320,2561,527,1838,196
"IDAHO","R","Y",0.983,401,12,67,7,315,2128,546,1389,193
"IDAHO","R","N",1,417,12,68,11,326,2152,552,1407,193
"ILLINOIS","M","Y",0.921,47266,865,5050,13857,27494,218713,33314,167160,18239
"ILLINOIS","M","N",1,48003,873,5171,14007,27952,225321,34316,172338,18667
"ILLINOIS","O","Y",0.832,2357,6,475,161,1715,13966,2681,10760,525
"ILLINOIS","O","N",1,2668,6,515,174,1973,16018,3132,12290,596
"ILLINOIS","R","Y",0.897,737,5,159,25,548,4396,1454,2644,298
"ILLINOIS","R","N",1,819,5,173,27,614,4925,1632,2963,330
"INDIANA","M","Y",0.844,21358,363,1976,5307,13712,114723,20173,81982,12568
"INDIANA","M","N",1,22320,383,2027,5396,14514,124342,21936,89268,13138
"INDIANA","O","Y",0.59,788,15,98,93,582,8140,1055,6521,564
"INDIANA","O","N",1,1119,26,104,141,848,13533,1496,11259,778
"INDIANA","R","Y",0.514,622,15,121,33,453,4260,1178,2640,442
"INDIANA","R","N",1,2142,29,239,402,1472,7963,1836,4715,1412
"IOWA","M","Y",0.907,4345,40,589,612,3104,33142,6717,23433,2992
"IOWA","M","N",1,4951,44,635,759,3513,37029,7342,26305,3382
"IOWA","O","Y",0.857,1903,7,218,77,1601,11322,2379,8173,770
"IOWA","O","N",1,2175,7,241,144,1783,13090,2665,9476,949
"IOWA","R","Y",0.97,700,3,95,12,590,2833,1050,1471,312
"IOWA","R","N",1,767,3,100,29,635,3266,1120,1790,356
"KANSAS","M","Y",0.838,8495,88,999,1127,6281,49894,7590,36811,5493
"KANSAS","M","N",1,10105,88,1162,1376,7479,58412,8830,43142,6440
"KANSAS","O","Y",0.954,1899,17,298,126,1458,14140,2545,10585,1010
"KANSAS","O","N",1,1957,17,298,145,1497,14738,2644,11069,1025
"KANSAS","R","Y",0.966,708,8,105,13,582,3466,1054,2057,355
"KANSAS","R","N",1,720,8,107,22,583,3536,1063,2094,379
"KENTUCKY","M","Y",0.997,7130,144,944,2104,3938,66119,11452,47079,7588
"KENTUCKY","M","N",1,7135,144,945,2106,3940,66231,11478,47148,7605
"KENTUCKY","O","Y",0.975,911,17,235,238,421,12313,2479,8797,1037
"KENTUCKY","O","N",1,912,17,236,238,421,12437,2496,8890,1051
"KENTUCKY","R","Y",1,1420,83,526,113,698,9027,3216,4206,1605
"LOUISIANA","M","Y",0.972,21501,481,1864,4256,14900,131877,25979,95308,10590
"LOUISIANA","M","N",1,22029,487,1880,4326,15336,135727,26788,98151,10788
"LOUISIANA","O","Y",0.808,1454,25,89,156,1184,8835,2132,6415,288
"LOUISIANA","O","N",1,1577,25,89,159,1304,10371,2360,7719,292
"LOUISIANA","R","Y",0.967,1416,18,116,83,1199,6373,1936,3987,450
"LOUISIANA","R","N",1,1443,18,116,83,1226,6563,1984,4123,456
"MAINE","M","Y",1,887,12,230,170,475,11228,1452,9347,429
"MAINE","O","Y",1,322,2,112,33,175,4473,627,3675,171
"MAINE","R","Y",1,292,10,104,25,153,2472,634,1661,177
"MARYLAND","M","Y",1,27945,488,1932,9646,15879,120507,18359,90082,12066
"MARYLAND","O","Y",1,228,2,17,55,154,1545,290,1226,29
"MARYLAND","R","Y",1,147,0,30,15,102,812,243,527,42
"MASSACHUSETTS","M","Y",0.975,22924,136,2377,4068,16343,85784,13762,65538,6484
"MASSACHUSETTS","M","N",1,23216,136,2393,4141,16546,86714,13807,66319,6588
"MASSACHUSETTS","O","Y",1,121,0,17,2,102,481,55,408,18
"MASSACHUSETTS","R","Y",0.988,0,0,0,0,0,0,0,0,0
"MASSACHUSETTS","R","N",1,0,0,0,0,0,1,0,1,0
"MICHIGAN","M","Y",0.988,39962,513,5988,5514,27947,144783,27577,100875,16331
"MICHIGAN","M","N",1,40037,514,5999,5521,28003,145166,27653,101165,16348
"MICHIGAN","O","Y",0.98,1729,10,623,70,1026,9729,1163,8147,419
"MICHIGAN","O","N",1,1743,10,625,81,1027,9869,1168,8258,443
"MICHIGAN","R","Y",0.992,3124,27,1065,46,1986,10171,2822,6690,659
"MICHIGAN","R","N",1,3138,27,1066,54,1991,10245,2830,6755,660
"MINNESOTA","M","Y",0.986,10564,85,1988,2848,5643,94250,12953,72415,8882
"MINNESOTA","M","N",1,10564,85,1988,2848,5643,94250,12953,72415,8882
"MINNESOTA","O","Y",0.997,1182,12,294,79,797,11817,1612,9535,670
"MINNESOTA","O","N",1,1182,12,294,79,797,11841,1613,9557,671
"MINNESOTA","R","Y",1,623,9,180,17,417,5783,1619,3589,575
"MISSISSIPPI","M","Y",0.759,2942,114,208,854,1766,30690,6285,21574,2831
"MISSISSIPPI","M","N",1,3735,138,256,1049,2292,39700,7943,28430,3327
"MISSISSIPPI","O","Y",0.379,1031,28,68,200,735,8504,2425,5715,364
"MISSISSIPPI","O","N",1,1698,28,152,370,1148,17844,5437,11810,597
"MISSISSIPPI","R","Y",0.207,368,5,47,50,266,2840,1262,1394,184
"MISSISSIPPI","R","N",1,1566,5,129,176,1256,14222,7459,6387,376
"MISSOURI","M","Y",0.998,25819,537,2372,4985,17925,131128,20841,92909,17378
"MISSOURI","M","N",1,25822,537,2372,4988,17925,131163,20850,92926,17387
"MISSOURI","O","Y",0.985,2486,27,327,164,1968,20341,3153,15940,1248
"MISSOURI","O","N",1,2503,27,327,164,1985,20506,3154,16095,1257
"MISSOURI","R","Y",1,2433,43,213,45,2132,10504,3253,6080,1171
"MONTANA","M","Y",1,1589,14,181,183,1211,14400,1671,11176,1553
"MONTANA","O","Y",1,1216,8,212,63,933,6250,700,4997,553
"MONTANA","R","Y",0.993,1162,12,158,20,972,5845,885,4275,685
"MONTANA","R","N",1,1169,12,158,23,976,5868,886,4292,690
"NEBRASKA","M","Y",0.998,4418,39,914,681,2784,31051,3872,22973,4206
"NEBRASKA","M","N",1,4429,39,915,683,2792,31141,3882,23040,4219
"NEBRASKA","O","Y",0.929,773,2,252,50,469,6773,963,5357,453
"NEBRASKA","O","N",1,805,2,253,72,478,7211,1017,5721,473
"NEBRASKA","R","Y",0.846,260,3,65,1,191,1641,347,1112,182
"NEBRASKA","R","N",1,260,3,65,1,191,1774,347,1245,182
"NEVADA","M","Y",1,15629,186,2198,3805,9440,70268,16758,42000,11510
"NEVADA","O","Y",1,256,6,45,22,183,993,230,684,79
"NEVADA","R","Y",1,535,10,86,35,404,2724,755,1654,315
"NEW HAMPSHIRE","M","Y",0.992,1530,15,304,259,952,10324,1026,8747,551
"NEW HAMPSHIRE","M","N",1,1535,15,304,259,957,10473,1031,8887,555
"NEW HAMPSHIRE","O","Y",0.936,728,5,209,72,442,5960,738,4929,293
"NEW HAMPSHIRE","O","N",1,766,5,216,96,449,6165,754,5117,294
"NEW HAMPSHIRE","R","Y",0.934,39,1,13,2,23,237,52,171,14
"NEW HAMPSHIRE","R","N",1,48,1,14,4,29,297,62,215,20
"NEW JERSEY","M","Y",1,18537,286,1424,6364,10463,125156,19232,94887,11037
"NEW MEXICO","M","Y",0.925,12522,107,909,2419,9087,52221,10979,32955,8287
"NEW MEXICO","M","N",1,13376,111,936,2527,9802,53954,11465,34013,8476
"NEW MEXICO","O","Y",0.96,2820,33,227,252,2308,13827,3289,9359,1179
"NEW MEXICO","O","N",1,2836,33,229,255,2319,14284,3406,9687,1191
"NEW MEXICO","R","Y",0.974,1701,23,187,41,1450,3302,1172,1627,503
"NEW MEXICO","R","N",1,1737,23,189,48,1477,3419,1217,1690,512
"NEW YORK","M","Y",0.997,65791,535,5597,17953,41706,263956,28097,223311,12548
"NEW YORK","M","N",1,65840,535,5603,17961,41741,264695,28169,223958,12568
"NEW YORK","O","Y",0.974,1242,11,285,174,772,8916,1373,7308,235
"NEW YORK","O","N",1,1278,12,296,176,794,9222,1421,7559,242
"NEW YORK","R","Y",1,1377,15,676,50,636,7590,1547,5716,327
"NORTH CAROLINA","M","Y",0.891,29429,396,1989,6340,20704,190073,42468,134375,13230
"NORTH CAROLINA","M","N",1,32996,456,2140,7449,22951,210122,46893,148551,14678
"NORTH CAROLINA","O","Y",0.862,2842,66,122,566,2088,22507,5258,16180,1069
"NORTH CAROLINA","O","N",1,3174,68,135,633,2338,25766,5983,18566,1217
"NORTH CAROLINA","R","Y",0.953,2909,99,342,327,2141,22190,9060,11454,1676
"NORTH CAROLINA","R","N",1,3040,104,358,341,2237,23091,9414,11940,1737
"NORTH DAKOTA","M","Y",1,1164,11,233,121,799,9331,1538,6924,869
"NORTH DAKOTA","O","Y",0.998,765,7,120,32,606,4574,807,3135,632
"NORTH DAKOTA","O","N",1,766,7,120,32,607,4582,808,3141,633
"NORTH DAKOTA","R","Y",1,203,0,44,5,154,1594,378,943,273
"OHIO","M","Y",0.901,28724,537,4341,8382,15464,199224,39060,143262,16902
"OHIO","M","N",1,29748,537,4511,8829,15871,215783,40774,157031,17978
"OHIO","O","Y",0.809,1562,15,421,249,877,21458,3433,17179,846
"OHIO","O","N",1,1643,16,429,254,944,25677,4001,20747,929
"OHIO","R","Y",0.86,1301,11,359,102,829,11326,2990,7401,935
"OHIO","R","N",1,1332,11,360,102,859,13036,3411,8623,1002
"OKLAHOMA","M","Y",0.999,14233,162,1708,2432,9931,82153,18608,53054,10491
"OKLAHOMA","M","N",1,14233,162,1708,2432,9931,82153,18608,53054,10491
"OKLAHOMA","O","Y",0.993,3082,31,421,317,2313,23573,5537,16165,1871
"OKLAHOMA","O","N",1,3085,31,421,317,2316,23677,5556,16248,1873
"OKLAHOMA","R","Y",0.979,1053,13,169,42,829,7384,2640,3828,916
"OKLAHOMA","R","N",1,1062,13,170,42,837,7534,2694,3915,925
"OREGON","M","Y",0.993,10262,65,1707,2296,6194,105007,13343,76678,14986
"OREGON","M","N",1,10313,65,1713,2310,6225,105339,13359,76960,15020
"OREGON","O","Y",0.95,893,8,154,144,587,10648,1602,8227,819
"OREGON","O","N",1,923,8,158,158,599,11119,1660,8618,841
"OREGON","R","Y",0.843,603,8,91,34,470,4118,1086,2425,607
"OREGON","R","N",1,730,9,104,81,536,4820,1285,2840,695
"PENNSYLVANIA","M","Y",0.997,36145,745,3830,9605,21965,175929,24132,139309,12488
"PENNSYLVANIA","M","N",1,36160,745,3830,9606,21979,176290,24146,139655,12489
"PENNSYLVANIA","O","Y",0.989,1751,13,164,142,1432,7172,1019,5921,232
"PENNSYLVANIA","O","N",1,1757,13,164,142,1438,7233,1021,5980,232
"PENNSYLVANIA","R","Y",1,1275,26,489,100,660,7293,1937,4961,395
"PUERTO RICO","M","Y",1,6181,614,191,2239,3137,24202,5273,15259,3670
"PUERTO RICO","O","Y",1,236,25,7,32,172,649,213,399,37
"RHODE ISLAND","M","Y",1,2317,16,481,454,1366,17561,2810,13220,1531
"SOUTH CAROLINA","M","Y",0.988,20355,306,2060,3050,14939,127824,23029,92348,12447
"SOUTH CAROLINA","M","N",1,20541,306,2074,3075,15086,129023,23215,93322,12486
"SOUTH CAROLINA","O","Y",0.97,2028,32,133,287,1576,10512,2169,7820,523
"SOUTH CAROLINA","O","N",1,2061,32,133,292,1604,10661,2185,7947,529
"SOUTH CAROLINA","R","Y",0.963,2158,54,226,183,1695,13312,3927,8100,1285
"SOUTH CAROLINA","R","N",1,2223,54,227,186,1756,13737,4073,8347,1317
"SOUTH DAKOTA","M","Y",0.991,1623,7,339,176,1101,9378,1556,6849,973
"SOUTH DAKOTA","M","N",1,1638,7,342,178,1111,9470,1569,6918,983
"SOUTH DAKOTA","O","Y",0.96,1587,2,231,40,1314,4504,633,3508,363
"SOUTH DAKOTA","O","N",1,1608,2,231,47,1328,4604,645,3590,369
"SOUTH DAKOTA","R","Y",0.828,183,3,29,3,148,817,213,522,82
"SOUTH DAKOTA","R","N",1,324,3,41,37,243,1177,357,648,172
"TENNESSEE","M","Y",0.999,36817,451,2379,6916,27071,160578,26609,116881,17088
"TENNESSEE","M","N",1,36817,451,2379,6916,27071,160578,26609,116881,17088
"TENNESSEE","O","Y",1,2646,14,186,190,2256,17352,2813,13213,1326
"TENNESSEE","R","Y",1,2763,33,256,84,2390,13349,3710,7614,2025
"TEXAS","M","Y",0.982,109688,1228,13483,27686,67291,631017,105140,459349,66528
"TEXAS","M","N",1,109839,1228,13496,27703,67412,632569,105409,460517,66643
"TEXAS","O","Y",0.934,4859,42,617,447,3753,30004,6785,21596,1623
"TEXAS","O","N",1,5065,42,638,454,3931,31297,7099,22520,1678
"TEXAS","R","Y",0.984,2985,52,554,98,2281,15328,5321,8529,1478
"TEXAS","R","N",1,3023,52,559,99,2313,15564,5403,8665,1496
"UTAH","M","Y",0.994,6631,53,1615,1201,3762,69225,9095,52857,7273
"UTAH","M","N",1,6639,53,1616,1202,3768,69483,9128,53065,7290
"UTAH","O","Y",0.896,364,4,78,15,267,3076,390,2469,217
"UTAH","O","N",1,397,4,81,27,285,3280,412,2642,226
"UTAH","R","Y",0.909,310,3,56,7,244,2179,401,1573,205
"UTAH","R","N",1,332,3,56,7,266,2393,428,1753,212
"VERMONT","M","Y",1,384,4,117,26,237,3412,493,2852,67
"VERMONT","O","Y",1,402,1,95,34,272,3183,452,2638,93
"VERMONT","R","Y",1,291,5,75,10,201,1441,522,826,93
"VIRGINIA","M","Y",0.999,15054,334,2428,3384,8908,127888,13142,104914,9832
"VIRGINIA","M","N",1,15056,334,2428,3384,8910,127900,13145,104921,9834
"VIRGINIA","O","Y",0.978,640,18,95,123,404,6088,752,5033,303
"VIRGINIA","O","N",1,645,18,96,124,407,6201,761,5134,306
"VIRGINIA","R","Y",1,1331,39,400,96,796,7784,1668,5478,638
"WASHINGTON","M","Y",0.986,21866,214,3094,5400,13158,204842,36088,142637,26117
"WASHINGTON","M","N",1,21919,214,3099,5415,13191,205202,36129,142935,26138
"WASHINGTON","O","Y",0.928,944,4,209,95,636,10638,1922,7728,988
"WASHINGTON","O","N",1,979,4,211,114,650,11011,2008,7997,1006
"WASHINGTON","R","Y",1,574,18,103,43,410,5798,2064,3201,533
"WEST VIRGINIA","M","Y",0.819,3193,40,446,251,2456,17785,3837,12480,1468
"WEST VIRGINIA","M","N",1,3677,45,492,418,2722,20085,4105,14123,1857
"WEST VIRGINIA","O","Y",0.543,342,2,24,17,299,1625,204,1341,80
"WEST VIRGINIA","O","N",1,490,2,35,77,376,4071,482,3332,257
"WEST VIRGINIA","R","Y",0.867,917,19,109,26,763,2445,758,1417,270
"WEST VIRGINIA","R","N",1,1069,20,125,77,847,2671,767,1499,405
"WISCONSIN","M","Y",0.982,15155,153,1737,3414,9851,74000,11575,54598,7827
"WISCONSIN","M","N",1,15159,153,1738,3417,9851,74030,11575,54628,7827
"WISCONSIN","O","Y",0.995,1194,10,290,54,840,10935,1048,9477,410
"WISCONSIN","O","N",1,1194,10,290,54,840,11005,1048,9547,410
"WISCONSIN","R","Y",1,823,13,220,18,572,5651,1476,3778,397
"WYOMING","M","Y",0.813,384,5,102,27,250,4582,712,3463,407
"WYOMING","M","N",1,496,6,110,54,326,5107,859,3769,479
"WYOMING","O","Y",0.919,456,4,91,14,347,3795,465,3125,205
"WYOMING","O","N",1,476,4,91,29,352,4120,488,3386,246
"WYOMING","R","Y",0.891,220,3,38,3,176,958,174,708,76
"WYOMING","R","N",1,254,3,42,17,192,1086,178,794,114
