"State","ViolentCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA",450.147076350884,7.11570527492436,26.9589852015324,104.347970404996,311.724415469431,3504.83988020277,986.346181687472,2313.54161701229,204.952081503011
"ALASKA",603.234447187188,4.12128223843457,79.6686783761187,86.1346571097782,433.309829462857,2739.38471069601,403.350841888069,2127.97428557895,208.059583228994
"ARIZONA",429.316297387888,5.46804567609082,34.7764592734136,112.845672096432,276.226120341952,3541.02143945035,808.295801170426,2440.13959132981,292.58604695012
"ARKANSAS",480.400878231235,6.06889779102326,42.7088203587832,83.1981586655811,348.425001415847,3769.76884621747,1101.74148255642,2470.41983929184,197.607524369209
"CALIFORNIA",423.332789663393,4.95736846341963,20.6132355423273,148.672460867349,249.089724790296,2760.25569948275,646.394003912373,1670.37208229666,443.489613273714
"COLORADO",309.604502481431,3.13917281484744,40.7922471091158,65.7170855523947,199.955997005073,2685.69192507896,505.132472782874,1946.96042747112,233.599024824964
"CONNECTICUT",282.981004343034,4.06645931437825,25.5964117117371,102.692023918579,150.626109398339,2140.01599288314,409.737554615195,1550.65791690887,179.620521359078
"DELAWARE",547.382378212873,6.21529791994696,26.4967963955634,162.688149062471,351.982134834891,3340.88619244307,803.736157332089,2380.56814365407,156.581891456909
"DISTRICT OF COLUMBIA",1243.66818856818,13.9169380206002,37.3226974188824,638.281384672074,554.147168456627,4860.80689774055,556.519373801048,3725.31127287794,578.976251061562
"FLORIDA",486.955232549008,5.22888588238312,27.2287418509451,123.614844664154,330.882760151526,3275.20812250254,794.655604190099,2287.38776051776,193.164757794681
"GEORGIA",378.931743940896,5.87992891211915,21.4144545365827,125.633617287455,226.003743204739,3407.8968153408,874.923147950295,2245.32189925437,287.65176813613
"HAWAII",239.170358963825,2.08286498797325,20.4695352266337,74.6958478445579,141.92211090466,3075.24242034657,573.075163415123,2243.24559204719,258.921664884261
"IDAHO",208.008084287751,1.81804236129284,30.037658004329,15.2400151648144,160.912368757315,1984.24858185168,450.510671300179,1448.20103108734,85.5368794641653
"ILLINOIS",421.546697943808,5.91301084650314,27.8209702191437,154.613111168118,233.199605710043,2596.48247355138,556.61821159169,1836.38054378422,203.483718175472
"INDIANA",371.699065877192,5.09115357696874,26.7528433360786,110.663724101665,229.19134486248,3177.09949644554,765.289759476507,2190.38972534304,221.420011625993
"IOWA",265.48342437893,1.4993479788022,28.4571953817017,31.6966179851952,203.830263033231,2286.39807393627,558.761700037557,1595.99998630318,131.636387595535
"KANSAS",355.480314246057,2.94889431318984,36.5403288840354,52.2202797736099,263.770811275222,3148.58886388068,651.551586433977,2261.48505043751,235.552227009195
"KENTUCKY",222.725208706023,4.45493925079993,28.995582837247,80.6942530422704,108.580433575706,2552.19099036604,675.356199710258,1724.53520932051,152.299581335274
"LOUISIANA",501.189620821887,10.9683446822546,25.2811503712731,120.880967006842,344.059158761517,3550.98638657045,922.001759481082,2455.94533141414,173.039295675231
"MAINE",122.706125224949,1.88084189492564,27.9869273964935,31.8238448621418,61.0145110713877,2509.87065826457,561.318455121608,1873.69469572492,74.8575074180404
"MARYLAND",476.755878049058,6.2706440563216,20.9871149310493,172.332253049207,277.16586601248,2753.49248533833,573.22863227057,1924.93478275277,255.329070314992
"MASSACHUSETTS",407.353958170197,1.859661310117,24.7397283359723,99.2878842955862,281.466684228522,2157.58257341662,520.74016973642,1497.40978073447,139.432622945735
"MICHIGAN",457.032163055402,7.05144590120464,46.5526962709693,106.264431904781,297.163588978447,2532.88785959514,666.52457472907,1611.06685456477,255.296430301301
"MINNESOTA",NA,1.84044323822084,NA,64.6014166951254,133.980549675329,2568.29206309783,471.785540399681,1939.26946301258,157.237059685574
"MISSISSIPPI",270.953582837653,7.68405050196535,28.4535962202378,81.6312348805502,153.1847012349,2895.54934309011,962.498915954525,1782.19216482916,150.858262306418
"MISSOURI",451.778975396552,6.96438489214178,25.1168190042158,96.0974759740044,323.60029552619,3316.58526698541,705.652445340795,2339.90383106541,271.028990579208
"MONTANA",272.210686319123,2.72995987815574,37.6807770522996,19.024059657479,212.775889731189,2583.32721196926,387.406588343362,2027.95592501326,167.964698612638
"NEBRASKA",263.191782330778,2.91274992291971,38.6319767898246,62.1100512318621,159.537004386171,2781.72535627089,474.554660260693,2080.68453810032,226.486157909869
"NEVADA",607.590403674467,4.4944944255583,33.744954114474,178.257448265288,391.093506869146,2809.42147520181,801.759812043143,1644.5500086809,363.111654477767
"NEW HAMPSHIRE",218.500083478872,1.14612162247921,37.0119438427626,36.938666615305,143.403351398325,2463.82470546197,457.090005135956,1925.21277973016,81.5219205958516
"NEW JERSEY",290.286778437951,4.38134632722312,11.6760621194554,128.470559703138,145.758810288134,2047.18407139501,477.611918186158,1383.61336115547,185.958792053377
"NEW MEXICO",559.501895267549,5.61986991208313,45.903748839245,88.881733374495,419.096543141726,3604.31857610084,1026.86140705835,2315.19533983408,262.261829208414
"NEW YORK",408.872574058897,3.51284804962233,14.5782356163017,147.262800600442,243.518689792531,1924.01570294707,330.024333600515,1505.13612058777,88.8552487587815
"NORTH CAROLINA",354.140043449434,4.9415222835178,20.378590675049,96.5974267028741,232.222503787993,3371.24947808929,1019.39863480871,2186.21088640118,165.639956879395
"NORTH DAKOTA",244.752089434528,3.98259933391279,38.8918268634221,18.7648530660193,183.112810171173,2009.93409456431,339.696801234609,1505.68851771834,164.548775611361
"OHIO",311.269777939259,4.48822518666722,32.4261020761375,137.999507130136,136.355943546319,3154.74629792775,918.905737777156,2060.89104685795,174.949513292641
"OKLAHOMA",469.289364754944,5.66278422114346,41.6362593346042,84.7047654760732,337.285555723123,3400.92022651095,936.604263550227,2161.195593022,303.120369938726
