"State","CrimeIndexTotal","ViolentCrime","PropertyCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA",4412.3,490.2,3922.2,"7.9000000000000004","34.600000000000001","121.2",326.5,884.4,2737.2,300.5
"ALASKA",4363.2,631.5,3731.7,"8.5999999999999996","83.5","91.400000000000006",448,611.8,2690.5,429.4
"ARIZONA",5896.5,551.2,5345.4,"8","28.899999999999999","152.5",361.6,1034.4,3510.5,800.5
"ARKANSAS",4042.8,425.2,3617.5,"5.5999999999999996","27.800000000000001","79.299999999999997",312.5,850.3,2506,261.2
"CALIFORNIA",3805,627.2,3177.8,"6","28.199999999999999","181.09999999999999",411.7,675.3,1994.2,508.3
"COLORADO",4063.4,340.5,3722.9,"4.5999999999999996","41.399999999999999","75.299999999999997",219.2,665.2,2693,364.8
"CONNECTICUT",3389.3,345.6,3043.7,"3.2999999999999998","19.899999999999999","123.5",198.9,588,2111.5,344.2
"DELAWARE",4835,734,4101.1,"3.2000000000000002","70.200000000000003","197.90000000000001",462.7,695.6,3001.9,403.6
"DISTRICT OF COLUMBIA",8067.1,1627.7,6439.3,"46.399999999999999","47.799999999999997","644.29999999999995",889.2,976.3,4181.3,1281.7
"FLORIDA",6205.5,854,5351.6,"5.7000000000000002","46.299999999999997","211.59999999999999",590.5,1200.3,3534.5,616.7
"GEORGIA",5148.5,534,4614.6,"7.5","29.800000000000001","166.40000000000001",330.3,917.2,3182.3,515.2
"HAWAII",4837.5,235,4602.4,"3.7000000000000002","29.899999999999999","88.099999999999994",113.3,795,3414.2,393.2
"IDAHO",3149.3,244.9,2904.4,"2","33.299999999999997","17.800000000000001",191.8,610.3,2142.5,151.6
"ILLINOIS",4506.6,732.5,3774.1,"7.7000000000000002","34.200000000000003","219.40000000000001",471.2,712.3,2632.1,429.7
"INDIANA",3765.9,374.6,3391.3,"6.5999999999999996","27","109.3",231.7,714.5,2335.4,341.4
"IOWA",3224,280,2944,"1.5","27.199999999999999","36.600000000000001",214.7,593,2172,179
"KANSAS",4438.7,382.8,4055.9,"6","40.100000000000001","77.099999999999994",259.5,824.2,3003.8,227.9
"KENTUCKY",2878.1,300.6,2577.5,"5.4000000000000004","26.300000000000001","80",189,610.9,1748.7,217.9
"LOUISIANA",5746.8,732.7,5014.2,"10.699999999999999","33.100000000000001","173.59999999999999",515.2,1092.7,3425.2,496.2
"MAINE",2875,112.2,2762.8,"2.2000000000000002","19.100000000000001","19.399999999999999",71.6,601.1,2026.5,135.2
"MARYLAND",4919.2,743.4,4175.8,"9","30","263.69999999999999",440.7,835.8,2848,492
"MASSACHUSETTS",3262.5,551,2711.5,"2","26.899999999999999","96",426,533.8,1762.7,415
"MICHIGAN",4324.8,574.9,3749.9,"7","49.200000000000003","143",375.7,777.9,2396.1,575.8
"MINNESOTA",3597.2,274,3323.2,"2.7999999999999998","42.700000000000003","82",146.5,580.1,2465.2,278
"MISSISSIPPI",4269.8,349.3,3920.5,"7.7000000000000002","41.700000000000003","111.59999999999999",188.2,1051.2,2380.6,488.7
"MISSOURI",4578.7,500.2,4078.5,"6.5999999999999996","26.300000000000001","130.69999999999999",336.6,776.8,2881.3,420.3
"MONTANA",4069.9,206.5,3863.4,"2.6000000000000001","28.300000000000001","25.800000000000001",149.7,428.5,3220.2,214.7
"NEBRASKA",4108.3,430.2,3678.1,"3.6000000000000001","24.800000000000001","75.900000000000006",325.9,609.7,2741.8,326.5
"NEVADA",4653.7,570,4083.7,"9.0999999999999996","52.100000000000001","232.69999999999999",276.1,973.6,2386.2,723.8
"NEW HAMPSHIRE",2281.9,96.5,2185.4,"1.5","28.699999999999999","21.399999999999999",44.9,307.9,1764.8,112.7
"NEW JERSEY",3400.1,411.9,2988.2,"3.5","17.300000000000001","174.90000000000001",216.1,577.2,1976.9,434.2
"NEW MEXICO",5962.1,834.5,5127.6,"9.8000000000000007","54.299999999999997","148.19999999999999",622.2,1234.5,3426,467
"NEW YORK",3279.3,588.8,2690.5,"5","19.600000000000001","240.80000000000001",323.5,512.3,1858.1,320.2
"NORTH CAROLINA",5175.4,542.1,4633.3,"7.2000000000000002","28.199999999999999","158",348.7,1286.9,3012.2,334.3
"NORTH DAKOTA",2393.1,66.9,2326.2,"1.6000000000000001","22.399999999999999","8.8000000000000007",34.1,368.6,1794.2,163.4
"OHIO",3996.4,316.4,3680.1,"3.5","36.700000000000003","128",148.2,773.1,2558.8,348.2
"OKLAHOMA",4683.9,508.2,4175.7,"6.9000000000000004","40.899999999999999","82.900000000000006",377.5,1026.6,2787.8,361.3
"OREGON",5002,374.9,4627.1,"2.7000000000000002","36.799999999999997","86.200000000000003",249.3,806.7,3409.3,411.1
"PENNSYLVANIA",3113.7,420.5,2693.2,"4.9000000000000004","27.300000000000001","155.69999999999999",232.5,467.2,1898.9,327.1
"PUERTO RICO",2105.3,364.7,1740.6,"14.6","5.7000000000000002","252.80000000000001",91.6,592.4,776.9,371.3
"RHODE ISLAND",3581.9,286.6,3295.4,"3.6000000000000001","39.5","79.5",164,639.9,2248.6,406.9
"SOUTH CAROLINA",5324.4,847.1,4477.3,"6.5999999999999996","40.799999999999997","148.19999999999999",651.4,1019.8,3085.7,371.7
"SOUTH DAKOTA",2644.7,167.4,2477.4,"2.5","45.799999999999997","14.1",105,444.1,1915.8,117.5
"TENNESSEE",4693.9,694.9,3998.9,"7.0999999999999996","44","156.80000000000001",487,936.6,2601.8,460.5
"TEXAS",5031.8,560.3,4471.5,"6.0999999999999996","38","146.69999999999999",369.5,949.7,3062.6,459.2
"UTAH",4976.5,275.5,4700.9,"2.1000000000000001","37.799999999999997","54.399999999999999",181.3,685.1,3669.3,346.6
"VERMONT",2817.3,113.8,2703.5,"2.8999999999999999","22.899999999999999","10.9",77.1,595.5,1954.5,153.5
"VIRGINIA",3373.9,314.7,3059.2,"5.7000000000000002","25","101.09999999999999",182.8,471.6,2326.4,261.2
"WASHINGTON",5255.5,377.3,4878.3,"3","47.100000000000001","100.90000000000001",226.3,949.5,3341.5,587.3
"WEST VIRGINIA",2720.6,350.6,2370,"4.4000000000000004","18.600000000000001","36.600000000000001",291,570.2,1591.6,208.2
"WISCONSIN",3296.4,245.9,3050.6,"3.3999999999999999","20.100000000000001","84.700000000000003",137.6,488.2,2299.1,263.2
"WYOMING",3454.8,232.3,3222.5,"2.2999999999999998","28.5","15.4",186,489.4,2609,124.2
