"State","Area","Actual","Percentage","ViolentCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA","M","Y",0.889,14985,325,1031,6199,7430,133325,33003,89311,11011
"ALABAMA","M","N",1,16244,348,1122,6582,8192,145518,35999,97554,11965
"ALABAMA","O","Y",0.799,2701,41,190,588,1882,22925,4915,16836,1174
"ALABAMA","O","N",1,3355,51,235,724,2345,28425,6100,20871,1454
"ALABAMA","R","Y",0.931,1055,12,175,86,782,9175,3009,5411,755
"ALABAMA","R","N",1,1133,13,188,92,840,9855,3232,5812,811
"ALASKA","M","Y",1,2801,27,308,501,1965,13750,1810,10414,1526
"ALASKA","O","Y",0.87,622,5,113,35,469,4019,509,3210,300
"ALASKA","O","N",1,715,6,130,40,539,4620,585,3690,345
"ALASKA","R","Y",1,1003,11,91,42,859,4728,1287,2894,547
"ARIZONA","M","Y",0.981,27879,451,1735,9398,16295,262499,53089,163034,46376
"ARIZONA","M","N",1,28272,455,1763,9504,16550,267026,54115,165928,46983
"ARIZONA","O","Y",0.903,915,8,51,73,783,7155,1645,4848,662
"ARIZONA","O","N",1,1013,9,56,81,867,7925,1822,5370,733
"ARIZONA","R","Y",0.754,991,3,28,25,935,3650,1423,1720,507
"ARIZONA","R","N",1,1315,4,37,33,1241,4843,1888,2282,673
"ARKANSAS","M","Y",0.976,11008,142,866,2556,7444,77783,21267,51318,5198
"ARKANSAS","M","N",1,11146,143,879,2571,7553,78826,21631,51923,5272
"ARKANSAS","O","Y",0.975,2598,28,234,383,1953,22372,6806,14634,932
"ARKANSAS","O","N",1,2666,29,240,393,2004,22951,6982,15013,956
"ARKANSAS","R","Y",0.894,1068,17,133,54,864,9193,3092,5402,699
"ARKANSAS","R","N",1,1195,19,149,60,967,10284,3459,6043,782
"CALIFORNIA","M","Y",1,187861,2230,8720,70239,106672,1090484,231611,641384,217489
"CALIFORNIA","O","Y",1,1413,14,127,179,1093,9310,2372,6151,787
"CALIFORNIA","R","Y",1,1751,16,166,124,1445,8866,3042,4708,1116
"COLORADO","M","Y",0.978,14950,137,1760,3309,9744,128489,25660,87127,15702
"COLORADO","M","N",1,15191,139,1794,3357,9901,131549,26166,89363,16020
"COLORADO","O","Y",0.938,1084,9,140,76,859,10250,1609,8200,441
"COLORADO","O","N",1,1156,10,149,81,916,10932,1716,8746,470
"COLORADO","R","Y",0.951,531,4,52,14,461,3479,826,2366,287
"COLORADO","R","N",1,559,4,55,15,485,3660,869,2489,302
"CONNECTICUT","M","Y",1,8231,89,536,3439,4167,76390,13152,54737,8501
"CONNECTICUT","O","Y",1,247,2,31,74,140,2861,607,2019,235
"CONNECTICUT","R","Y",1,487,15,91,94,287,4801,1403,2967,431
"DELAWARE","M","Y",0.984,4741,32,246,1472,2991,23010,4613,16363,2034
"DELAWARE","M","N",1,4813,32,250,1492,3039,23507,4703,16743,2061
