"State","Area","Actual","Percentage","ViolentCrime","Murderandnonnegligentmanslaughter","Rape2","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA","M","Y",0.766,12880,182,1141,1706,9851,65789,12388,47299,6102
"ALABAMA","M","N",1,19951,300,1542,3432,14677,104658,20728,73857,10073
"ALABAMA","O","Y",0.893,3327,36,297,266,2728,17915,3140,13382,1393
"ALABAMA","O","N",1,3541,37,310,301,2893,19177,3364,14305,1508
"ALABAMA","R","Y",0.724,874,13,148,55,658,4927,1387,2887,653
"ALABAMA","R","N",1,1554,21,216,208,1109,7298,1987,4315,996
"ALASKA","M","Y",1,3924,37,585,690,2612,14713,2015,10883,1815
"ALASKA","O","Y",0.971,1032,9,225,71,727,3555,467,2760,328
"ALASKA","O","N",1,1050,9,225,71,745,3596,475,2785,336
"ALASKA","R","Y",1,1369,23,278,65,1003,2985,1073,1446,466
"ARIZONA","M","Y",0.936,26975,314,3203,6171,17287,163728,25572,121711,16445
"ARIZONA","M","N",1,28465,332,3360,6316,18457,169802,26720,125905,17177
"ARIZONA","O","Y",0.933,4280,26,294,75,3885,6061,1419,3868,774
"ARIZONA","O","N",1,4341,26,296,80,3939,6385,1477,4115,793
"ARIZONA","R","Y",1,335,7,6,14,308,1451,502,768,181
"ARKANSAS","M","Y",0.953,11787,166,1373,1214,9034,58348,11579,41508,5261
"ARKANSAS","M","N",1,12317,172,1444,1277,9424,61525,12103,43905,5517
"ARKANSAS","O","Y",0.938,3107,51,472,221,2363,15641,3554,11193,894
"ARKANSAS","O","N",1,3268,53,497,233,2485,16457,3748,11767,942
"ARKANSAS","R","Y",0.815,1703,15,334,37,1317,6709,1825,4081,803
"ARKANSAS","R","N",1,2058,17,390,47,1604,8268,2244,5063,961
"CALIFORNIA","M","Y",0.999,170767,1652,14334,51859,102922,904772,148097,616986,139689
"CALIFORNIA","M","N",1,170793,1652,14336,51862,102943,904915,148134,617075,139706
"CALIFORNIA","O","Y",1,1542,12,192,254,1084,7837,1649,5254,934
"CALIFORNIA","R","Y",1,1996,26,271,185,1514,8362,2772,4473,1117
"COLORADO","M","Y",0.975,19666,187,3326,3505,12648,133050,17395,95114,20541
"COLORADO","M","N",1,20284,193,3456,3579,13056,137155,17937,97993,21225
"COLORADO","O","Y",0.951,1000,8,258,69,665,8475,1152,6813,510
"COLORADO","O","N",1,1037,8,262,70,697,8772,1202,7040,530
"COLORADO","R","Y",0.951,582,14,149,14,405,3024,849,1844,331
"COLORADO","R","N",1,617,17,154,14,432,3262,925,1979,358
"CONNECTICUT","M","Y",1,6227,92,675,1883,3577,48028,5955,36501,5572
"CONNECTICUT","O","Y",1,82,3,29,12,38,1117,121,896,100
"CONNECTICUT","R","Y",1,237,9,67,34,127,1717,365,1060,292
"DELAWARE","M","Y",1,4115,48,310,790,2967,21931,2968,17359,1604
"DISTRICT OF COLUMBIA","M","Y",1,7403,166,345,2713,4179,30821,1843,26645,2333
"FLORIDA","M","Y",0.999,78493,1088,8189,15976,53240,448932,60219,350521,38192
"FLORIDA","M","N",1,78513,1088,8191,15979,53255,449076,60247,350626,38203
"FLORIDA","O","Y",0.929,763,8,37,98,620,3994,818,2933,243
"FLORIDA","O","N",1,804,8,37,102,657,4169,876,3035,258
"FLORIDA","R","Y",0.934,1839,24,217,125,1473,7040,2112,4381,547
"FLORIDA","R","N",1,1953,26,228,136,1563,7601,2273,4741,587
"GEORGIA","M","Y",0.938,28497,542,2310,6964,18681,200844,30111,150187,20546
"GEORGIA","M","N",1,30614,558,2478,7336,20242,214626,32162,160880,21584
"GEORGIA","O","Y",0.812,2485,51,175,420,1839,18897,2988,15125,784
"GEORGIA","O","N",1,2861,54,197,472,2138,21735,3504,17334,897
"GEORGIA","R","Y",0.903,2405,40,213,144,2008,14622,3465,9986,1171
"GEORGIA","R","N",1,2695,42,247,153,2253,15888,3840,10753,1295
"HAWAII","M","Y",1,3087,28,450,1021,1588,34247,4441,25308,4498
"HAWAII","R","Y",0.736,680,16,288,48,328,4444,656,3196,592
"HAWAII","R","N",1,955,20,315,110,510,5981,899,4326,756
"IDAHO","M","Y",0.998,3217,18,685,140,2374,17685,3077,13378,1230
"IDAHO","M","N",1,3223,18,686,140,2379,17720,3083,13404,1233
"IDAHO","O","Y",0.975,352,1,59,11,281,2204,397,1667,140
"IDAHO","O","N",1,362,1,61,11,289,2274,410,1719,145
"IDAHO","R","Y",1,415,16,62,4,333,1799,434,1172,193
"ILLINOIS","M","Y",0.974,47147,772,5159,12142,29074,209020,29308,162231,17481
"ILLINOIS","M","N",1,47898,777,5288,12266,29567,214444,30102,166463,17879
"ILLINOIS","O","Y",0.843,2349,26,506,164,1653,13515,2498,10534,483
"ILLINOIS","O","N",1,2571,26,533,172,1840,15028,2834,11639,555
"ILLINOIS","R","Y",0.9,1016,29,244,26,717,4108,1360,2436,312
"ILLINOIS","R","N",1,1092,29,257,26,780,4512,1497,2674,341
"INDIANA","M","Y",0.836,20739,314,1922,4908,13595,102535,16775,74430,11330
"INDIANA","M","N",1,22290,329,2083,5126,14752,113852,18419,83178,12255
"INDIANA","O","Y",0.639,939,9,110,92,728,7715,902,6315,498
"INDIANA","O","N",1,1562,19,227,145,1171,11471,1348,9377,746
"INDIANA","R","Y",0.541,672,15,99,41,517,3938,1062,2427,449
"INDIANA","R","N",1,1114,29,165,60,860,7371,2028,4621,722
"IOWA","M","Y",0.997,5897,47,767,785,4298,40335,8397,27930,4008
"IOWA","M","N",1,5916,47,769,788,4312,40467,8424,28021,4022
"IOWA","O","Y",0.925,1680,8,250,67,1355,10388,2050,7640,698
"IOWA","O","N",1,1781,8,269,69,1435,11120,2181,8199,740
"IOWA","R","Y",0.977,690,5,123,6,556,3004,1068,1569,367
"IOWA","R","N",1,713,5,126,6,576,3112,1105,1627,380
"KANSAS","M","Y",0.95,8394,72,931,969,6422,45635,6174,34260,5201
"KANSAS","M","N",1,9339,83,1033,1151,7072,51894,6979,38847,6068
"KANSAS","O","Y",0.965,1818,12,287,124,1395,12031,1972,9259,800
"KANSAS","O","N",1,1865,12,297,124,1432,12329,2050,9457,822
"KANSAS","R","Y",0.971,743,10,83,18,632,3103,926,1800,377
"KANSAS","R","N",1,764,10,86,18,650,3205,955,1861,389
"KENTUCKY","M","Y",0.999,7572,164,879,1892,4637,64472,10604,46165,7703
"KENTUCKY","M","N",1,7572,164,879,1892,4637,64511,10610,46193,7708
"KENTUCKY","O","Y",0.98,829,13,207,170,439,11654,2015,8709,930
"KENTUCKY","O","N",1,833,13,207,172,441,11784,2041,8804,939
"KENTUCKY","R","Y",1,1296,44,486,97,669,8474,2792,4133,1549
"LOUISIANA","M","Y",0.947,21056,475,1939,3632,15010,125043,21718,93822,9503
"LOUISIANA","M","N",1,22165,493,1992,3746,15934,131212,23018,98327,9867
"LOUISIANA","O","Y",0.752,1588,23,117,174,1274,8226,2008,5939,279
"LOUISIANA","O","N",1,1817,23,131,199,1464,9500,2254,6906,340
"LOUISIANA","R","Y",0.967,1508,27,145,77,1259,6084,1600,3990,494
"LOUISIANA","R","N",1,1555,28,150,80,1297,6281,1646,4126,509
"MAINE","M","Y",1,872,8,247,138,479,10593,1277,8929,387
"MAINE","O","Y",1,356,5,132,33,186,3950,528,3259,163
"MAINE","R","Y",1,320,7,137,17,159,2200,545,1479,176
"MARYLAND","M","Y",1,27100,538,1861,9150,15551,115527,16382,87952,11193
"MARYLAND","O","Y",1,225,4,23,45,153,1596,249,1310,37
"MARYLAND","R","Y",1,131,0,29,8,94,778,231,518,29
"MASSACHUSETTS","M","Y",0.982,22199,152,2159,3588,16300,79955,12124,61784,6047
"MASSACHUSETTS","M","N",1,22463,152,2194,3611,16506,80985,12296,62575,6114
"MASSACHUSETTS","O","Y",1,115,0,10,2,103,332,45,269,18
"MASSACHUSETTS","R","Y",1,0,0,0,0,0,0,0,0,0
"MICHIGAN","M","Y",0.993,38719,510,5465,5247,27497,138960,24755,97615,16590
"MICHIGAN","M","N",1,38826,510,5490,5253,27573,139444,24835,97990,16619
"MICHIGAN","O","Y",0.976,1684,12,541,67,1064,9096,1025,7676,395
"MICHIGAN","O","N",1,1704,12,546,67,1079,9205,1039,7766,400
"MICHIGAN","R","Y",0.962,3097,34,1180,30,1853,9378,2626,6039,713
"MICHIGAN","R","N",1,3156,34,1199,30,1893,9647,2698,6224,725
"MINNESOTA","M","Y",1,11396,105,1973,3047,6271,100569,13139,77450,9980
"MINNESOTA","O","Y",0.957,1232,5,281,84,862,11729,1461,9542,726
"MINNESOTA","O","N",1,1233,5,281,84,863,11754,1464,9563,727
"MINNESOTA","R","Y",0.986,695,7,192,18,478,4862,1310,3048,504
"MINNESOTA","R","N",1,703,7,194,18,484,4913,1324,3079,510
"MISSISSIPPI","M","Y",0.784,3235,141,432,883,1779,30660,5668,22012,2980
"MISSISSIPPI","M","N",1,4273,158,452,960,2703,37017,6985,26536,3496
"MISSISSIPPI","O","Y",0.319,931,38,112,144,637,7037,1698,4967,372
"MISSISSIPPI","O","N",1,2394,107,162,481,1644,21069,5969,13941,1159
"MISSISSIPPI","R","Y",0.282,516,13,95,84,324,3410,1448,1649,313
"MISSISSIPPI","R","N",1,1605,67,133,259,1146,12621,5706,5823,1092
"MISSOURI","M","Y",0.995,25504,519,2375,4733,17877,129712,19711,91741,18260
