"State","Area","Actual","Percentage","ViolentCrime","Murderandnonnegligentmanslaughter","Rape2","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"MISSOURI","M","N",1,25679,520,2381,4740,18038,130293,19864,92117,18312
"MISSOURI","O","Y",0.964,2295,20,337,158,1780,20987,3251,16399,1337
"MISSOURI","O","N",1,2394,20,338,159,1877,21518,3317,16845,1356
"MISSOURI","R","Y",0.969,2245,28,193,59,1965,9852,3139,5351,1362
"MISSOURI","R","N",1,2307,28,198,60,2021,10135,3233,5498,1404
"MONTANA","M","Y",1,1689,8,234,155,1292,12476,1506,9731,1239
"MONTANA","O","Y",0.98,1500,9,226,30,1235,5995,625,4838,532
"MONTANA","O","N",1,1522,9,227,30,1256,6063,632,4892,539
"MONTANA","R","Y",0.977,1087,10,159,20,898,4796,731,3481,584
"MONTANA","R","N",1,1117,10,163,20,924,4901,749,3553,599
"NEBRASKA","M","Y",0.996,4720,33,919,748,3020,31084,3433,23355,4296
"NEBRASKA","M","N",1,4766,33,950,748,3035,31147,3433,23418,4296
"NEBRASKA","O","Y",0.941,716,5,222,37,452,6295,888,4957,450
"NEBRASKA","O","N",1,727,5,226,37,459,6523,918,5142,463
"NEBRASKA","R","Y",0.874,289,7,69,7,206,1512,334,985,193
"NEBRASKA","R","N",1,328,7,77,7,237,1779,394,1159,226
"NEVADA","M","Y",1,14359,127,2008,3232,8992,67801,14711,42280,10810
"NEVADA","O","Y",1,211,5,40,16,150,1179,237,825,117
"NEVADA","R","Y",0.959,593,10,102,37,444,2456,529,1604,323
"NEVADA","R","N",1,640,11,113,38,478,2545,562,1650,333
"NEW HAMPSHIRE","M","Y",0.992,1376,16,329,221,810,9917,1019,8389,509
"NEW HAMPSHIRE","M","N",1,1391,16,333,223,819,10205,1028,8666,511
"NEW HAMPSHIRE","O","Y",0.922,581,17,214,79,271,5373,562,4488,323
"NEW HAMPSHIRE","O","N",1,632,17,236,84,295,5903,631,4923,349
"NEW HAMPSHIRE","R","Y",0.923,35,0,14,4,17,243,46,171,26
"NEW HAMPSHIRE","R","N",1,51,0,21,6,24,334,58,243,33
"NEW JERSEY","M","Y",1,18375,262,1531,5730,10852,118637,16399,91902,10336
"NEW MEXICO","M","Y",0.914,12163,115,878,1994,9176,47641,10066,30689,6886
"NEW MEXICO","M","N",1,12859,117,903,2022,9817,49041,10693,31294,7054
"NEW MEXICO","O","Y",0.944,2674,40,248,249,2137,12074,2467,8413,1194
"NEW MEXICO","O","N",1,2963,41,251,280,2391,12630,2688,8716,1226
"NEW MEXICO","R","Y",0.974,1598,23,133,38,1404,3503,1191,1645,667
"NEW MEXICO","R","N",1,1628,23,134,39,1432,3598,1229,1692,677
"NEW YORK","M","Y",0.991,67175,546,5653,17891,43085,250291,24744,213411,12136
"NEW YORK","M","N",1,67287,546,5661,17918,43162,251205,24854,214182,12169
"NEW YORK","O","Y",0.951,1113,4,287,110,712,8359,1255,6895,209
"NEW YORK","O","N",1,1132,4,290,111,727,8553,1283,7058,212
"NEW YORK","R","Y",0.946,1326,8,627,38,653,7234,1429,5488,317
"NEW YORK","R","N",1,1345,8,632,39,666,7397,1463,5611,323
"NORTH CAROLINA","M","Y",0.826,27331,421,2093,5952,18865,171283,32606,125793,12884
"NORTH CAROLINA","M","N",1,31802,483,2497,6622,22200,200678,39627,146034,15017
"NORTH CAROLINA","O","Y",0.631,2256,37,203,382,1634,15667,3686,11181,800
"NORTH CAROLINA","O","N",1,3513,50,297,611,2555,24323,5855,17281,1187
"NORTH CAROLINA","R","Y",0.735,2632,70,335,260,1967,16227,6532,8313,1382
"NORTH CAROLINA","R","N",1,3680,99,453,366,2762,22235,8965,11413,1857
"NORTH DAKOTA","M","Y",1,1230,10,261,151,808,9400,1585,6873,942
"NORTH DAKOTA","O","Y",0.999,747,10,124,26,587,4138,630,2910,598
"NORTH DAKOTA","O","N",1,747,10,124,26,587,4139,630,2911,598
"NORTH DAKOTA","R","Y",1,192,4,52,2,134,1527,393,882,252
"OHIO","M","Y",0.91,29614,489,4445,8287,16393,189426,35722,137623,16081
"OHIO","M","N",1,30840,495,4736,8520,17089,203961,37714,149512,16735
"OHIO","O","Y",0.782,1499,8,459,191,841,18427,2481,15210,736
"OHIO","O","N",1,2001,8,611,263,1119,24942,3337,20641,964
"OHIO","R","Y",0.842,1225,29,325,52,819,9442,2349,6280,813
"OHIO","R","N",1,1428,35,384,63,946,11388,2843,7572,973
"OKLAHOMA","M","Y",1,13071,209,1637,2070,9155,81441,18566,52513,10362
"OKLAHOMA","O","Y",0.969,2924,35,427,262,2200,23565,5284,16352,1929
"OKLAHOMA","O","N",1,2925,35,427,262,2201,23572,5286,16356,1930
"OKLAHOMA","R","Y",0.981,1070,22,200,36,812,7415,2666,3685,1064
"OKLAHOMA","R","N",1,1090,22,204,37,827,7574,2725,3763,1086
"OREGON","M","Y",0.994,10120,93,1484,2096,6447,99327,11989,73638,13700
"OREGON","M","N",1,10176,93,1494,2098,6491,99681,12034,73924,13723
"OREGON","O","Y",0.972,1046,15,178,150,703,10316,1384,8144,788
"OREGON","O","N",1,1064,15,182,151,716,10490,1411,8279,800
"OREGON","R","Y",0.791,618,7,82,21,508,3965,1009,2438,518
"OREGON","R","N",1,755,8,102,27,618,4999,1279,3058,662
"PENNSYLVANIA","M","Y",0.992,36227,631,3656,9536,22404,164977,20488,132755,11734
"PENNSYLVANIA","M","N",1,36357,631,3662,9548,22516,165748,20577,133398,11773
"PENNSYLVANIA","O","Y",0.948,1415,7,135,108,1165,6410,879,5353,178
"PENNSYLVANIA","O","N",1,1439,7,136,108,1188,6554,898,5476,180
"PENNSYLVANIA","R","Y",1,1432,31,553,87,761,7363,1879,5047,437
"PUERTO RICO","M","Y",1,6180,572,205,2086,3317,21967,4115,14227,3625
"PUERTO RICO","O","Y",1,299,34,10,35,220,474,176,256,42
"RHODE ISLAND","M","Y",1,2342,25,491,418,1408,16259,2321,12580,1358
"SOUTH CAROLINA","M","Y",0.99,21045,340,2111,2816,15778,126047,21448,91850,12749
"SOUTH CAROLINA","M","N",1,21415,345,2140,2844,16086,127857,21830,93137,12890
"SOUTH CAROLINA","O","Y",0.972,2045,43,111,239,1652,10095,1976,7458,661
"SOUTH CAROLINA","O","N",1,2114,46,113,246,1709,10430,2055,7696,679
"SOUTH CAROLINA","R","Y",0.97,2717,72,201,197,2247,12737,3462,7904,1371
"SOUTH CAROLINA","R","N",1,2794,73,207,204,2310,13102,3576,8120,1406
"SOUTH DAKOTA","M","Y",0.995,1806,10,335,140,1321,10022,1707,7141,1174
"SOUTH DAKOTA","M","N",1,1809,10,335,140,1324,10031,1711,7144,1176
"SOUTH DAKOTA","O","Y",0.971,1459,4,270,26,1159,4457,586,3430,441
"SOUTH DAKOTA","O","N",1,1481,4,273,26,1178,4553,604,3501,448
"SOUTH DAKOTA","R","Y",0.858,176,2,28,0,146,887,271,500,116
"SOUTH DAKOTA","R","N",1,240,3,34,29,174,1083,331,620,132
"TENNESSEE","M","Y",1,35287,449,2360,5894,26584,152843,23900,112931,16012
"TENNESSEE","O","Y",1,2668,21,232,177,2238,15786,2393,12153,1240
"TENNESSEE","R","Y",1,2692,28,221,79,2364,12524,3576,7020,1928
"TEXAS","M","Y",0.996,112832,1308,13380,28389,69755,644773,101161,470229,73383
"TEXAS","M","N",1,113040,1309,13400,28406,69925,646291,101452,471296,73543
"TEXAS","O","Y",0.965,5283,45,765,444,4029,30263,6749,21413,2101
"TEXAS","O","N",1,5400,45,787,446,4122,30904,6940,21807,2157
"TEXAS","R","Y",0.968,3010,55,633,136,2186,15847,5458,8618,1771
"TEXAS","R","N",1,3034,55,637,136,2206,16009,5510,8710,1789
"UTAH","M","Y",0.998,6730,60,1593,1099,3978,64459,8117,49983,6359
"UTAH","M","N",1,6755,60,1601,1102,3992,64792,8162,50248,6382
"UTAH","O","Y",0.862,349,0,113,11,225,2455,304,2014,137
"UTAH","O","N",1,414,0,134,11,269,2797,360,2281,156
"UTAH","R","Y",0.91,338,12,77,11,238,1768,307,1279,182
"UTAH","R","N",1,384,12,87,12,273,1957,349,1408,200
"VERMONT","M","Y",1,444,5,114,32,293,3786,406,3284,96
"VERMONT","O","Y",1,505,0,108,32,365,3646,446,3101,99
"VERMONT","R","Y",1,313,6,56,7,244,1456,423,930,103
"VIRGINIA","M","Y",0.999,15713,344,2340,3338,9691,126904,11783,105821,9300
"VIRGINIA","M","N",1,15713,344,2340,3338,9691,126941,11786,105851,9304
"VIRGINIA","O","Y",0.985,572,15,114,75,368,5840,655,4903,282
"VIRGINIA","O","N",1,575,15,114,75,371,5867,659,4925,283
"VIRGINIA","R","Y",1,1465,67,362,111,925,7405,1455,5268,682
"WASHINGTON","M","Y",0.998,20734,182,2937,5002,12613,189481,31171,135283,23027
"WASHINGTON","M","N",1,20805,183,2961,5008,12653,190177,31342,135759,23076
"WASHINGTON","O","Y",0.947,924,7,224,108,585,8892,1633,6427,832
"WASHINGTON","O","N",1,961,7,232,110,612,9360,1729,6767,864
"WASHINGTON","R","Y",1,611,8,139,29,435,4687,1469,2756,462
"WEST VIRGINIA","M","Y",0.847,3621,51,514,299,2757,20104,4344,13957,1803
"WEST VIRGINIA","M","N",1,3939,55,547,324,3013,21838,4730,15162,1946
"WEST VIRGINIA","O","Y",0.827,391,7,50,13,321,1652,209,1370,73
"WEST VIRGINIA","O","N",1,708,8,82,33,585,3754,303,3332,119
"WEST VIRGINIA","R","Y",0.831,908,15,119,21,753,2628,792,1495,341
"WEST VIRGINIA","R","N",1,1027,15,125,21,866,2784,858,1572,354
"WISCONSIN","M","Y",0.988,14828,149,1731,2913,10035,69373,10258,52575,6540
"WISCONSIN","M","N",1,14878,149,1748,2915,10066,70020,10365,53091,6564
"WISCONSIN","O","Y",0.937,1249,16,309,53,871,9875,849,8589,437
"WISCONSIN","O","N",1,1287,16,313,54,904,10579,902,9220,457
"WISCONSIN","R","Y",0.986,893,10,198,22,663,4992,1376,3257,359
"WISCONSIN","R","N",1,905,10,200,22,673,5073,1400,3309,364
"WYOMING","M","Y",0.81,449,7,112,53,277,3970,583,3057,330
"WYOMING","M","N",1,553,7,128,58,360,4304,698,3239,367
"WYOMING","O","Y",0.919,468,6,146,9,307,3496,478,2784,234
"WYOMING","O","N",1,492,6,154,9,323,3724,510,2964,250
"WYOMING","R","Y",0.921,194,0,39,0,155,973,170,716,87
"WYOMING","R","N",1,213,0,42,0,171,1065,188,781,96
