"State","ViolentCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA",423.954778064508,6.36163304483485,28.6673969375354,103.728046250623,285.197701831515,3641.43289647128,1071.9122555308,2345.22468719632,224.295953744161
"ALASKA",606.466800112147,4.03060743645643,58.0962705332984,79.6525715117775,464.687350630615,2632.75570291903,390.978794136268,2055.89580908216,185.8810997006
"ARIZONA",405.885340090666,6.26734594833346,34.304765292668,110.248630508829,255.064598340836,3556.95372936573,848.165270783673,2402.2268006139,306.561657968156
"ARKANSAS",487.769656259665,5.62089855352826,41.7527178777593,85.0710356042976,355.32500422408,3813.09481884385,1187.03970164218,2425.67423307335,200.380884128328
"CALIFORNIA",411.286431210281,4.75900176875813,20.3395820763281,144.120987961438,242.066859403757,2584.8815610184,610.686309429849,1584.40817684106,389.787074747498
"COLORADO",321.262349334402,2.94688570194813,44.6291814870606,65.0244850220807,208.661797123312,2611.48598901802,505.080671551983,1889.72887502814,216.676442437897
"CONNECTICUT",272.767208952194,3.5747110418635,19.1582169899872,102.689160163532,147.345120756811,2167.41991599988,437.874175198264,1542.0968305439,187.448910257717
"DELAWARE",559.453664559299,4.51972418658744,31.8585436566773,169.54477558467,353.530621131364,3410.627966069,830.196167053415,2411.76892083317,168.662878182409
"DISTRICT OF COLUMBIA",1202.11134052648,17.475841267581,27.9937086971437,662.302021372307,494.339769189445,4795.50029450029,622.981378520249,3451.47865034725,721.040265632787
"FLORIDA",515.715399425693,5.16892813983205,27.7006395762257,134.556607608455,348.289224101181,3524.86642455548,893.670988186224,2423.11875122609,208.07668514316
"GEORGIA",373.457204684508,5.6491641336796,20.9461058888206,123.889062789178,222.972871872829,3625.96040071816,975.082954670485,2350.35437905224,300.523066995433
"HAWAII",287.151524849825,1.2365345029495,31.5724068097123,75.7570247172447,178.585558819918,3336.69027103029,727.582632354928,2304.84080114211,304.266837533252
"IDAHO",200.935695773764,2.2763863502215,27.4349319301849,11.6287617244551,159.595615768903,2069.43153422542,436.769784227509,1548.47746369095,84.1842863069616
"ILLINOIS",442.909896471411,5.82405407364337,29.0196047931626,164.227270267797,243.838967336808,2724.89359200713,615.466223354811,1876.82807325546,232.599295396856
"INDIANA",354.310896962526,5.09110059777763,28.2063623814801,116.296102502983,204.717331480285,3301.69757931482,813.422235024492,2248.16689074261,240.108453547723
"IOWA",255.625006107838,1.50019621286606,27.2482593575041,26.9730649337901,199.903485603678,2330.3957334618,568.280939255617,1633.56707369484,128.547720511343
"KANSAS",354.782388176189,3.88380581290457,37.8286929671014,51.0225441618508,262.047345234332,3085.74001495407,655.956646114148,2196.4762800153,233.307088824626
"KENTUCKY",238.2421508495,3.5172470947801,33.4312825610749,84.542552473385,116.75106872026,2707.21410720085,744.789421318428,1809.71070664016,152.713979242262
"LOUISIANA",555.237375969035,11.2862087765565,27.6944873512683,115.160449420464,401.096230420746,3681.34489716197,1014.06785154076,2466.88936038408,200.387685237139
"MAINE",123.17533361241,1.95755420166422,29.5891846636169,27.7822115543884,63.8463831927408,2545.49807707945,591.331949995031,1873.00291826157,81.1632088228474
"MARYLAND",494.09011804322,6.82876226625001,20.48628679875,177.462030451819,289.313038526401,2860.17045482817,613.970926973594,1970.5096984724,275.689829382174
"MASSACHUSETTS",431.581851791972,2.85212878179247,24.7959712376147,103.967793285506,299.965958487059,2265.9608330988,556.304103075084,1544.981578228,164.675151795717
"MICHIGAN",448.108148873806,6.29462176087162,44.1555652817596,105.976291993598,291.681669837577,2616.35200020534,727.832863391771,1629.19447776574,259.324659047827
"MINNESOTA",NA,1.39128169516142,NA,63.4417515340569,125.454652347442,2548.72883284904,481.47168221111,1914.08429218583,153.1728584521
"MISSISSIPPI",277.94120832709,8.31895702806542,29.7405850288718,88.1257774613723,151.755888808781,3100.30956825731,1061.30418047312,1867.12149118548,171.883896598704
"MISSOURI",447.348867896965,6.09491601530754,24.249637552493,104.302181304817,312.702133024348,3308.79816368665,745.698975653127,2308.27110447645,254.828083557069
"MONTANA",267.619364391599,2.84804430755499,35.7669804343263,16.973889813611,212.030449836106,2319.57012339007,339.606773499477,1833.84364308946,146.119706801126
"NEBRASKA",254.728627408339,3.64554345464968,37.9218430933951,54.5561478717864,158.605092988508,2763.69420495401,474.474978393017,2065.37286006452,223.846366496472
"NEVADA",562.149588109298,5.16447656591771,33.4844210252549,157.876540331912,365.624150186213,2560.57549379176,742.278033912978,1469.99741948252,348.300040396264
"NEW HAMPSHIRE",220.4666283133,1.31791379015447,43.986409781062,39.432118814734,135.73018592735,2510.82784344037,478.796202140478,1950.57810133466,81.4535399652307
"NEW JERSEY",308.38365270761,4.30782590261706,11.404402257981,138.405911697504,154.265512849508,2150.72742741738,490.162569414096,1463.14173143993,197.423126563358
"NEW MEXICO",567.521145887727,7.49887092408621,41.1334410087312,82.7129021413679,436.175931813541,3531.45488240965,1028.84310179533,2242.92221042105,259.689570193272
"NEW YORK",399.668295723866,3.99724082824965,14.1653451929396,146.504259236349,235.001450466328,1914.30446072939,336.274358320375,1478.60710851457,99.4229938944474
"NORTH CAROLINA",350.665496822684,5.2850446743767,20.6795003242227,99.2809852716279,225.419966552457,3525.96964489147,1100.84931610001,2248.26871804089,176.85161075057
"NORTH DAKOTA",247.249187874162,3.58653003038229,37.9652540127854,13.3712587161019,192.326145114892,1936.18877516578,355.873252355597,1437.08990703105,143.225615779133
"OHIO",316.396505023165,4.61012631377177,31.9870714606053,143.909685799989,135.889621448798,3390.94464403039,997.718335439861,2205.76714976142,187.459158829111
"OKLAHOMA",454.782268852027,5.48663028077551,37.0114553969632,86.5702860001698,325.713897174118,3356.15467177896,958.463049615172,2106.74455621321,290.947065950574
"OREGON",248.3540844227,2.13940566405587,31.4977549939942,57.6555991552731,157.061324609376,3123.58546830333,528.946003091027,2360.19673806383,234.442727148474
"PENNSYLVANIA",356.314221369933,5.03544292515768,26.1541929021048,127.212934965622,197.911650577048,2225.14437343471,455.007582748332,1637.43841206783,132.698378618548
"PUERTO RICO",284.350728008007,30.6472890908061,1.21402113475904,174.414369693716,78.0750480887261,1395.23402280741,447.59610326194,789.734237284478,157.903682260993
"RHODE ISLAND",247.502620560029,1.33168204759432,28.916524462048,70.9596291075257,146.294784942861,2676.77603581083,662.416698531916,1796.81956278976,217.539774489157
"SOUTH CAROLINA",571.80619246983,6.83866914872963,34.4614229455987,92.1738190753494,438.332281300152,3902.77085752519,1002.6433495593,2608.09918274666,292.028325219225
"SOUTH DAKOTA",255.345089582845,2.49994755152457,60.5507263540719,20.4315740537004,171.862841623548,1824.82466848042,353.516902958454,1355.97101253686,115.336752985106
"TENNESSEE",608.181369979134,5.82507320773976,31.6084401406576,126.199508288861,444.548348341877,3595.94418736559,979.939728451641,2396.80679793852,219.19766097543
"TEXAS",408.782251411251,4.39047132306915,28.9955417760053,110.693413346601,264.702824965576,3474.61300815289,838.840125704252,2388.89095556966,246.881926878973
"UTAH",195.206351143663,1.91659935201457,30.3690115999137,38.4037094886509,124.517030703083,2975.38171737427,466.131134297053,2289.61695837217,219.63362470505
"VERMONT",135.383645147152,1.29589724696144,18.9957122390825,13.6644229358714,101.427612725236,2309.54020406188,581.691578650641,1648.07978693118,79.7688384800628
"VIRGINIA",196.661678839324,3.74598437395675,18.9657109622342,67.0662775293309,106.883705973803,2249.64086667317,377.903261398389,1751.63480743652,120.102797838258
"WASHINGTON",294.830484934426,2.37746898474534,33.5580534590513,82.6064081851029,176.288554305527,3577.22275528589,828.316773212374,2385.01363300585,363.892349067667
"WEST VIRGINIA",319.013055515706,4.29844959058384,21.2387262479666,50.0447977112293,243.431081965927,2277.03390820051,610.296162216217,1544.53114634222,122.206599642076
"WISCONSIN",238.01045117998,2.40838908832581,20.3966294818927,78.7645471230346,136.440885486727,2433.78730718876,467.901784218739,1821.01019230308,144.875330666944
"WYOMING",219.51749083301,3.23345513406809,25.7424399478249,12.5836202888677,177.957975462249,2266.65749250889,327.865455460099,1847.04501575593,91.7470212928645
