"State","ViolentCrime","Murderandnonnegligentmanslaughter","Rape2","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA",524.990485793445,8.29545293197856,41.723338600689,86.6753995671348,388.296294693643,2961.37772016555,647.181392621678,2050.3683636604,263.827963883477
"ALASKA",829.123583535279,8.40406322105081,116.668400825198,128.594182622663,575.456936866366,3541.99501991946,563.844332696214,2402.60029770788,575.550389515369
"ARIZONA",508.709057444254,5.95184848158478,51.0862170825368,106.226877447678,345.444114432454,2916.50493042851,536.855685187502,2107.69700632558,271.952238915428
"ARKANSAS",555.41645152877,8.636149644634,67.8735486425313,64.6624823875621,414.244270854043,3084.29583776031,728.383260889306,2114.11202457067,241.800552300334
"CALIFORNIA",449.648096938827,4.63311798239416,37.2648293376434,143.335813436669,264.414336182121,2498.71410947944,447.255555185404,1625.19913950314,426.259414790892
"COLORADO",368.170588167958,3.953194435583,68.8418470726417,68.4840991566541,226.891447503079,2700.78975937521,406.829347841677,1904.11969914897,389.840712384563
"CONNECTICUT",227.970471971337,2.84266358692865,23.3265629633263,78.3962026473559,123.405042773726,1769.94825237502,247.757640076429,1318.49425781955,203.696354479035
"DELAWARE",453.355150378558,5.61366157313509,34.7215363967985,112.481144854299,300.538807554325,2440.59134726838,412.708082321228,1885.5665483986,142.316716548555
"DISTRICT OF COLUMBIA",1004.93968056348,16.7153718017442,63.9795265515035,377.969139965301,546.275642244932,4283.89041632804,260.673341287545,3650.43546425504,372.78161078545
"FLORIDA",408.294575383243,5.04415430798444,37.8622678242638,88.6705449113912,276.717608339604,2513.81036033632,423.679284632914,1885.51556455333,204.615511150082
"GEORGIA",358.035127259429,6.76491450571777,26.1650485015843,96.5345788352916,228.570585416835,2864.75132698756,531.444991790977,2081.13939228737,252.166942909221
"HAWAII",250.571263251836,2.73197631166386,39.718732531113,75.4445766067173,132.675977802342,2829.48685078786,388.711193677506,2071.6786523371,369.097004773253
