"State","Area","Actual","Percentage","ViolentCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA","M","Y",0.978,15393,252,981,4345,9815,131484,39276,83753,8455
"ALABAMA","M","N",1,15575,254,998,4375,9948,133029,39846,84632,8551
"ALABAMA","O","Y",0.984,3199,31,241,461,2466,28863,7122,20324,1417
"ALABAMA","O","N",1,3228,31,244,464,2489,29048,7188,20436,1424
"ALABAMA","R","Y",0.978,1341,16,126,69,1130,10870,3994,6204,672
"ALABAMA","R","N",1,1371,16,129,71,1155,11113,4083,6343,687
"ALASKA","M","Y",1,2646,15,306,507,1818,11664,1304,9626,734
"ALASKA","O","Y",0.939,678,2,75,41,560,3639,426,2976,237
"ALASKA","O","N",1,722,2,80,44,596,3876,454,3170,252
"ALASKA","R","Y",1,1015,12,34,25,944,3488,1068,2063,357
"ARIZONA","M","Y",0.995,22804,331,1631,6980,13862,215453,50478,146557,18418
"ARIZONA","M","N",1,22877,332,1637,6996,13912,216378,50678,147233,18467
"ARIZONA","O","Y",0.886,2392,58,499,96,1739,9869,2732,6135,1002
"ARIZONA","O","N",1,2742,65,606,108,1963,11140,3084,6925,1131
"ARIZONA","R","Y",0.981,680,8,21,23,628,2850,1145,1478,227
"ARIZONA","R","N",1,692,8,21,23,640,2904,1167,1506,231
"ARKANSAS","M","Y",0.958,10344,112,851,2020,7361,74609,22110,48309,4190
"ARKANSAS","M","N",1,10597,114,875,2037,7571,76149,22676,49174,4299
"ARKANSAS","O","Y",0.965,2326,32,205,320,1769,21995,7421,13877,697
"ARKANSAS","O","N",1,2410,33,212,332,1833,22792,7690,14380,722
"ARKANSAS","R","Y",0.929,1043,14,117,55,857,10549,3814,6000,735
"ARKANSAS","R","N",1,1122,15,126,59,922,11354,4105,6458,791
"CALIFORNIA","M","Y",0.999,151568,1757,7370,53902,88539,954328,224122,585150,145056
"CALIFORNIA","M","N",1,151642,1757,7374,53926,88585,954893,224257,585505,145131
"CALIFORNIA","O","Y",1,1503,6,116,210,1171,9841,2598,6538,705
"CALIFORNIA","R","Y",1,1799,29,173,156,1441,9167,3235,4920,1012
"COLORADO","M","Y",0.988,14918,132,2042,3211,9533,119439,23321,85624,10494
"COLORADO","M","N",1,15045,132,2062,3229,9622,120630,23529,86519,10582
"COLORADO","O","Y",0.904,835,8,154,59,614,8868,1337,7248,283
"COLORADO","O","N",1,923,9,170,65,679,9806,1478,8015,313
"COLORADO","R","Y",0.84,349,7,39,10,293,2457,639,1690,128
"COLORADO","R","N",1,415,8,46,12,349,2925,761,2012,152
"CONNECTICUT","M","Y",1,9235,123,604,3581,4927,70282,13775,50161,6346
"CONNECTICUT","O","Y",1,217,1,34,45,137,2880,488,2274,118
"CONNECTICUT","R","Y",1,315,4,48,51,212,4447,1416,2783,248
"DELAWARE","M","Y",1,4120,37,215,1337,2531,23654,5280,17075,1299
"DELAWARE","O","Y",1,329,0,28,100,201,2772,580,2142,50
"DELAWARE","R","Y",1,626,4,46,101,475,4513,1671,2661,181
"DISTRICT OF COLUMBIA","M","Y",1,7429,108,173,4093,3055,29636,3850,21330,4456
"FLORIDA","M","Y",0.999,93488,938,4976,25088,62486,641973,160797,442693,38483
"FLORIDA","M","N",1,93499,938,4976,25092,62493,642066,160818,442760,38488
"FLORIDA","O","Y",0.987,1374,10,82,233,1049,8449,2184,5978,287
"FLORIDA","O","N",1,1391,10,83,236,1062,8557,2212,6054,291
"FLORIDA","R","Y",1,3309,36,215,294,2764,20577,7141,12594,842
"GEORGIA","M","Y",0.994,30696,477,1713,11046,17460,293471,78801,187750,26920
"GEORGIA","M","N",1,30861,479,1721,11102,17559,295307,79227,189019,27061
"GEORGIA","O","Y",0.865,3034,30,175,736,2093,29100,7180,21089,831
"GEORGIA","O","N",1,3506,35,202,850,2419,33624,8298,24366,960
"GEORGIA","R","Y",0.952,2158,38,124,187,1809,25715,7739,16592,1384
"GEORGIA","R","N",1,2267,40,130,196,1901,27021,8132,17435,1454
"HAWAII","M","Y",1,2469,17,228,890,1334,29758,5215,21269,3274
"HAWAII","R","Y",0.165,244,0,34,25,185,2659,790,1719,150
"HAWAII","R","N",1,1480,0,206,152,1122,16131,4793,10428,910
"IDAHO","M","Y",0.999,2231,20,296,151,1764,23711,4765,18039,907
"IDAHO","M","N",1,2232,20,296,151,1765,23722,4767,18048,907
"IDAHO","O","Y",0.994,591,10,90,27,464,5872,1154,4486,232
"IDAHO","O","N",1,595,10,91,27,467,5907,1161,4513,233
"IDAHO","R","Y",1,357,6,48,6,297,3158,992,1973,193
"ILLINOIS","M","Y",0.936,49258,670,2949,19439,26200,294897,65767,201983,27147
"ILLINOIS","M","N",1,50871,687,3124,19887,27173,310391,68799,213754,27838
"ILLINOIS","O","Y",0.703,2489,16,319,237,1917,19494,4398,14641,455
"ILLINOIS","O","N",1,3543,23,454,337,2729,27748,6260,20840,648
"ILLINOIS","R","Y",0.914,761,10,119,27,605,7205,2455,4491,259
"ILLINOIS","R","N",1,833,11,130,30,662,7886,2687,4916,283
"INDIANA","M","Y",0.895,18664,255,1361,6187,10861,163652,40866,110120,12666
"INDIANA","M","N",1,19389,265,1440,6312,11372,173726,43199,117207,13320
"INDIANA","O","Y",0.839,848,22,117,207,502,16830,3093,12966,771
"INDIANA","O","N",1,1011,26,139,247,599,20067,3688,15460,919
"INDIANA","R","Y",0.775,950,16,138,325,471,9500,2839,6214,447
"INDIANA","R","N",1,1226,21,178,419,608,12262,3664,8021,577
"IOWA","M","Y",0.999,5317,29,609,696,3983,49402,11370,35188,2844
"IOWA","M","N",1,5322,29,610,696,3987,49450,11379,35225,2846
"IOWA","O","Y",0.92,1666,8,155,106,1397,15499,3734,11067,698
"IOWA","O","N",1,1810,9,168,115,1518,16844,4058,12027,759
"IOWA","R","Y",0.852,592,7,48,12,525,4316,1672,2362,282
"IOWA","R","N",1,694,8,56,14,616,5067,1963,2773,331
"KANSAS","M","Y",0.992,7627,91,764,1296,5476,64037,13043,45437,5557
"KANSAS","M","N",1,7665,91,769,1300,5505,64390,13103,45707,5580
"KANSAS","O","Y",0.967,1850,13,230,139,1468,18900,3987,14132,781
"KANSAS","O","N",1,1913,13,238,144,1518,19550,4124,14618,808
"KANSAS","R","Y",0.947,554,6,74,14,460,4262,1480,2508,274
"KANSAS","R","N",1,584,6,78,15,485,4498,1562,2647,289
"KENTUCKY","M","Y",0.995,7887,85,778,3040,3984,83613,20924,58015,4674
"KENTUCKY","M","N",1,7924,85,784,3055,4000,84118,21045,58375,4698
"KENTUCKY","O","Y",0.969,999,11,184,382,422,17022,3916,12447,659
"KENTUCKY","O","N",1,1030,11,190,394,435,17558,4039,12839,680
"KENTUCKY","R","Y",0.949,1378,54,464,232,628,15837,7091,7517,1229
"KENTUCKY","R","N",1,1452,57,489,244,662,16682,7469,7918,1295
