"State","CrimeIndexTotal","ViolentCrime","PropertyCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA",4545.9,486.2,4059.7,"7.4000000000000004",33.3,"128.19999999999999",317.2,906.9,2864.8,288
"ALASKA",4249.4,566.9,3682.5,"4.2999999999999998",79.3,"78.200000000000003",405.1,621.9,2685.8,374.8
"ARIZONA",5829.5,531.7,5297.8,"7",30.7,"146.30000000000001",347.7,1011.6,3444.1,842.1
"ARKANSAS",4115.3,445.3,3670,"6.2999999999999998",31.7,"74.799999999999997",332.4,802.1,2608.7,259.3
"CALIFORNIA",3739.7,621.6,3118.2,"6.0999999999999996",28.9,"177.90000000000001",408.7,656.3,1924.5,537.4
"COLORADO",3982.6,334,3648.6,"3.1000000000000001",41.2,"70.5",219.1,630.8,2623.5,394.3
"CONNECTICUT",NA,324.7,NA,"2.8999999999999999",19.9,"112.5",189.4,512,2011.4,384.6
"DELAWARE",4478.1,684.4,3793.6,"3.2000000000000002",54.1,"177.90000000000001",449.2,665.6,2725.9,402.1
"DISTRICT OF COLUMBIA",7276.5,1507.9,5768.6,"41.799999999999997",43.9,"621.29999999999995",801,829.5,3785.4,1153.7
"FLORIDA",5694.7,812,4882.7,"5.5999999999999996",44.2,"199",563.2,1081.8,3242.9,558
"GEORGIA",4751.1,504.7,4246.4,"8",24,"161.90000000000001",310.9,836.6,2937,472.8
"HAWAII",5198.9,243.8,4955.1,"2.8999999999999999",28.6,"92.700000000000003",119.7,880.3,3570.2,504.6
"IDAHO",3186.2,252.5,2933.7,"1.2",29.7,"17.199999999999999",204.3,566.5,2206,161.2
"ILLINOIS",4286.2,656.8,3629.4,"7.2000000000000002",32.9,"207.40000000000001",409.3,659.6,2517.8,452.1
"INDIANA",3751.9,349.1,3402.8,"5.7999999999999998",28.9,"103.3",211.1,676.1,2379.9,346.8
"IOWA",3233.7,266.4,2967.3,"1.6000000000000001",23.1,"36.600000000000001",205.1,558.4,2225.2,183.6
"KANSAS",4408.8,389.4,4019.4,"6.2999999999999998",38,"76.200000000000003",269,799.1,2978.6,241.6
"KENTUCKY",2959.7,294.5,2665.2,"4.7999999999999998",27,"80.599999999999994",182.2,626.2,1809.6,229.5
"LOUISIANA",5422.8,681.1,4741.7,"12.5",33.5,"168.5",466.6,1035.8,3229.9,475.9
"MAINE",2619.8,109.6,2510.2,"1.2",25.1,"19.399999999999999",63.9,531.4,1875.1,103.7
"MARYLAND",4816.1,786.6,4029.5,"8.0999999999999996",29.1,"256",493.3,744.4,2745.7,539.5
"MASSACHUSETTS",3026.1,476.1,2550,"2",26.7,"91.599999999999994",355.9,482,1660.5,407.6
"MICHIGAN",4109.9,555,3554.9,"6.7000000000000002",50.6,"138",359.7,702.2,2291.9,560.7
"MINNESOTA",3488.4,280.8,3207.6,"3.1000000000000001",45.5,"75.5",156.7,530.9,2403.7,273
"MISSISSIPPI",4004.4,360.9,3643.5,"9",35.8,"95",221.1,946.3,2452.2,245
"MISSOURI",4527.8,490,4037.7,"6.2000000000000002",24.1,"135.80000000000001",323.9,745,2851.3,441.4
"MONTANA",3533.4,240.6,3292.7,"1.8",33.4,"27.600000000000001",177.9,437.4,2638.6,216.8
"NEBRASKA",4095.5,327.6,3767.9,"3.7000000000000002",25.5,"67",231.4,592,2870.3,305.6
"NEVADA",4268.6,524.2,3744.4,"6.5",43,"227.30000000000001",247.3,877.1,2208.2,659.2
"NEW HAMPSHIRE",2433.1,175.4,2257.8,"1.8",42.2,"36.700000000000003",94.7,404,1680,173.8
"NEW JERSEY",3160.5,383.8,2776.6,"3.3999999999999999",16.1,"161.09999999999999",203.2,522,1848.8,405.9
"NEW MEXICO",5518.9,757.9,4761,"7.4000000000000004",50.7,"137.40000000000001",562.4,1173.1,3184.4,403.6
"NEW YORK",3099.6,553.9,2545.7,"5",18.6,"213.59999999999999",316.7,463.4,1796.4,285.8
"NORTH CAROLINA",4919.3,497.6,4421.8,"7",27.1,"156.5",307,1216.1,2891.8,313.9
"NORTH DAKOTA",2288.1,81.4,2206.6,"0.59999999999999998",26.3,"8.6999999999999993",45.8,325.9,1727.2,153.5
"OHIO",4041.8,334.1,3707.7,"3.7000000000000002",37.6,"137.5",155.3,780.7,2583.2,343.7
