"State","ViolentCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA",436.628548777176,8.81120669212737,36.8828324337666,160.322956764251,230.61155288703,4033.68987617746,998.51528878132,2701.23364701937,333.940940376764
"ALASKA",688.713806957658,5.43375885813706,76.708636932792,90.6053055149081,515.966105651821,3562.37784103484,616.128443370375,2568.12491195181,378.124485712664
"ARIZONA",503.218748811436,7.61170707900928,31.568429118161,150.651342351269,313.387270262997,4633.63778821741,923.143083285452,2816.3020073414,894.192697590556
"ARKANSAS",558.135261691172,7.41590281589627,46.904137914129,100.291932224369,403.523288736778,4002.12442757986,1145.72899725253,2588.27051247027,268.124917857063
"CALIFORNIA",532.454883349399,6.81614663673633,25.2677435885775,194.659273447044,305.711719677041,3170.85770082898,676.030086388967,1829.14106485875,665.686549581268
"COLORADO",393.765720401091,3.35876366235742,43.7713291694397,81.3651179548442,265.27050961445,3447.67688949175,683.606243332743,2326.18999906938,437.880647089633
"CONNECTICUT",281.860860136883,3.10239821694889,18.1691084402843,121.490847435213,139.098506044437,2507.89476545373,419.832616249121,1790.73871936012,297.323429844482
"DELAWARE",681.56573822814,4.92105226157502,46.8671643959525,203.286325567444,426.491196003168,3417.90513148583,725.152201116376,2362.80809302195,329.944837347506
"DISTRICT OF COLUMBIA",1508.43464653586,29.0612694100046,31.8126321943838,658.435506336732,789.125238594741,4653.75818960329,659.467267380875,2735.37048819493,1258.92043402748
"FLORIDA",712.310644504258,6.24462811610266,35.8134940984143,188.847852186471,481.40467010327,3987.65772450118,944.965815058795,2619.96502937347,422.726880068912
"GEORGIA",472.497425745199,6.44605804435253,23.2548479793364,166.327048713141,276.469471008369,3892.58996856888,910.764507349495,2519.59786509392,462.227596125471
"HAWAII",281.213973106143,1.63360814252531,27.6157566950707,88.9149574717347,163.049650796812,4230.42276222911,677.480633964425,2949.05165157783,603.890476686856
"IDAHO",247.150781739048,2.47056866381153,40.014858174635,20.5454714175284,184.119883483073,2418.51147775005,513.067276622106,1739.81312571303,165.631075414921
"ILLINOIS ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"INDIANA",345.608696113848,6.53645386318697,31.5774326340687,129.710210463248,177.784599153344,3745.87989752671,782.633453928286,2585.18043275744,378.066010840981
"IOWA",284.605667139024,1.85571563185025,27.8103304555257,43.83340973968,211.106211311969,2808.89032869958,605.982967997329,2034.34947016001,168.557890542248
"KANSAS",425.587911588216,4.60044506184778,44.8338150665609,68.0499474229622,308.103704036845,3753.75118327451,724.166719756442,2714.19836236413,315.386101153941
"KENTUCKY",267.733143144399,4.05596023856195,30.8337941831904,88.0690810789728,144.774307643674,2553.62179540266,649.84196544917,1681.13882159892,222.641008354569
"LOUISIANA",712.31796819618,12.8479369299547,37.3871968602065,138.042376251338,524.04045815468,4045.09693295058,1073.69773174714,2597.81645599397,373.582745209475
"MAINE",115.468373318482,1.74034900807673,25.6512310320875,29.0562617000637,59.0205315782544,2518.66335142792,512.948953293573,1904.32015157683,101.394246557514
"MARYLAND",678.629855048153,9.72269485322203,20.9768031814937,255.977543067888,391.95281394555,3480.86721452093,667.001796917834,2270.35609102793,543.50932657517
"MASSACHUSETTS",451.021040584289,2.9415797985914,27.220957917346,126.456130476743,294.402372391609,2400.87840621086,548.006124720368,1571.75657399936,281.115707491133
"MICHIGAN",564.529263919155,7.10517233060508,52.3421417325579,141.281791502685,363.800158353306,3216.63860667349,755.622060791012,1964.37234711584,496.644198766641
"MINNESOTA",NA,2.44026311293981,NA,106.243023100165,173.741343902455,3078.11171837343,585.420947959618,2232.69537300015,259.995397413659
"MISSISSIPPI",318.562775865991,8.20707469812364,35.9807551391857,118.536601002166,155.838345026515,3390.95500347861,989.389334091844,2091.74669025874,309.81897912802
"MISSOURI",545.940982635374,6.30385775095091,30.1996774525889,129.944227420862,379.493220010973,3828.11823825613,764.514642365565,2628.0311443899,435.572451500668
"MONTANA",253.646297858377,1.87717281221777,28.388190237388,17.3470018996638,206.033932909107,2687.86901830654,310.749602651667,2192.06298382629,185.05643182858
"NEBRASKA",282.152256769404,2.86873356360739,30.9661792920812,63.9483879051636,184.368956008552,3342.57458877331,534.871700144749,2522.48638204306,285.216506585494
"NEVADA",741.646360350852,8.97605277277884,43.2373256331623,281.583584081772,407.849397863138,4088.75232465742,994.578704555227,2013.80148257143,1080.37213753076
"NEW HAMPSHIRE",175.665723946511,1.05281567722863,44.5907748442674,36.808308551845,93.2138248731696,2034.83679443989,375.999357665839,1543.68593992514,115.15149684891
"NEW JERSEY",351.55927634173,4.90569151911386,14.1783654419249,153.096545843,179.378673537691,2291.89781490413,451.976947834619,1556.53694856818,283.383918501334
"NEW MEXICO",643.314171615267,6.79365417563109,55.9760107726847,107.851693738514,472.692812928437,3941.26079427916,1070.84393373342,2397.63886237497,472.777998170773
"NEW YORK",436.177697387463,4.79586879901475,16.4406133652221,179.212968003257,235.728247219969,2053.50617787646,355.420260143786,1531.24094253802,166.844975194658
"NORTH CAROLINA",475.873762762205,6.12159636244851,28.1345212726408,152.564282714313,289.053362412802,4113.92255844404,1212.36509536769,2560.79619269343,340.761270382923
"NORTH DAKOTA",128.128215310618,1.30059949531174,30.4363271646397,11.3368610452548,85.0544276054118,1999.39527484593,376.048691120259,1464.134970453,159.211613272666
"OHIO",385.500020664897,5.30159494383414,41.8531286527412,186.720949857523,151.624347210798,3859.79526439557,970.613540834824,2532.47310985006,356.708613710684
"OKLAHOMA",497.399986365714,5.78339589831505,41.5733966023806,87.5332335720824,362.509960292936,3604.20114818569,960.462805779596,2270.52770274574,373.21063966035
"OREGON",281.266334791892,2.33072202556606,32.374422839157,72.9932309821338,173.567958945035,3681.28399327767,646.14780094802,2643.1657659363,391.970426393353
