"State","Area","Actual","Percentage","ViolentCrime","Murderandnonnegligentmanslaughter","Rape2","Rape3","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA","M","Y",0.962,16664,280,1454,1053,4130,10373,126932,32452,86012,8468
"ALABAMA","M","N",1,16664,283,1507,1053,4208,10666,130416,33451,88269,8696
"ALABAMA","O","Y",0.94,2840,33,282,209,348,2022,21396,5317,14897,1182
"ALABAMA","O","N",1,2840,35,299,209,367,2139,22487,5605,15637,1245
"ALABAMA","R","Y",0.992,1322,29,236,166,72,974,9020,3347,5048,625
"ALABAMA","R","N",1,1322,29,238,166,73,982,9090,3373,5087,630
"ALASKA","M","Y",1,2734,15,454,317,569,1696,14476,1523,11912,1041
"ALASKA","O","Y",0.966,795,1,98,71,33,636,3606,407,2950,249
"ALASKA","O","N",1,795,1,101,71,34,659,3733,421,3054,258
"ALASKA","R","Y",1,1179,18,367,256,21,773,3001,972,1633,396
"ARIZONA","M","Y",0.998,24832,315,2406,1843,6567,15516,213239,44933,152271,16035
"ARIZONA","M","N",1,24832,315,2406,1843,6575,15536,213617,45003,152558,16056
"ARIZONA","O","Y",0.884,2378,36,631,433,102,1406,8420,2465,4901,1054
"ARIZONA","O","N",1,2378,41,631,490,115,1591,9528,2789,5546,1193
"ARIZONA","R","Y",1,389,1,13,10,12,363,2098,741,1168,189
"ARKANSAS","M","Y",0.961,9872,100,898,648,1852,6781,69888,18297,47716,3875
"ARKANSAS","M","N",1,9872,101,928,648,1865,6978,71483,18856,48636,3991
"ARKANSAS","O","Y",0.925,2382,25,272,205,316,1590,20733,6846,13112,775
"ARKANSAS","O","N",1,2382,27,294,205,342,1719,22416,7402,14176,838
"ARKANSAS","R","Y",0.923,1367,29,186,140,47,1001,11739,3903,7052,784
"ARKANSAS","R","N",1,1367,31,201,140,51,1084,12714,4227,7638,849
"CALIFORNIA","M","Y",0.999,150459,1711,9349,7183,53239,86136,998309,225528,609730,163051
"CALIFORNIA","M","N",1,150459,1711,9349,7184,53247,86152,998514,225576,609857,163081
"CALIFORNIA","O","Y",1,1661,15,141,108,244,1261,10846,2848,7146,852
"CALIFORNIA","R","Y",1,2009,20,224,172,149,1616,9547,3634,4554,1359
"COLORADO","M","Y",0.983,14979,154,2620,1852,3073,8995,126908,22739,92275,11894
"COLORADO","M","N",1,14979,156,2651,1852,3085,9087,128078,22972,93108,11998
"COLORADO","O","Y",0.938,809,14,176,131,53,516,8486,1275,6897,314
"COLORADO","O","N",1,809,15,187,131,57,550,9047,1359,7353,335
"COLORADO","R","Y",0.975,438,7,94,67,9,318,2860,732,1933,195
"COLORADO","R","N",1,438,7,96,67,9,326,2932,750,1982,200
"CONNECTICUT","M","Y",1,8879,80,842,571,3456,4501,64527,11328,47504,5695
"CONNECTICUT","O","Y",1,148,0,31,26,21,96,2071,297,1659,115
"CONNECTICUT","R","Y",1,413,6,82,71,53,272,4392,1267,2713,412
"DELAWARE","M","Y",1,4547,39,379,265,1226,2903,28378,6131,20915,1332
"DELAWARE","R","Y",1,2,0,1,1,0,1,1,0,1,0
"DISTRICT OF COLUMBIA","M","Y",1,8406,103,395,276,4078,3830,31083,3316,24533,3234
"FLORIDA","M","Y",0.999,88501,936,6534,4572,22807,58111,588180,133228,420827,34125
"FLORIDA","M","N",1,88501,936,6543,4572,22839,58183,589069,133415,421479,34175
"FLORIDA","O","Y",0.965,1158,9,53,37,185,870,6505,1529,4710,266
"FLORIDA","O","N",1,1158,9,55,37,192,902,6742,1585,4881,276
"FLORIDA","R","Y",0.941,2327,25,152,113,159,1853,10690,3685,6571,434
"FLORIDA","R","N",1,2327,27,162,113,169,1969,11361,3916,6984,461
"GEORGIA","M","Y",0.995,30818,479,2154,1647,11456,16585,279224,68360,186099,24765
"GEORGIA","M","N",1,30818,480,2154,1655,11511,16673,280934,68678,187372,24884
"GEORGIA","O","Y",0.919,3428,36,256,181,700,2179,29435,6501,22199,735
"GEORGIA","O","N",1,3428,39,256,197,762,2371,32025,7073,24152,800
"GEORGIA","R","Y",0.918,2295,34,172,121,197,1717,19678,5972,12658,1048
"GEORGIA","R","N",1,2295,37,172,132,215,1871,21440,6507,13791,1142
"HAWAII","M","Y",1,2849,12,273,210,1011,1553,35149,5661,26292,3196
"HAWAII","R","Y",1,684,9,112,86,120,443,7726,1872,5366,488
"IDAHO","M","Y",0.999,2440,13,474,331,178,1774,21382,4409,15890,1083
"IDAHO","M","N",1,2440,13,474,331,178,1775,21391,4411,15897,1083
"IDAHO","O","Y",1,581,6,98,68,30,447,5413,1113,4078,222
"IDAHO","R","Y",1,477,8,83,58,12,374,3251,1116,1904,231
"ILLINOIS","M","Y",0.968,45763,672,3737,2786,17272,23387,259745,50706,189093,19946
"ILLINOIS","M","N",1,45763,680,3737,2866,17502,23844,266888,51966,194673,20249
"ILLINOIS","O","Y",0.864,2458,19,412,277,166,1582,17129,3712,13021,396
"ILLINOIS","O","N",1,2458,22,412,321,192,1832,19834,4298,15077,459
"ILLINOIS","R","Y",0.937,753,4,114,83,26,569,5868,1849,3808,211
"ILLINOIS","R","N",1,753,4,114,89,28,607,6261,1973,4063,225
"INDIANA","M","Y",0.884,21194,306,1852,1300,6762,11535,149461,34748,102557,12156
"INDIANA","M","N",1,21194,319,1852,1387,6924,12099,160115,36980,110263,12872
"INDIANA","O","Y",0.768,1137,10,159,108,95,646,13531,2236,10679,616
"INDIANA","O","N",1,1137,13,159,141,124,841,17615,2911,13902,802
"INDIANA","R","Y",0.738,1156,17,131,87,44,695,7236,2227,4618,391
"INDIANA","R","N",1,1156,23,131,118,60,942,9806,3018,6258,530
"IOWA","M","Y",0.976,5653,28,714,505,820,4025,47266,10301,33836,3129
"IOWA","M","N",1,5653,28,723,505,822,4080,47750,10428,34161,3161
"IOWA","O","Y",0.913,2119,6,247,189,97,1585,14008,3258,10088,662
"IOWA","O","N",1,2119,7,270,189,106,1736,15341,3568,11048,725
"IOWA","R","Y",0.873,616,7,79,63,10,443,4112,1635,2163,314
"IOWA","R","N",1,616,8,90,63,11,507,4709,1872,2477,360
"KANSAS","M","Y",0.995,7039,79,781,533,1163,4998,61168,11467,44275,5426
"KANSAS","M","N",1,7039,79,784,533,1164,5012,61380,11502,44438,5440
"KANSAS","O","Y",0.947,2103,15,296,229,162,1519,17803,3799,13191,813
"KANSAS","O","N",1,2103,16,312,229,171,1604,18793,4010,13925,858
"KANSAS","R","Y",0.96,696,16,95,73,14,542,4903,1789,2785,329
"KANSAS","R","N",1,696,17,99,73,15,565,5107,1863,2901,343
"KENTUCKY","M","Y",0.997,6825,95,848,578,2737,3130,76216,17632,54088,4496
"KENTUCKY","M","N",1,6825,95,851,578,2744,3135,76446,17680,54258,4508
"KENTUCKY","O","Y",0.96,955,11,169,127,315,422,14792,3046,11202,544
"KENTUCKY","O","N",1,955,11,176,127,328,440,15417,3175,11675,567
"KENTUCKY","R","Y",0.974,1442,59,569,421,169,607,11681,5218,5531,932
"KENTUCKY","R","N",1,1442,61,584,421,174,623,11994,5358,5679,957
"LOUISIANA","M","Y",0.988,20088,453,1284,966,5050,13112,140871,35041,97724,8106
"LOUISIANA","M","N",1,20088,456,1284,976,5087,13261,142744,35385,99191,8168
"LOUISIANA","O","Y",0.782,2126,19,134,84,285,1254,10742,2686,7761,295
"LOUISIANA","O","N",1,2126,24,134,107,364,1604,13738,3435,9926,377
"LOUISIANA","R","Y",0.943,1770,17,201,152,91,1371,8676,2228,5868,580
"LOUISIANA","R","N",1,1770,18,201,161,97,1454,9204,2364,6225,615
"MAINE ","M","Y",1,1081,13,250,189,270,548,19044,3785,14734,525
"MAINE ","O","Y",1,407,3,117,84,50,237,7590,1408,5980,202
"MAINE ","R","Y",1,230,8,80,71,15,127,3813,1290,2336,187
"MARYLAND","M","Y",1,27579,380,1499,1152,9960,15740,154451,31049,110069,13333
"MARYLAND","O","Y",1,278,0,13,10,71,194,1716,313,1382,21
"MARYLAND","R","Y",1,232,1,20,15,17,194,1746,587,1095,64
"MASSACHUSETTS","M","Y",0.987,27297,136,2659,2016,6609,17645,133596,29863,94792,8941
"MASSACHUSETTS","M","N",1,27297,137,2659,2042,6663,17838,135157,30207,95912,9038
"MASSACHUSETTS","O","Y",0.808,367,0,59,38,35,214,1717,425,1224,68
"MASSACHUSETTS","O","N",1,367,0,59,47,43,265,2126,526,1516,84
"MASSACHUSETTS","R","Y",1,3,0,0,0,0,3,2,2,0,0
"MICHIGAN","M","Y",0.992,40367,596,4962,3495,9930,24679,198626,48923,126298,23405
"MICHIGAN","M","N",1,40367,597,4995,3495,9973,24802,200180,49238,127412,23530
"MICHIGAN","O","Y",0.9,1481,8,492,375,69,764,12790,1884,10616,290
"MICHIGAN","O","N",1,1481,9,546,375,77,849,14215,2094,11799,322
"MICHIGAN","R","Y",0.96,2675,24,1010,736,53,1482,15307,4813,9807,687
"MICHIGAN","R","N",1,2675,25,1052,736,55,1543,15939,5012,10212,715
"MINNESOTA","M","Y",0.999,10813,94,1514,1060,3576,5628,108013,18230,82949,6834
"MINNESOTA","M","N",1,10813,94,1514,1060,3576,5629,108031,18232,82964,6835
"MINNESOTA","O","Y",1,1118,9,245,169,81,783,13951,1962,11404,585
"MINNESOTA","R","Y",1,774,11,249,174,17,497,9213,2519,6148,546
"MISSISSIPPI","M","Y",0.839,4139,74,460,323,1363,1895,36525,10137,24041,2347
"MISSISSIPPI","M","N",1,4139,77,460,355,1441,2161,40921,11410,26910,2601
"MISSISSIPPI","O","Y",0.674,2336,45,265,134,538,813,17725,5031,11991,703
"MISSISSIPPI","O","N",1,2336,67,265,204,798,1206,26301,7465,17793,1043
"MISSISSIPPI","R","Y",0.489,1739,25,205,71,83,642,6981,2992,3625,364
"MISSISSIPPI","R","N",1,1739,51,205,156,170,1313,14278,6120,7414,744
"MISSOURI","M","Y",0.999,21763,310,1955,1367,5176,14317,150899,30232,106390,14277
"MISSOURI","M","N",1,21763,310,1956,1367,5177,14320,150957,30242,106435,14280
"MISSOURI","O","Y",0.997,2527,17,173,122,256,2073,25737,4319,20400,1018
"MISSOURI","O","N",1,2527,17,174,122,257,2079,25816,4332,20463,1021
"MISSOURI","R","Y",1,1907,44,157,110,50,1656,12833,4291,7518,1024
"MONTANA","M","Y",1,924,5,131,94,143,645,12945,2164,9837,944
"MONTANA","O","Y",0.975,852,12,166,115,42,612,6966,923,5628,415
"MONTANA","O","N",1,852,12,170,115,43,627,7141,946,5770,425
"MONTANA","R","Y",0.948,791,5,103,78,17,625,5562,904,4202,456
"MONTANA","R","N",1,791,5,109,78,18,659,5867,954,4432,481
"NEBRASKA","M","Y",0.993,3988,53,503,420,992,2436,36568,6499,26152,3917
"NEBRASKA","M","N",1,3988,53,503,422,993,2439,36681,6518,26238,3925
"NEBRASKA","O","Y",0.895,706,1,233,128,35,388,8304,1414,6567,323
"NEBRASKA","O","N",1,706,1,233,143,39,433,9277,1580,7336,361
"NEBRASKA","R","Y",0.787,203,2,65,43,6,100,2408,631,1638,139
"NEBRASKA","R","N",1,203,3,65,51,8,127,3060,802,2081,177
"NEVADA","M","Y",1,15824,143,1290,991,5124,9267,73425,21274,42622,9529
"NEVADA","O","Y",1,282,10,49,38,24,199,1996,577,1243,176
"NEVADA","R","Y",0.979,718,10,79,60,34,582,3678,1171,2220,287
"NEVADA","R","N",1,718,10,79,61,35,594,3756,1196,2267,293
"NEW HAMPSHIRE","M","Y",0.952,1850,13,367,264,508,921,17299,2813,13915,571
"NEW HAMPSHIRE","M","N",1,1850,13,378,264,515,944,17808,2888,14333,587
"NEW HAMPSHIRE","O","Y",0.871,894,8,247,198,117,407,9076,1549,7259,268
"NEW HAMPSHIRE","O","N",1,894,9,284,198,134,467,10419,1778,8333,308
"NEW HAMPSHIRE","R","Y",0.045,105,0,6,17,0,13,95,27,66,2
"NEW HAMPSHIRE","R","N",1,105,0,24,17,0,81,813,270,498,45
"NEW JERSEY","M","Y",0.997,25674,400,1120,859,12059,12045,167097,35779,117601,13717
"NEW JERSEY","M","N",1,25674,401,1120,861,12082,12071,167556,35873,117936,13747
"NEW MEXICO","M","Y",0.931,8686,66,999,720,1449,5417,50368,13692,32409,4267
"NEW MEXICO","M","N",1,8686,69,999,768,1507,6111,54149,14610,35010,4529
"NEW MEXICO","O","Y",0.99,3167,31,355,270,251,2501,17830,4508,12401,921
"NEW MEXICO","O","N",1,3167,31,355,273,254,2527,18012,4554,12528,930
"NEW MEXICO","R","Y",0.753,929,19,111,64,37,560,3837,1741,1760,336
"NEW MEXICO","R","N",1,929,25,111,85,49,744,5095,2312,2337,446
"NEW YORK","M","Y",0.994,75338,626,2998,2296,26913,44671,330555,50561,265122,14872
"NEW YORK","M","N",1,75338,627,2998,2304,26959,44754,332107,50808,266372,14927
"NEW YORK","O","Y",0.957,1141,3,157,116,209,731,14041,2431,11385,225
"NEW YORK","O","N",1,1141,3,157,121,218,763,14665,2539,11891,235
"NEW YORK","R","Y",1,893,18,198,152,64,613,11826,3095,8411,320
"NORTH CAROLINA","M","Y",0.988,26427,352,1841,1403,7776,16254,235075,65304,158115,11656
"NORTH CAROLINA","M","N",1,26427,353,1841,1415,7830,16403,237873,65970,160141,11762
"NORTH CAROLINA","O","Y",0.926,4042,51,243,173,937,2529,32546,8423,23035,1088
"NORTH CAROLINA","O","N",1,4042,55,243,187,1012,2732,35163,9100,24888,1175
"NORTH CAROLINA","R","Y",0.946,3231,58,285,207,480,2250,33123,14788,16756,1579
"NORTH CAROLINA","R","N",1,3231,61,285,219,507,2378,35013,15632,17712,1669
"NORTH DAKOTA","M","Y",1,1177,7,198,142,110,862,8402,1699,6182,521
"NORTH DAKOTA","O","Y",0.986,602,6,108,72,46,434,4834,777,3445,612
"NORTH DAKOTA","O","N",1,602,6,109,72,47,440,4904,788,3495,621
"NORTH DAKOTA","R","Y",0.993,175,3,23,16,5,143,1829,444,1113,272
"NORTH DAKOTA","R","N",1,175,3,23,16,5,144,1842,447,1121,274
"OHIO","M","Y",0.93,30094,409,2727,2377,13349,12184,267063,74511,175070,17482
"OHIO","M","N",1,30094,418,3411,2377,13695,12570,283543,77792,187702,18049
"OHIO","O","Y",0.839,1729,9,246,239,446,712,30023,6226,23211,586
"OHIO","O","N",1,1729,11,339,239,531,848,35766,7417,27651,698
"OHIO","R","Y",0.918,1298,24,250,208,130,770,17831,5714,11396,721
"OHIO","R","N",1,1298,26,291,208,142,839,19422,6224,12413,785
"OKLAHOMA","M","Y",1,13006,156,1653,1293,2700,8497,90943,23527,58338,9078
"OKLAHOMA","O","Y",1,3166,21,407,304,292,2446,27502,7002,19046,1454
"OKLAHOMA","R","Y",1,817,18,120,78,39,640,7612,2819,4111,682
"OREGON","M","Y",0.996,8537,58,1548,1197,2234,4674,106257,16988,80581,8688
"OREGON","M","N",1,8537,58,1548,1201,2242,4689,106671,17050,80905,8716
"OREGON","O","Y",0.973,929,7,217,159,122,564,12331,2127,9543,661
"OREGON","O","N",1,929,7,217,163,125,580,12678,2187,9811,680
"OREGON","R","Y",0.97,518,15,132,93,29,331,5227,1486,3289,452
"OREGON","R","N",1,518,15,132,95,30,341,5388,1532,3390,466
"PENNSYLVANIA ","M","Y",0.994,40106,553,3308,2318,14464,21664,239427,46396,180021,13010
"PENNSYLVANIA ","M","N",1,40106,553,3317,2318,14496,21740,240562,46574,180941,13047
"PENNSYLVANIA ","O","Y",0.973,1679,6,121,87,168,1339,11751,2091,9383,277
"PENNSYLVANIA ","O","N",1,1679,6,124,87,173,1376,12075,2149,9641,285
"PENNSYLVANIA ","R","Y",1,1064,35,333,233,93,603,10603,3311,6854,438
"PUERTO RICO","M","Y",1,8986,845,33,25,5889,2219,46957,13267,28257,5433
"PUERTO RICO","O","Y",1,342,38,1,1,127,176,1894,694,1103,97
"RHODE ISLAND","M","Y",1,2678,31,425,297,684,1538,25622,5606,17809,2207
"RHODE ISLAND","R","Y",1,27,0,15,10,0,12,56,1,29,26
"SOUTH CAROLINA","M","Y",0.997,19941,209,1795,1256,3440,14455,144541,32985,100739,10817
"SOUTH CAROLINA","M","N",1,19941,209,1797,1256,3447,14488,144952,33057,101059,10836
"SOUTH CAROLINA","O","Y",0.978,1954,37,151,108,323,1400,11953,2796,8710,447
"SOUTH CAROLINA","O","N",1,1954,38,154,108,330,1432,12223,2859,8907,457
"SOUTH CAROLINA","R","Y",1,2383,50,220,154,195,1918,15874,5042,9545,1287
"SOUTH DAKOTA","M","Y",0.993,1232,5,267,194,119,838,9269,1971,6789,509
"SOUTH DAKOTA","M","N",1,1232,5,268,194,119,840,9304,1979,6814,511
"SOUTH DAKOTA","O","Y",0.958,1260,7,195,135,29,977,5395,1005,4060,330
"SOUTH DAKOTA","O","N",1,1260,7,203,135,30,1020,5633,1049,4239,345
"SOUTH DAKOTA","R","Y",0.78,182,6,22,20,8,106,967,268,635,64
"SOUTH DAKOTA","R","N",1,182,8,28,20,10,136,1240,344,814,82
"TENNESSEE","M","Y",0.994,32551,274,1989,1395,6854,23330,166628,39978,117086,9564
