"State","ViolentCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA",461.76256993572,9.28687659862752,34.2599017365946,168.572779591973,249.643012008525,4073.57514942781,1004.94122272342,2751.72399585691,316.909930847471
"ALASKA",661.168688492626,6.4006634356602,77.3814310733139,85.3326493402086,492.053944643444,3379.41239218893,538.723626987901,2486.93523016305,353.753535037982
"ARIZONA",485.056969209572,7.45529842783853,29.3782793258515,152.932532098413,295.290859357469,4422.75360599311,912.264327141971,2742.51929685466,767.969981996475
"ARKANSAS",534.004190835844,6.8161992534878,45.0143222569829,108.370216858585,373.803452466788,3983.50694987387,1136.90979679666,2597.42247486712,249.174678210096
"CALIFORNIA",522.594250601486,6.18276668687009,24.6572018357346,192.984392754509,298.769889324373,3033.00270578115,648.438174316541,1784.36561599301,600.198915471594
"COLORADO",349.691577826823,3.16532564773606,41.2119271122576,71.5657646419172,233.748560424912,3002.46127807365,592.842561164963,2063.48892877339,346.129788135306
"CONNECTICUT",255.973987446567,3.02657475396945,18.7876055482255,102.989199411017,131.170607733355,2399.90246434566,432.914400185706,1705.24645312564,261.74161103432
"DELAWARE",689.793912662219,4.33879361343118,38.8545314097257,197.734290436419,448.866297202643,3355.8457962477,731.530004727452,2355.79476488966,268.521026630584
"DISTRICT OF COLUMBIA",1414.2636649827,30.7670340579168,32.636853807293,724.300177462893,626.559599654593,4913.88630136055,667.35566691371,2954.65517124149,1291.87546320535
"FLORIDA",722.527173924768,6.59028594931881,33.7031931502847,209.041337722223,473.192357102942,4088.11347133125,996.104058491272,2688.5275882359,403.481824604078
"GEORGIA",493.866565961197,7.55838279574404,22.8343030812803,182.130388404503,281.34349167967,3902.37948325813,951.494888074603,2503.72210139822,447.162493785312
"HAWAII",272.793574507476,1.71421269327748,25.4015153640209,86.1002284578008,159.577617992376,4225.37845141142,708.826948670238,2993.32703749762,523.224465243558
