"State","Area","Actual","Percentage","ViolentCrime","Murderandnonnegligentmanslaughter","Rape2","Rape3","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA","M","Y",0.992,20793,331,1489,1084,4174,14799,114605,26966,78072,9567
"ALABAMA","M","N",1,20949,332,1498,1091,4200,14919,115564,27156,78771,9637
"ALABAMA","O","Y",0.966,3551,41,263,187,410,2837,19841,4173,14332,1336
"ALABAMA","O","N",1,3646,42,269,193,421,2914,20291,4275,14641,1375
"ALABAMA","R","Y",0.945,1220,31,141,95,61,987,7096,2490,3934,672
"ALABAMA","R","N",1,1291,33,149,101,65,1044,7507,2634,4162,711
"ALASKA","M","Y",1,3751,35,583,439,741,2392,17143,2243,12620,2280
"ALASKA","O","Y",0.974,964,2,165,119,71,726,4069,655,3101,313
"ALASKA","O","N",1,989,2,169,123,73,745,4177,672,3184,321
"ALASKA","R","Y",1,1226,15,301,195,36,874,3556,1138,1962,456
"ARIZONA","M","Y",0.983,27522,334,2997,2238,6931,17260,196398,35424,143602,17372
"ARIZONA","M","N",1,27789,338,3025,2258,6971,17455,198543,35844,145152,17547
"ARIZONA","O","Y",1,4342,32,250,184,65,3995,5937,1199,4069,669
"ARIZONA","R","Y",1,452,10,15,10,19,408,1952,693,1054,205
"ARKANSAS","M","Y",0.999,11573,144,1315,967,1711,8403,68739,15650,47839,5250
"ARKANSAS","M","N",1,11576,144,1316,968,1711,8405,68762,15655,47856,5251
"ARKANSAS","O","Y",0.941,2925,44,471,343,347,2063,18438,4926,12537,975
"ARKANSAS","O","N",1,3109,47,500,364,369,2193,19599,5236,13327,1036
"ARKANSAS","R","Y",0.961,1704,24,313,204,38,1329,8944,2766,5344,834
"ARKANSAS","R","N",1,1776,25,327,213,40,1384,9312,2880,5564,868
"CALIFORNIA","M","Y",0.999,170862,1880,13290,9871,54288,101404,983750,182895,626742,174113
"CALIFORNIA","M","N",1,170887,1880,13292,9872,54296,101419,983927,182929,626856,174142
"CALIFORNIA","O","Y",1,1805,8,164,118,310,1323,9604,2243,6260,1101
"CALIFORNIA","R","Y",1,2104,42,246,159,183,1633,8539,3132,3894,1513
"COLORADO","M","Y",0.999,17870,190,3233,2391,3458,10989,138992,21523,98615,18854
"COLORADO","M","N",1,17882,190,3235,2393,3459,10998,139156,21542,98740,18874
"COLORADO","O","Y",0.919,641,10,167,121,48,416,8641,1294,6943,404
"COLORADO","O","N",1,697,11,181,133,52,453,9405,1408,7557,440
"COLORADO","R","Y",0.986,399,3,137,91,17,242,3243,940,2010,293
"COLORADO","R","N",1,404,3,139,93,17,245,3289,953,2039,297
"CONNECTICUT","M","Y",1,7706,70,685,509,2629,4322,60060,9054,44302,6704
"CONNECTICUT","O","Y",1,135,1,21,15,37,76,1756,248,1417,91
"CONNECTICUT","R","Y",1,282,7,57,37,37,181,2848,743,1793,312
