"State","Area","Actual","Percentage","ViolentCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA","M","Y",0.958,15781,285,1119,6323,8054,145200,38552,95811,10837
"ALABAMA","M","N",1,16207,289,1157,6439,8322,149171,39764,98264,11143
"ALABAMA","O","Y",0.816,2972,37,246,654,2035,24945,5801,17881,1263
"ALABAMA","O","N",1,3619,45,299,790,2485,30320,7068,21714,1538
"ALABAMA","R","Y",0.918,1179,17,148,107,907,9960,3282,5965,713
"ALABAMA","R","N",1,1285,19,161,117,988,10852,3576,6499,777
"ALASKA","M","Y",1,3068,13,310,582,2163,11609,1439,9217,953
"ALASKA","O","Y",0.897,570,5,71,27,467,3894,556,3078,260
"ALASKA","O","N",1,635,6,79,30,520,4341,620,3431,290
"ALASKA","R","Y",1,771,9,52,33,677,4174,1181,2598,395
"ARIZONA","M","Y",0.995,27035,398,1583,9549,15505,266499,53086,177436,35977
"ARIZONA","M","N",1,27133,399,1590,9579,15565,267708,53361,178233,36114
"ARIZONA","O","Y",0.837,801,3,41,80,677,6546,1511,4471,564
"ARIZONA","O","N",1,958,4,49,96,809,7820,1805,5341,674
"ARIZONA","R","Y",1,968,4,34,22,908,3392,1315,1647,430
"ARKANSAS","M","Y",0.981,10254,111,950,2223,6970,74982,21710,48575,4697
"ARKANSAS","M","N",1,10382,111,964,2240,7067,76003,22062,49187,4754
"ARKANSAS","O","Y",0.965,2651,20,257,410,1964,22084,7549,13608,927
"ARKANSAS","O","N",1,2747,21,266,425,2035,22884,7822,14101,961
"ARKANSAS","R","Y",0.868,1081,26,143,61,851,9222,3308,5223,691
"ARKANSAS","R","N",1,1245,30,165,70,980,10621,3810,6015,796
"CALIFORNIA","M","Y",1,181952,2114,8621,69012,102205,1062787,232054,639889,190844
"CALIFORNIA","O","Y",1,1389,11,128,218,1032,9323,2589,6028,706
"CALIFORNIA","R","Y",1,1832,17,154,155,1506,8637,3192,4468,977
"COLORADO","M","Y",0.972,14830,139,1834,3200,9657,121651,24930,84261,12460
"COLORADO","M","N",1,15134,140,1877,3258,9859,125052,25495,86776,12781
"COLORADO","O","Y",0.929,1089,10,140,86,853,10815,1729,8635,451
"COLORADO","O","N",1,1173,11,151,93,918,11646,1862,9298,486
"COLORADO","R","Y",0.882,563,5,62,12,484,3551,793,2536,222
"COLORADO","R","N",1,639,6,70,14,549,4027,899,2876,252
"CONNECTICUT","M","Y",1,9789,113,573,3792,5311,77807,12874,56550,8383
"CONNECTICUT","O","Y",1,242,1,38,62,141,2992,607,2211,174
"CONNECTICUT","R","Y",1,396,9,63,53,271,5288,1530,3352,406
"DELAWARE","M","Y",1,5058,51,268,1620,3119,25098,5026,17864,2208
"DELAWARE","O","Y",1,352,0,24,125,203,2402,541,1799,62
"DELAWARE","R","Y",1,731,6,74,93,558,3803,1193,2339,271
"DISTRICT OF COLUMBIA","M","Y",1,8509,186,186,4430,3707,30211,3788,19958,6465
"FLORIDA","M","Y",0.999,120225,1116,5620,35474,78015,726217,177962,486917,61338
"FLORIDA","M","N",1,120266,1116,5622,35488,78040,726521,178030,487128,61363
"FLORIDA","O","Y",0.946,1798,6,102,355,1335,9428,2578,6308,542
"FLORIDA","O","N",1,1901,6,108,375,1412,9970,2726,6671,573
"FLORIDA","R","Y",0.991,4062,46,240,406,3370,22243,7642,13042,1559
"FLORIDA","R","N",1,4098,46,242,410,3400,22443,7711,13159,1573
"GEORGIA","M","Y",0.992,38296,560,1765,15846,20125,325509,85208,204109,36192
"GEORGIA","M","N",1,38572,563,1779,15950,20280,328043,85833,205766,36444
"GEORGIA","O","Y",0.849,4223,35,204,985,2999,30042,6438,22449,1155
"GEORGIA","O","N",1,4971,41,240,1159,3531,35367,7579,26428,1360
"GEORGIA","R","Y",0.847,2405,27,149,210,2019,21607,6109,13954,1544
"GEORGIA","R","N",1,2841,32,176,248,2385,25525,7217,16484,1824
"HAWAII","M","Y",1,2575,18,203,928,1426,31781,6370,21473,3938
"HAWAII","R","Y",1,937,7,162,158,610,14223,3009,10019,1195
"IDAHO","M","Y",0.997,2563,12,405,194,1952,23232,4843,17247,1142
"IDAHO","M","N",1,2571,12,406,195,1958,23307,4857,17304,1146
"IDAHO","O","Y",0.993,523,3,86,33,401,5581,1023,4298,260
"IDAHO","O","N",1,527,3,87,33,404,5619,1030,4327,262
"IDAHO","R","Y",1,385,8,58,13,306,3093,814,2019,260
"INDIANA","M","Y",0.865,18709,297,1345,7011,10056,165176,38380,112205,14591
"INDIANA","M","N",1,19610,310,1437,7217,10646,179230,41263,122442,15525
"INDIANA","O","Y",0.792,760,3,111,190,456,17498,3210,13444,844
"INDIANA","O","N",1,960,4,140,240,576,22106,4055,16985,1066
"INDIANA","R","Y",0.615,438,8,88,46,296,6994,2045,4418,531
"INDIANA","R","N",1,713,13,143,75,482,11379,3327,7188,864
"IOWA","M","Y",0.99,5921,54,656,1080,4131,50751,10938,36716,3097
"IOWA","M","N",1,5948,54,660,1082,4152,51097,11003,36983,3111
"IOWA","O","Y",0.931,1825,7,150,143,1525,15751,3607,11353,791
"IOWA","O","N",1,1961,8,161,154,1638,16918,3874,12194,850
"IOWA","R","Y",0.962,587,13,64,12,498,4495,1513,2625,357
"IOWA","R","N",1,611,14,67,12,518,4674,1573,2730,371
"KANSAS","M","Y",0.995,8436,88,808,1476,6064,68880,13862,48871,6147
"KANSAS","M","N",1,8471,88,812,1480,6091,69147,13907,49077,6163
"KANSAS","O","Y",0.959,2219,18,276,172,1753,19647,3984,14808,855
"KANSAS","O","N",1,2314,19,288,179,1828,20487,4154,15441,892
"KANSAS","R","Y",0.959,691,6,86,24,575,4797,1488,2983,326
"KANSAS","R","N",1,720,6,90,25,599,5001,1551,3110,340
"KENTUCKY","M","Y",0.92,9417,103,702,3354,5258,72904,17166,50479,5259
"KENTUCKY","M","N",1,9708,105,736,3443,5424,76232,18018,52749,5465
"KENTUCKY","O","Y",0.808,904,7,129,275,493,12837,3010,9312,515
"KENTUCKY","O","N",1,1119,9,160,340,610,15893,3726,11529,638
"KENTUCKY","R","Y",0.914,1663,77,468,202,916,16626,6485,8711,1430
"KENTUCKY","R","N",1,1819,84,512,221,1002,18189,7095,9530,1564
"LOUISIANA","M","Y",0.97,21071,439,882,5196,14554,127741,31736,84385,11620
"LOUISIANA","M","N",1,21584,445,907,5279,14953,131822,32590,87399,11833
"LOUISIANA","O","Y",0.575,1987,26,94,281,1586,11375,3208,7657,510
"LOUISIANA","O","N",1,3456,45,163,489,2759,19789,5581,13321,887
"LOUISIANA","R","Y",0.857,3347,32,139,194,2982,14589,4414,9298,877
"LOUISIANA","R","N",1,3904,37,162,226,3479,17019,5149,10847,1023
"MAINE","M","Y",1,965,15,220,288,442,19755,3719,15301,735
"MAINE","O","Y",1,389,8,106,39,236,8374,1389,6772,213
"MAINE","R","Y",1,193,8,49,6,130,4156,1414,2514,228
"MARYLAND","M","Y",1,34203,479,1064,12970,19690,189212,36639,127673,24900
"MARYLAND","O","Y",1,547,4,25,148,370,4315,873,3295,147
"MARYLAND","R","Y",1,643,10,38,85,510,4638,1337,3015,286
"MASSACHUSETTS","M","Y",0.983,28785,165,1708,6998,19914,152910,35388,105004,12518
"MASSACHUSETTS","M","N",1,29116,166,1733,7059,20158,155227,35957,106585,12685
"MASSACHUSETTS","O","Y",1,58,1,3,10,44,732,137,543,52
"MASSACHUSETTS","R","Y",1,0,0,0,0,0,0,0,0,0
"MICHIGAN","M","Y",0.978,46028,509,3365,12679,29475,251966,64634,152960,34372
"MICHIGAN","M","N",1,46519,511,3434,12776,29798,256464,65604,156112,34748
"MICHIGAN","O","Y",0.904,1267,5,308,116,838,16273,2504,13311,458
"MICHIGAN","O","N",1,1370,6,334,122,908,17711,2725,14487,499
"MICHIGAN","R","Y",0.93,2118,23,683,61,1351,18061,5441,11695,925
"MICHIGAN","R","N",1,2277,25,734,66,1452,19410,5847,12569,994
"MINNESOTA","M","Y",0.985,NA,96,NA,4037,6335,122577,21286,92599,8692
"MINNESOTA","M","N",1,NA,97,NA,4065,6384,124415,21534,94095,8786
"MINNESOTA","O","Y",0.981,NA,5,NA,84,678,14131,1952,11632,547
"MINNESOTA","O","N",1,NA,5,NA,86,691,14398,1989,11852,557
"MINNESOTA","R","Y",0.982,NA,7,NA,26,541,9815,2834,6259,722
"MINNESOTA","R","N",1,NA,7,NA,26,551,9997,2887,6375,735
"MISSISSIPPI","M","Y",0.886,3727,116,391,1657,1563,42458,11182,27438,3838
"MISSISSIPPI","M","N",1,3956,123,425,1708,1700,45684,11992,29572,4120
"MISSISSIPPI","O","Y",0.719,1790,45,166,686,893,18529,5742,11936,851
"MISSISSIPPI","O","N",1,2490,63,231,954,1242,25767,7985,16599,1183
"MISSISSIPPI","R","Y",0.514,990,26,120,182,662,7685,3107,4039,539
"MISSISSIPPI","R","N",1,1927,51,234,354,1288,14957,6047,7861,1049
"MISSOURI","M","Y",0.999,25412,400,1326,7068,16618,179730,37464,123314,18952
"MISSOURI","M","N",1,25413,400,1326,7068,16619,179751,37468,123329,18954
"MISSOURI","O","Y",0.995,2493,18,181,273,2021,24801,4409,19557,835
"MISSOURI","O","N",1,2506,18,182,274,2032,24931,4432,19660,839
"MISSOURI","R","Y",0.994,1889,37,106,48,1698,11835,3866,7003,966
"MISSOURI","R","N",1,1900,37,107,48,1708,11903,3888,7043,972
"MONTANA","M","Y",1,869,7,96,110,656,11429,1474,9306,649
"MONTANA","O","Y",0.973,637,5,89,41,502,7240,804,6063,373
"MONTANA","O","N",1,655,5,92,42,516,7445,827,6234,384
"MONTANA","R","Y",0.974,947,11,103,19,814,6143,1004,4613,526
"MONTANA","R","N",1,973,11,106,20,836,6308,1031,4737,540
"NEBRASKA","M","Y",0.999,4327,52,347,1195,2733,35124,5832,25862,3430
"NEBRASKA","M","N",1,4328,52,347,1195,2734,35144,5835,25878,3431
"NEBRASKA","O","Y",0.879,740,10,176,76,478,11007,1825,8744,438
"NEBRASKA","O","N",1,842,11,200,87,544,12529,2077,9953,499
"NEBRASKA","R","Y",0.86,212,4,31,15,162,3152,742,2188,222
"NEBRASKA","R","N",1,246,5,36,17,188,3665,863,2544,258
"NEVADA","M","Y",1,18155,151,1022,6406,10576,85038,22774,46753,15511
"NEVADA","O","Y",1,178,3,21,26,128,1376,345,943,88
"NEVADA","R","Y",1,504,9,59,41,395,3226,1037,1885,304
"NEW HAMPSHIRE","M","Y",0.906,1301,8,215,301,777,15727,2419,12425,883
"NEW HAMPSHIRE","M","N",1,1368,8,230,312,818,16863,2590,13336,937
"NEW HAMPSHIRE","O","Y",0.878,570,3,130,91,346,9121,1365,7375,381
"NEW HAMPSHIRE","O","N",1,649,3,148,104,394,10385,1554,8397,434
"NEW HAMPSHIRE","R","Y",1,52,2,13,3,34,278,142,120,16
"NEW JERSEY","M","Y",0.999,28341,376,1122,12696,14147,199047,40385,138488,20174
"NEW JERSEY","M","N",1,28351,376,1122,12701,14152,199126,40401,138545,20180
"NEW MEXICO","M","Y",0.998,9101,94,796,1831,6380,55477,14555,34167,6755
"NEW MEXICO","M","N",1,9114,94,797,1832,6391,55551,14571,34217,6763
"NEW MEXICO","O","Y",0.931,2676,28,222,265,2161,16366,4758,10822,786
"NEW MEXICO","O","N",1,2873,30,238,285,2320,17573,5109,11620,844
"NEW MEXICO","R","Y",0.835,759,15,87,46,611,3712,1697,1684,331
"NEW MEXICO","R","N",1,909,18,104,55,732,4448,2033,2018,397
"NEW YORK","M","Y",0.999,74456,812,2419,31509,39716,357697,58693,274704,24300
"NEW YORK","M","N",1,74489,812,2420,31521,39736,358070,58751,275005,24314
"NEW YORK","O","Y",0.976,1530,8,154,181,1187,15681,2889,12455,337
"NEW YORK","O","N",1,1567,8,158,185,1216,16059,2959,12755,345
"NEW YORK","R","Y",0.918,1404,15,205,66,1118,13223,3695,9110,418
"NEW YORK","R","N",1,1529,16,223,72,1218,14404,4025,9924,455
"NORTH CAROLINA","M","Y",0.99,32013,430,1661,11652,18270,268633,76639,171808,20186
"NORTH CAROLINA","M","N",1,32291,432,1681,11733,18445,271886,77393,174151,20342
"NORTH CAROLINA","O","Y",0.941,5521,54,256,1764,3447,49722,13564,33748,2410
"NORTH CAROLINA","O","N",1,5855,57,272,1869,3657,52746,14384,35807,2555
"NORTH CAROLINA","R","Y",0.986,4883,113,326,722,3722,47652,19547,24313,3792
"NORTH CAROLINA","R","N",1,4953,115,331,732,3775,48329,19825,24658,3846
"NORTH DAKOTA","M","Y",0.996,690,2,137,58,493,8044,1259,6247,538
"NORTH DAKOTA","M","N",1,692,2,138,58,494,8078,1264,6274,540
"NORTH DAKOTA","O","Y",0.921,247,1,65,12,169,2495,412,1909,174
"NORTH DAKOTA","O","N",1,269,1,71,13,184,2711,448,2074,189
"NORTH DAKOTA","R","Y",0.911,98,0,21,1,76,1241,359,743,139
"NORTH DAKOTA","R","N",1,107,0,23,1,83,1363,394,816,153
"OHIO","M","Y",0.882,35481,488,3494,17404,14095,304742,82532,197203,25007
"OHIO","M","N",1,37200,503,3786,18054,14857,333494,88535,218518,26441
"OHIO","O","Y",0.774,1336,15,299,427,595,28148,5432,21971,745
"OHIO","O","N",1,1726,19,386,552,769,36379,7020,28396,963
"OHIO","R","Y",0.847,908,18,209,96,585,18632,5922,11754,956
"OHIO","R","N",1,1071,21,247,113,690,21989,6989,13872,1128
"OKLAHOMA","M","Y",1,14711,159,1034,3302,10216,90973,25562,56669,8742
"OKLAHOMA","O","Y",0.997,3126,24,312,349,2441,26222,6531,18372,1319
"OKLAHOMA","O","N",1,3134,24,313,350,2447,26287,6547,18418,1322
"OKLAHOMA","R","Y",0.995,1332,29,118,31,1154,8083,2957,4313,813
"OKLAHOMA","R","N",1,1339,29,119,31,1160,8124,2972,4335,817
"OREGON","M","Y",0.992,8392,70,959,2392,4971,101369,16280,75151,9938
"OREGON","M","N",1,8430,70,966,2400,4994,101894,16387,75521,9986
"OREGON","O","Y",0.976,905,7,123,201,574,15360,2514,12050,796
"OREGON","O","N",1,927,7,126,206,588,15738,2576,12346,816
"OREGON","R","Y",0.829,323,4,53,29,237,5610,1589,3582,439
"OREGON","R","N",1,390,5,64,35,286,6765,1916,4320,529
"PENNSYLVANIA","M","Y",0.989,46765,654,2847,18285,24979,260739,49561,190350,20828
"PENNSYLVANIA","M","N",1,47031,655,2864,18355,25157,263087,49913,192227,20947
"PENNSYLVANIA","O","Y",0.943,2307,18,245,327,1717,19557,3333,15622,602
"PENNSYLVANIA","O","N",1,2447,19,260,347,1821,20746,3536,16571,639
"PENNSYLVANIA","R","Y",1,1558,27,354,171,1006,16199,5171,10143,885
"PUERTO RICO","M","Y",1,9167,776,91,5345,2955,56900,18086,31927,6887
"PUERTO RICO","O","Y",1,317,31,4,122,160,2354,1052,1186,116
"RHODE ISLAND","M","Y",1,2606,27,272,879,1428,29774,5750,20867,3157
"RHODE ISLAND","R","Y",1,15,2,5,0,8,75,0,32,43
"SOUTH CAROLINA","M","Y",0.999,24609,229,1292,5360,17728,144756,33736,96771,14249
"SOUTH CAROLINA","M","N",1,24611,229,1292,5360,17730,144772,33739,96783,14250
"SOUTH CAROLINA","O","Y",0.996,3203,24,113,624,2442,17014,3884,12313,817
"SOUTH CAROLINA","O","N",1,3216,24,113,627,2452,17087,3901,12366,820
"SOUTH CAROLINA","R","Y",1,4864,52,233,612,3967,27824,8327,16915,2582
"SOUTH DAKOTA","M","Y",0.925,1058,10,279,100,669,7763,1348,5949,466
"SOUTH DAKOTA","M","N",1,1100,11,294,101,694,8061,1412,6167,482
"SOUTH DAKOTA","O","Y",0.876,267,3,84,10,170,3589,563,2807,219
"SOUTH DAKOTA","O","N",1,304,3,96,11,194,4098,643,3205,250
"SOUTH DAKOTA","R","Y",0.784,169,9,33,6,121,842,294,495,53
"SOUTH DAKOTA","R","N",1,216,12,42,8,154,1075,375,632,68
"TENNESSEE","M","Y",1,37577,349,1655,10111,25462,197562,49789,132090,15683
"TENNESSEE","O","Y",1,4102,27,227,546,3302,30695,6968,22204,1523
"TENNESSEE","R","Y",1,3218,32,180,143,2863,22988,8249,12721,2018
"TEXAS","M","Y",0.999,113882,1252,7087,36748,68795,896963,208760,606888,81315
"TEXAS","M","N",1,113903,1252,7088,36754,68809,897227,208815,607078,81334
