"State","Area","Actual","Percentage","ViolentCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA","M","Y",0.898,13207,215,949,4243,7800,124845,32759,83928,8158
"ALABAMA","M","N",1,14072,224,1027,4403,8418,133796,35225,89830,8741
"ALABAMA","O","Y",0.845,2300,23,163,256,1858,21402,3730,16606,1066
"ALABAMA","O","N",1,2704,26,193,299,2186,25061,4364,19447,1250
"ALABAMA","R","Y",0.696,891,16,90,41,744,6428,1702,4302,424
"ALABAMA","R","N",1,1280,23,129,59,1069,9235,2445,6181,609
"ALASKA","M","Y",1,2846,13,343,499,1991,12534,1472,10087,975
"ALASKA","O","Y",0.965,672,3,124,53,492,4211,557,3351,303
"ALASKA","O","N",1,697,3,129,55,510,4364,577,3473,314
"ALASKA","R","Y",1,994,15,61,40,878,3361,1056,1975,330
"ARIZONA","M","Y",0.995,22116,347,1511,6784,13474,210393,46069,144476,19848
"ARIZONA","M","N",1,22185,348,1517,6799,13521,211304,46260,145139,19905
"ARIZONA","O","Y",0.899,2891,47,561,98,2185,10314,2854,6331,1129
"ARIZONA","O","N",1,3217,52,624,109,2432,11479,3176,7046,1257
"ARIZONA","R","Y",0.98,669,9,24,28,608,3047,1308,1400,339
"ARIZONA","R","N",1,683,9,24,29,621,3110,1335,1429,346
"ARKANSAS","M","Y",0.955,10571,83,898,1971,7619,69693,20533,45220,3940
"ARKANSAS","M","N",1,10883,84,928,1991,7880,71561,21289,46214,4058
"ARKANSAS","O","Y",0.935,2315,25,213,307,1770,20207,6787,12692,728
"ARKANSAS","O","N",1,2476,27,228,328,1893,21606,7257,13571,778
"ARKANSAS","R","Y",0.866,1191,23,135,46,987,9187,3434,5140,613
"ARKANSAS","R","N",1,1376,27,156,53,1140,10608,3965,5935,708
"CALIFORNIA","M","Y",1,160871,1784,8001,57748,93338,963339,222573,589966,150800
"CALIFORNIA","O","Y",1,1475,3,135,220,1117,9716,2946,6121,649
"CALIFORNIA","R","Y",1,1787,22,195,148,1422,8884,3338,4471,1075
"COLORADO","M","Y",0.992,14735,105,1986,3043,9601,121162,23765,86725,10672
"COLORADO","M","N",1,14817,105,2000,3052,9660,121865,23899,87238,10728
"COLORADO","O","Y",0.919,827,5,145,68,609,9477,1459,7706,312
"COLORADO","O","N",1,900,5,158,74,663,10316,1588,8388,340
"COLORADO","R","Y",0.794,331,8,32,5,286,2233,529,1562,142
"COLORADO","R","N",1,416,10,40,6,360,2811,666,1966,179
"CONNECTICUT","M","Y",1,9527,125,499,3455,5448,70438,13047,51135,6256
"CONNECTICUT","O","Y",1,227,0,44,43,140,3024,542,2349,133
"CONNECTICUT","R","Y",1,303,5,40,55,203,4924,1583,3023,318
"DELAWARE","M","Y",1,4560,44,208,1628,2680,24072,5365,17022,1685
"DELAWARE","O","Y",1,386,1,28,102,255,2536,565,1918,53
"DELAWARE","R","Y",1,629,3,76,99,451,4355,1585,2579,191
"DISTRICT OF COLUMBIA","M","Y",1,8004,132,187,4325,3360,28756,4231,19489,5036
"FLORIDA","M","Y",0.999,96825,931,5000,25426,65468,638732,158911,439639,40182
"FLORIDA","M","N",1,96858,931,5002,25436,65489,638989,158970,439821,40198
"FLORIDA","O","Y",0.982,1528,10,109,300,1109,8661,2295,5997,369
"FLORIDA","O","N",1,1555,10,111,305,1129,8819,2337,6106,376
"FLORIDA","R","Y",1,3556,46,260,345,2905,21227,7812,12527,888
"GEORGIA","M","Y",0.989,32080,503,1727,11189,18661,291234,79704,184177,27353
"GEORGIA","M","N",1,32383,507,1744,11287,18845,294205,80456,186146,27603
"GEORGIA","O","Y",0.872,3575,21,170,754,2630,29276,7062,21159,1055
"GEORGIA","O","N",1,4098,24,195,864,3015,33555,8095,24251,1209
"GEORGIA","R","Y",0.918,2379,25,141,204,2009,22877,7502,14004,1371
"GEORGIA","R","N",1,2591,27,154,222,2188,24919,8172,15254,1493
"HAWAII","M","Y",1,2548,19,218,891,1420,31668,5760,22007,3901
"HAWAII","R","Y",1,1026,5,147,163,711,13415,2903,9313,1199
"IDAHO","M","Y",0.993,2301,18,349,169,1765,22823,4517,17413,893
"IDAHO","M","N",1,2310,18,350,169,1773,22917,4543,17477,897
"IDAHO","O","Y",0.989,753,1,95,38,619,5430,1088,4126,216
"IDAHO","O","N",1,761,1,96,38,626,5488,1100,4170,218
"IDAHO","R","Y",0.989,390,2,78,7,303,2849,849,1795,205
"IDAHO","R","N",1,394,2,79,7,306,2881,859,1815,207
"ILLINOIS","M","Y",0.871,48565,646,2059,19114,26746,282971,61212,195250,26509
"ILLINOIS","M","N",1,51529,676,2444,19773,28636,311473,66965,216650,27858
"ILLINOIS","O","Y",0.666,2152,15,312,170,1655,16265,3803,12053,409
"ILLINOIS","O","N",1,3230,23,468,255,2484,24409,5707,18088,614
"ILLINOIS","R","Y",0.777,836,5,94,20,717,6302,2120,3930,252
"ILLINOIS","R","N",1,1076,7,121,26,922,8107,2727,5056,324
"INDIANA","M","Y",0.895,17931,266,1374,5788,10503,157572,37922,108540,11110
"INDIANA","M","N",1,18612,275,1447,5911,10979,167230,40069,115460,11701
"INDIANA","O","Y",0.915,930,8,157,223,542,17531,3530,13227,774
"INDIANA","O","N",1,1017,9,172,244,592,19159,3858,14455,846
"INDIANA","R","Y",0.769,584,6,109,49,420,8364,2453,5472,439
"INDIANA","R","N",1,760,8,142,64,546,10871,3188,7112,571
"IOWA","M","Y",0.987,5766,21,590,891,4264,47077,10678,33663,2736
"IOWA","M","N",1,5801,21,595,892,4293,47405,10758,33894,2753
"IOWA","O","Y",0.923,1640,7,170,104,1359,14707,3604,10471,632
"IOWA","O","N",1,1777,8,184,113,1472,15934,3905,11344,685
"IOWA","R","Y",0.887,670,9,51,5,605,4416,1769,2347,300
"IOWA","R","N",1,755,10,57,6,682,4976,1993,2645,338
"KANSAS","M","Y",0.995,7750,75,749,1334,5592,64217,13616,45682,4919
"KANSAS","M","N",1,7773,75,752,1337,5609,64436,13654,45850,4932
"KANSAS","O","Y",0.956,1924,10,252,183,1479,18954,3867,14361,726
"KANSAS","O","N",1,2010,10,263,191,1546,19818,4043,15016,759
"KANSAS","R","Y",0.949,709,14,87,15,593,4518,1620,2596,302
"KANSAS","R","N",1,748,15,92,16,625,4761,1707,2736,318
"KENTUCKY","M","Y",0.991,7866,93,701,3089,3983,77341,19078,53942,4321
"KENTUCKY","M","N",1,7926,93,709,3114,4010,78133,19250,54525,4358
"KENTUCKY","O","Y",0.964,1057,17,183,406,451,16178,3765,11836,577
